"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Surry County, VA"	"51181"	10	60025	Unreliable	8.0	30.6	0.0%
	"Westmoreland County, VA"	"51193"	12	91905	Unreliable	6.7	22.8	0.0%
	"York County, VA"	"51199"	16	160141	Unreliable	5.7	16.2	0.0%
	"Alexandria city, VA"	"51510"	60	574856	10.4	8.0	13.4	0.1%
	"Charlottesville city, VA"	"51540"	21	167725	12.5	7.8	19.1	0.0%
	"Chesapeake city, VA"	"51550"	87	1190505	7.3	5.9	9.0	0.1%
	"Danville city, VA"	"51590"	60	384648	15.6	11.9	20.1	0.1%
	"Franklin city, VA"	"51620"	19	85344	Unreliable	13.4	34.8	0.0%
	"Fredericksburg city, VA"	"51630"	16	101171	Unreliable	9.0	25.7	0.0%
	"Hampton city, VA"	"51650"	123	1252447	9.8	8.1	11.6	0.1%
	"Hopewell city, VA"	"51670"	15	154001	Unreliable	5.5	16.1	0.0%
	"Lynchburg city, VA"	"51680"	52	396024	13.1	9.8	17.2	0.0%
	"Martinsville city, VA"	"51690"	28	116007	24.1	16.0	34.9	0.0%
	"Newport News city, VA"	"51700"	165	1387475	11.9	10.1	13.7	0.1%
	"Norfolk city, VA"	"51710"	284	1963003	14.5	12.8	16.2	0.2%
	"Petersburg city, VA"	"51730"	72	469969	15.3	12.0	19.3	0.1%
	"Portsmouth city, VA"	"51740"	146	940589	15.5	13.0	18.0	0.1%
	"Richmond city, VA"	"51760"	576	1998330	28.8	26.5	31.2	0.5%
	"Roanoke city, VA"	"51770"	90	512031	17.6	14.1	21.6	0.1%
	"Staunton city, VA"	"51790"	11	58607	Unreliable	9.4	33.6	0.0%
	"Suffolk city, VA"	"51800"	78	619471	12.6	10.0	15.7	0.1%
	"Virginia Beach city, VA"	"51810"	139	1634114	8.5	7.1	9.9	0.1%
	"Williamsburg city, VA"	"51830"	10	35872	Unreliable	13.4	51.3	0.0%
	"Winchester city, VA"	"51840"	10	56093	Unreliable	8.5	32.8	0.0%
	"Clark County, WA"	"53011"	31	191383	16.2	11.0	23.0	0.0%
	"Franklin County, WA"	"53021"	13	37492	Unreliable	18.5	59.3	0.0%
	"King County, WA"	"53033"	705	2427990	29.0	26.9	31.2	0.6%
	"Kitsap County, WA"	"53035"	33	167359	19.7	13.6	27.7	0.0%
	"Pierce County, WA"	"53053"	232	1246275	18.6	16.2	21.0	0.2%
	"Snohomish County, WA"	"53061"	54	388151	13.9	10.5	18.2	0.0%
	"Spokane County, WA"	"53063"	44	201457	21.8	15.9	29.3	0.0%
	"Thurston County, WA"	"53067"	17	161957	Unreliable	6.1	16.8	0.0%
	"Whatcom County, WA"	"53073"	10	51657	Unreliable	9.3	35.6	0.0%
	"Yakima County, WA"	"53077"	13	71297	Unreliable	9.7	31.2	0.0%
	"Berkeley County, WV"	"54003"	53	123110	43.1	32.2	56.3	0.0%
	"Cabell County, WV"	"54011"	38	91527	41.5	29.4	57.0	0.0%
	"Fayette County, WV"	"54019"	11	44807	Unreliable	12.3	43.9	0.0%
	"Harrison County, WV"	"54033"	11	24355	Unreliable	22.5	80.8	0.0%
	"Jefferson County, WV"	"54037"	20	63460	31.5	19.3	48.7	0.0%
	"Kanawha County, WV"	"54039"	106	272456	38.9	31.5	46.3	0.1%
	"McDowell County, WV"	"54047"	14	44316	Unreliable	17.3	53.0	0.0%
	"Mercer County, WV"	"54055"	29	71356	40.6	27.2	58.4	0.0%
	"Monongalia County, WV"	"54061"	11	68439	Unreliable	8.0	28.8	0.0%
	"Ohio County, WV"	"54069"	14	33369	Unreliable	22.9	70.4	0.0%
	"Raleigh County, WV"	"54081"	28	122962	22.8	15.1	32.9	0.0%
	"Brown County, WI"	"55009"	21	108187	19.4	12.0	29.7	0.0%
	"Dane County, WI"	"55025"	137	477704	28.7	23.9	33.5	0.1%
	"Kenosha County, WI"	"55059"	62	207261	29.9	22.9	38.3	0.1%
	"Milwaukee County, WI"	"55079"	1297	4648801	27.9	26.4	29.4	1.1%
	"Outagamie County, WI"	"55087"	10	38169	Unreliable	12.6	48.2	0.0%
	"Racine County, WI"	"55101"	115	417366	27.6	22.5	32.6	0.1%
	"Rock County, WI"	"55105"	36	160121	22.5	15.7	31.1	0.0%
	"Winnebago County, WI"	"55139"	11	57029	Unreliable	9.6	34.5	0.0%
"Total"			119795	733107645	16.3	16.2	16.4	100.0%
"---"
"Dataset: Multiple Cause of Death, 1999-2016"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Autopsy: All"
"Gender: All"
"Hispanic Origin: All"
"MCD - ICD-10 Codes: All"
"Place of Death: All"
"Race: Black or African American"
"States: All"
"Ten-Year Age Groups: All"
"UCD - Drug/Alcohol Induced Causes: Drug-induced causes, Alcohol-induced causes"
"Weekday: All"
"Year/Month: All"
"Group By: County"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 18, 2018 7:59:00 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death"
"1999-2016 on CDC WONDER Online Database, released December, 2017. Data are from the Multiple Cause of Death Files, 1999-2016, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/mcd-icd10.html on Feb 18, 2018 7:59:00 PM"
"---"
Messages:
"1. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Data are not available for this area for all of the requested years. See Caveats below for more information."
"2. Data discontinuity due to county line boundary changes in requested years. See Caveats below for more information."
"3. Deaths for Allen Parish, Louisiana are under reported in years 2006 through 2008. See Caveats below for more information."
"---"
Caveats:
"1. Note: County of residence is misidentified in 316 deaths that occurred in the year 2000, for Hartford County, CT (FIPS code"
"09003) and New London County, CT (FIPS code 09011). More information: http://wonder.cdc.gov/wonder/help/mcd.html#errata."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
