LGA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA11520,..,7069,7069,9755,1281,11033,5517,515,6027,5288,177,5465,1743,54,1798,679,33,710,22984,9119,32102
LGA11570,..,21173,21173,25425,2288,27714,18859,627,19482,19748,345,20093,10585,175,10765,8395,144,8538,83008,24758,107772
LGA11600,..,272,272,341,30,374,131,3,135,116,0,115,56,0,56,32,0,35,681,304,986
LGA11650,..,31956,31956,37924,3102,41023,17756,424,18179,17999,124,18126,7934,50,7982,3762,19,3781,85380,35668,121048
LGA11700,..,228,228,147,9,159,77,5,85,63,0,64,27,0,27,41,0,41,358,244,605
LGA11720,..,4827,4827,6106,460,6567,3067,42,3108,2844,9,2856,1353,3,1357,648,0,648,14021,5349,19368
LGA11730,..,5736,5736,7311,559,7871,2415,47,2460,1962,13,1970,1000,4,1002,556,3,563,13248,6355,19605
LGA11750,..,503,503,544,34,580,188,3,190,203,0,203,109,0,109,55,0,55,1104,535,1640
LGA11800,..,7276,7276,9151,846,9993,3803,117,3924,3401,44,3450,1551,10,1563,832,12,847,18743,8306,27042
LGA12000,..,371,371,525,28,555,212,3,217,171,0,171,115,0,115,65,0,65,1089,403,1491
LGA12150,..,438,438,443,33,477,189,0,191,135,0,131,74,0,74,60,0,60,896,475,1370
LGA12350,..,1485,1485,1722,92,1815,628,9,635,511,0,511,243,0,243,136,0,136,3236,1590,4823
LGA12380,..,11610,11610,13737,1433,15171,11513,617,12124,11949,459,12404,6617,308,6923,5861,408,6263,49677,14830,64503
LGA12700,..,779,779,1168,50,1214,472,5,476,469,0,470,208,0,208,101,0,101,2416,834,3257
LGA12730,..,1083,1083,1184,75,1261,393,10,405,368,3,372,187,3,188,70,3,66,2197,1173,3376
LGA12750,..,4654,4654,6181,324,6513,1618,36,1652,1301,9,1306,579,3,579,328,0,328,10010,5025,15032
LGA12850,..,9002,9002,12434,954,13388,10321,211,10533,11084,88,11169,6745,32,6778,6276,31,6310,46864,10324,57190
LGA12870,..,1492,1492,1850,97,1944,542,9,553,501,3,502,251,0,253,96,0,102,3238,1601,4843
LGA12900,..,1034,1034,1215,72,1286,434,11,440,384,0,384,240,0,240,109,0,109,2379,1120,3496
LGA12930,..,9325,9325,12381,1269,13646,8934,512,9443,9351,262,9617,4037,100,4144,2441,59,2501,37151,11522,48676
LGA12950,..,463,463,578,30,604,183,0,183,170,0,170,110,0,110,43,0,43,1088,500,1587
LGA13010,..,1147,1147,1229,86,1320,395,4,400,312,0,313,182,0,182,67,0,67,2187,1243,3427
