LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA17900,0,0,0,16,17,3,0,16,3,8,0,0,0,12,14,79,0,0,0,0,0,0,0,0,0,0,3,10,86,12,9,105,16,53,3,26,9,83,17,420
LGA17950,0,0,0,12,21,0,0,5,3,3,0,3,0,3,16,56,0,0,0,0,0,0,0,0,0,0,0,0,91,5,0,62,5,36,6,5,4,16,20,250
LGA18020,0,0,0,28,37,7,0,35,0,12,3,4,0,7,37,146,3,0,4,3,0,0,0,0,0,4,0,14,158,38,5,246,20,99,13,41,10,97,47,774
LGA18050,9,34,0,2674,121,25,3,157,4,80,8,37,4,39,419,885,10,0,9,11,4,3,0,0,5,7,15,67,1580,263,48,2198,296,1282,55,268,55,272,441,6754
LGA18100,0,0,0,26,3,3,0,16,0,3,0,0,0,3,16,46,0,0,0,0,0,0,0,0,0,0,0,4,63,10,3,122,15,36,5,19,4,29,16,320
LGA18200,0,0,0,40,22,3,0,28,3,7,0,3,3,3,41,110,0,0,0,0,0,0,0,0,3,5,0,11,159,18,6,210,28,86,14,19,15,72,44,676
LGA18230,4,6,0,344,134,22,12,120,13,52,0,14,3,38,353,761,9,0,7,6,0,3,0,0,3,12,11,47,1444,179,47,1504,198,732,49,160,44,348,376,5075
LGA18250,8,70,0,3752,139,26,6,124,12,96,6,41,9,81,707,1244,10,0,7,19,0,4,0,0,3,3,26,74,2408,336,69,2669,353,2409,67,466,77,703,736,10290
LGA18350,0,8,0,550,129,22,7,137,16,81,7,18,3,44,282,746,11,3,4,10,4,7,0,0,0,6,13,55,1067,236,48,1680,150,854,56,213,37,334,311,4984
LGA18400,0,11,0,919,157,14,10,177,18,95,4,25,7,37,269,821,13,3,8,19,0,10,0,0,5,9,18,87,1826,206,74,2308,266,1203,70,235,72,388,310,6960
LGA18450,17,54,6,2907,361,63,21,447,48,266,15,91,32,240,1100,2675,18,0,14,36,4,12,9,3,5,30,41,177,4595,882,196,7727,823,4065,267,1202,280,2485,1178,23697
LGA18500,19,72,3,2597,104,19,5,123,3,112,0,34,9,38,369,818,10,0,3,15,3,11,0,4,7,0,8,57,1251,188,32,1529,215,1289,35,271,60,294,391,5567
LGA18710,3,7,0,438,59,6,3,56,3,17,3,4,0,9,94,260,7,0,4,6,0,0,0,0,0,4,4,17,646,73,33,648,104,271,32,67,17,91,104,2086
LGA19399,0,0,0,8,3,0,0,0,0,0,0,0,0,0,7,18,0,0,0,0,0,0,0,0,0,0,0,0,41,6,4,23,3,11,0,3,0,0,7,102
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
