LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA17200,10676,9112,19793,6671,7764,14433,42,30,81,338,367,705,564,477,1039,14096,9249,23343,966,1614,2582,144,3,146,1198,230,1425,2541,964,3501,788,388,1180,14983,13137,28120,53015,43328,96346,2074,2052,4123,33,21,57,112,128,243,146,82,225,70,80,149,262,171,442,2697,2543,5241,7,18,23,54,82,135,47,62,111,37,77,112,140,137,274,278,377,660,309,174,489,3291,3098,6390,368,307,676,45,48,93,30,15,46,442,374,819,2492,2342,4828,3318,4509,7827,567,476,1037,63126,54123,117252
LGA17310,6,3,11,56,46,104,4,3,10,0,0,0,29,16,39,9531,8830,18360,711,752,1455,428,11,438,165,16,181,75,14,87,98,43,139,491,396,882,11590,10122,21717,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,7,4,9,0,0,0,0,0,0,4,0,4,4,7,14,0,0,0,15,5,15,106,43,147,123,53,175,3,0,3,0,0,3,7,3,12,17,3,14,676,784,1460,860,1467,2330,155,143,304,13425,12572,25997
LGA17350,0,0,0,8,0,13,0,0,0,0,0,0,0,5,3,853,709,1558,60,48,106,39,0,39,13,0,13,14,0,16,12,0,21,81,98,181,1088,867,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15,11,10,17,0,0,0,0,0,0,0,0,0,0,0,0,140,137,275,77,147,227,26,17,38,1342,1173,2514
LGA17400,0,0,0,9,5,16,0,0,0,0,0,0,0,0,0,656,658,1316,38,48,86,63,3,70,18,0,16,7,0,7,25,9,36,71,61,134,885,794,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,17,5,18,14,4,26,0,0,0,0,0,0,0,0,0,0,0,0,199,178,378,91,139,227,26,24,52,1220,1141,2361
LGA17420,494,385,883,4604,3928,8534,3,3,7,4,5,12,49,19,70,27470,22335,49804,1091,1815,2905,687,5,691,294,20,319,147,23,170,206,126,338,479,526,999,35528,29184,64714,480,397,874,0,0,0,0,0,3,504,305,816,33,74,113,12,3,14,1030,778,1815,0,0,4,0,0,0,517,424,943,68,174,245,32,7,39,621,609,1232,247,134,383,1903,1523,3428,201,166,366,31,19,53,11,4,13,237,193,432,2022,2858,4882,2158,4045,6210,273,240,507,42133,38046,80179
LGA17550,25,14,33,191,132,319,6,0,9,4,0,4,24,24,45,12743,11764,24510,729,864,1593,401,20,421,188,25,211,220,76,290,173,91,264,483,508,992,15179,13506,28683,3,7,10,0,0,0,0,0,0,39,22,59,0,0,0,3,3,3,43,29,71,0,0,0,3,3,6,5,14,18,9,11,27,3,3,11,20,32,58,147,60,208,215,117,329,12,8,20,14,10,20,11,0,11,40,11,48,960,1407,2370,1413,2409,3823,234,238,475,18032,17700,35731
LGA17620,4,3,3,11,5,18,0,0,0,0,0,0,0,0,0,2249,1847,4093,165,150,319,78,3,78,29,3,32,18,3,18,46,23,67,184,157,338,2780,2195,4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,29,7,35,35,11,43,0,0,0,0,0,0,0,0,0,3,0,3,239,273,511,304,361,665,51,54,102,3406,2889,6298
LGA17640,0,0,3,0,4,3,5,0,4,0,0,0,5,0,5,1073,912,1984,79,73,153,97,13,102,30,3,33,0,3,4,23,8,36,81,72,161,1396,1099,2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,4,4,23,6,30,29,13,36,0,0,0,0,0,0,0,0,0,3,0,4,332,222,554,144,243,386,28,25,58,1932,1601,3528
LGA17650,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,879,848,1724,53,60,117,43,3,43,26,0,26,12,0,8,8,6,19,65,50,111,1087,975,2060,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,12,8,7,14,0,0,0,0,0,0,3,0,3,3,0,3,150,141,290,88,140,229,19,21,36,1355,1276,2633
LGA17750,3,5,11,55,47,99,3,0,5,4,0,5,38,36,72,11260,10071,21337,840,878,1713,231,9,238,140,16,161,148,31,182,217,64,284,714,645,1356,13652,11812,25466,0,0,0,0,0,0,0,0,0,8,3,12,0,0,0,0,0,0,11,3,10,0,0,0,0,0,0,3,3,12,0,3,3,0,0,4,7,10,19,99,43,140,112,56,171,3,0,3,3,3,3,8,3,8,11,8,19,532,646,1180,925,1784,2707,153,137,297,15387,14447,29834
