LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,4,7,15,56,69,126,3,3,6,0,4,3,18,16,38,8908,8079,16987,524,580,1102,137,3,134,106,10,118,168,45,218,62,34,99,366,388,760,10351,9252,19601,3,0,3,0,0,0,0,0,0,7,5,8,0,0,0,4,0,4,11,7,17,0,0,0,0,0,0,4,0,4,5,7,13,0,3,4,8,10,19,87,51,141,106,71,176,4,0,6,0,0,0,8,3,11,11,3,14,273,452,723,786,1425,2208,98,82,181,11620,11284,22907
LGA10130,5,3,8,23,25,49,0,0,0,0,3,3,18,18,37,4057,3852,7906,370,427,796,136,18,151,89,16,102,96,25,117,61,37,91,350,312,663,5203,4728,9928,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,6,4,5,0,0,0,0,0,0,3,0,3,0,3,7,4,0,4,7,3,14,64,34,101,79,42,115,3,3,3,0,0,3,3,0,7,8,3,14,443,447,887,467,786,1254,59,68,129,6252,6076,12327
LGA10250,7,3,13,46,44,97,3,0,5,3,0,3,5,3,6,6127,5818,11946,343,448,788,195,6,202,91,15,108,155,62,213,77,42,117,238,311,548,7293,6752,14043,0,3,3,0,0,0,0,0,0,3,4,8,0,0,0,0,0,0,3,7,11,0,0,0,0,0,0,4,0,4,7,11,14,4,0,4,16,12,22,77,51,130,97,62,162,0,0,0,0,0,0,10,0,10,9,0,9,574,726,1302,672,1065,1737,110,104,210,8758,8711,17463
LGA10300,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,356,252,601,27,20,48,12,0,12,5,0,5,0,5,6,10,10,15,57,46,104,464,329,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,51,47,97,19,46,69,9,8,16,547,435,982
LGA10470,15,6,21,33,26,51,8,0,8,0,0,0,16,21,39,6669,6162,12835,447,514,962,197,7,209,55,6,61,68,13,85,55,26,83,365,326,685,7931,7104,15035,0,7,4,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,8,4,13,0,0,0,0,0,0,4,3,3,0,4,7,3,3,6,5,9,19,57,39,100,80,54,130,3,3,8,0,0,0,4,3,8,11,5,15,354,480,838,757,1189,1945,117,96,208,9245,8923,18165
LGA10550,5,6,12,22,30,54,0,0,0,0,0,0,0,6,6,4448,4117,8566,251,285,530,170,7,177,56,8,65,43,15,56,70,42,110,306,332,644,5367,4850,10219,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,6,8,0,0,0,0,0,0,0,0,3,3,8,9,0,0,0,3,9,11,50,22,77,58,39,94,0,0,0,0,0,0,5,4,11,3,4,8,466,510,973,697,982,1681,96,86,177,6689,6466,13153
LGA10600,4,0,3,11,0,10,0,0,0,0,0,0,3,0,3,1582,1448,3025,91,117,207,58,0,65,23,0,30,18,8,26,20,12,34,136,118,252,1943,1721,3658,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,6,24,24,14,33,3,0,3,0,0,0,0,0,0,3,0,9,260,253,516,214,384,593,34,44,80,2479,2414,4890
LGA10650,3,3,3,7,0,8,0,0,0,0,3,3,0,0,0,1080,995,2077,60,57,118,53,4,52,13,0,13,22,3,25,22,9,38,116,93,209,1383,1171,2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,178,144,324,120,217,338,28,27,59,1722,1561,3282
LGA10750,7154,6811,13962,2577,2750,5325,9,3,14,16,6,22,228,65,292,53713,38211,91922,3257,4416,7669,1462,18,1473,574,41,614,238,50,291,440,208,647,771,939,1717,70429,53515,123947,1974,2306,4285,8,5,12,20,26,48,1646,1240,2885,337,695,1028,113,46,156,4095,4315,8418,3,0,6,0,4,4,243,186,423,82,184,262,17,15,37,343,389,729,529,268,799,4970,4976,9948,629,716,1346,14,19,31,24,8,29,663,741,1406,1419,2423,3843,4085,6657,10743,913,675,1590,82472,68997,151468
LGA10800,0,0,3,56,6,61,0,0,0,0,0,0,3,0,0,707,639,1349,88,60,152,52,3,51,3,0,4,5,5,12,36,9,48,95,59,154,1051,787,1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,0,0,0,7,3,15,14,4,15,24,5,28,0,0,0,0,0,0,4,0,8,6,0,3,214,173,388,93,143,238,29,23,53,1414,1135,2541
LGA10850,3,0,4,8,5,14,0,0,0,0,0,3,0,0,0,1138,1024,2164,66,54,112,58,7,62,22,0,18,3,0,3,10,6,17,71,63,137,1378,1161,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,13,6,7,16,0,0,0,0,0,0,0,0,0,0,0,3,157,139,296,141,193,333,15,20,40,1696,1529,3222
LGA10900,1546,1263,2806,55,72,127,3,0,3,4,3,7,37,27,67,11247,10463,21713,499,721,1221,352,9,360,166,16,179,95,24,120,116,51,171,449,464,916,14573,13115,27693,155,121,277,0,0,0,4,3,7,320,247,567,56,77,134,72,22,95,620,462,1085,0,0,0,0,0,0,5,5,15,4,4,9,3,0,3,10,9,27,115,72,186,744,547,1288,87,85,173,0,0,0,5,0,7,97,83,179,1089,1353,2440,1528,2498,4021,127,108,236,18157,17705,35860
LGA10950,0,0,0,41,15,52,0,0,0,0,0,0,0,0,0,358,312,669,34,21,56,18,0,15,11,0,7,9,3,10,6,0,5,44,50,98,514,405,923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,6,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,75,59,130,36,47,86,15,7,23,646,529,1173
LGA11100,1095,1123,2216,1056,1414,2472,0,0,3,0,0,4,65,15,78,6474,4623,11098,380,695,1072,126,0,123,228,27,256,230,26,253,95,48,138,615,520,1135,10360,8486,18849,408,403,808,5,0,3,11,16,27,70,46,118,24,37,63,19,7,24,538,512,1049,3,0,3,7,3,8,59,75,135,21,77,94,13,15,29,104,167,271,74,44,116,717,722,1439,69,78,143,7,9,23,0,0,0,75,87,170,261,364,629,636,1037,1678,116,93,208,12176,10784,22963
LGA11150,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,288,257,554,32,42,68,13,0,16,4,0,7,7,3,9,8,10,17,74,83,158,434,401,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,4,0,4,4,0,4,38,42,82,24,36,61,6,11,17,512,490,1000
LGA11200,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,106,120,226,24,17,37,18,0,18,8,3,13,0,0,4,0,0,4,52,55,110,220,197,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,3,0,3,3,0,3,23,22,44,5,12,22,8,3,14,261,239,498
LGA11250,3,0,3,27,11,31,0,3,5,0,0,0,3,0,9,2468,2366,4836,180,232,415,35,0,36,48,0,48,32,5,34,15,11,25,170,159,321,2986,2781,5770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,8,0,8,9,17,26,21,17,34,0,0,3,0,0,0,0,0,0,4,0,4,60,98,163,384,457,844,54,40,93,3507,3395,6902
LGA11300,2415,2406,4827,221,320,547,3,0,3,9,3,16,15,8,21,3907,2560,6466,170,363,529,119,0,119,71,3,77,62,7,70,47,24,74,341,487,829,7385,6190,13572,461,520,976,9,4,6,19,10,28,91,51,141,26,59,81,17,16,31,620,657,1276,0,0,0,0,0,0,11,11,23,5,4,15,0,7,6,17,21,43,38,34,73,676,711,1389,64,64,121,0,3,5,0,0,0,61,68,130,231,351,583,479,800,1283,124,88,218,8962,8212,17174
LGA11350,5,3,14,40,32,73,0,3,3,0,0,3,12,9,19,4089,3955,8048,218,257,471,120,7,129,86,11,95,198,135,334,79,50,135,283,289,572,5136,4757,9893,4,0,4,0,0,0,0,0,0,3,3,3,0,0,0,3,0,4,5,7,9,0,0,0,0,0,0,0,0,3,3,3,6,3,0,3,5,4,14,34,39,73,49,45,95,0,4,5,0,0,3,4,4,12,9,13,20,824,997,1819,582,909,1498,133,106,235,6731,6826,13557
LGA11400,0,3,3,3,7,13,3,0,3,0,0,0,0,3,3,2132,1808,3938,117,123,239,112,7,117,24,0,26,5,0,5,34,17,47,166,102,264,2599,2065,4658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,17,18,3,22,0,0,0,3,0,3,0,5,5,3,4,10,347,302,647,218,372,591,48,54,103,3231,2794,6032
LGA11450,581,530,1117,108,147,257,0,0,0,0,3,4,13,5,21,15390,12748,28135,723,837,1562,561,7,562,124,6,133,49,10,65,108,54,159,192,185,375,17849,14534,32382,160,128,284,0,0,3,0,0,0,646,518,1166,49,94,144,12,0,10,867,741,1609,0,0,0,0,0,0,7,10,15,5,24,37,3,0,3,12,40,52,142,63,209,1029,848,1873,89,79,174,4,7,10,7,0,5,103,85,187,531,1004,1532,1291,2356,3647,207,182,387,20999,19015,40014
LGA11500,3953,3666,7621,256,405,665,4,0,4,3,4,7,75,27,102,24153,18111,42269,1632,1918,3547,744,11,757,257,14,270,84,20,98,159,82,238,375,428,811,31706,24691,56392,736,752,1488,5,3,11,18,12,26,812,704,1517,173,317,492,72,27,99,1814,1817,3634,0,0,0,0,0,0,5,20,23,34,51,91,3,4,8,50,80,129,217,122,339,2080,2020,4100,276,285,557,7,5,8,10,3,10,284,288,578,551,1000,1550,2183,3283,5459,435,319,760,37245,31594,68841
LGA11520,2993,2885,5878,1477,2002,3478,480,452,928,20,28,54,66,40,102,12238,9542,21778,437,973,1406,245,6,250,299,39,339,326,79,402,176,103,274,621,702,1329,19371,16856,36227,562,616,1182,36,28,66,10,14,26,181,140,325,34,94,128,45,8,55,876,906,1776,58,49,110,11,10,17,71,104,175,15,60,73,21,18,37,176,242,417,189,143,332,1241,1288,2527,133,109,236,25,28,47,14,3,18,168,135,303,878,1145,2024,1123,2156,3278,181,160,347,22958,21738,44699
LGA11570,10007,9501,19504,983,1774,2753,11,3,20,35,58,91,330,63,400,48414,30702,79112,2646,3811,6453,1537,17,1555,477,51,528,345,57,406,560,245,806,1298,1490,2787,66637,47778,114415,1671,1915,3582,23,11,39,78,81,162,1127,970,2093,242,485,729,129,65,191,3276,3521,6797,0,0,0,6,15,18,73,76,149,38,122,162,17,18,33,137,228,364,541,285,820,3953,4028,7977,401,430,831,20,13,31,18,5,25,437,449,883,1343,2494,3832,3816,5528,9348,1035,697,1736,77223,60974,138192
LGA11600,0,0,0,8,7,17,0,0,0,0,0,0,0,0,0,457,325,777,55,31,80,21,0,16,3,0,3,4,4,6,17,7,23,54,56,110,620,431,1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16,9,7,12,0,0,0,0,0,0,0,0,0,0,0,0,105,80,181,32,64,99,21,16,35,798,593,1384
LGA11650,3141,2208,5346,611,824,1437,31,8,39,6,6,12,46,47,95,48232,42845,91077,3195,3192,6388,1478,33,1506,535,37,567,310,81,390,424,223,650,1162,1171,2326,59164,50681,109846,765,516,1278,14,6,19,9,12,19,1500,954,2451,172,251,426,142,38,181,2605,1780,4378,9,6,7,0,0,0,28,21,43,46,87,127,5,4,11,81,117,200,619,249,867,3308,2141,5450,465,284,743,14,14,30,27,9,37,507,303,814,2861,4254,7113,5512,9404,14916,729,728,1456,72088,67514,139593
LGA11700,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,130,99,228,16,16,34,8,0,8,10,3,10,3,0,3,10,4,18,66,52,111,230,179,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,3,8,0,0,0,0,0,0,0,3,6,0,3,6,60,37,96,9,18,24,9,4,21,325,241,564
LGA11720,11,13,22,51,38,84,6,0,7,0,0,0,10,12,21,8321,7115,15434,594,495,1089,261,5,269,76,9,87,30,3,30,55,25,87,194,194,387,9605,7913,17521,8,0,14,0,0,0,0,0,0,20,10,36,3,5,3,0,0,0,37,18,51,0,0,0,0,0,0,0,0,4,8,4,11,3,0,3,9,6,19,116,32,156,162,60,218,8,4,13,0,0,0,5,0,5,15,4,20,307,493,797,1158,1635,2787,148,133,282,11389,10236,21626
LGA11730,8,4,11,35,33,69,3,0,3,0,0,0,10,8,19,6109,5597,11708,407,452,867,268,5,276,79,6,89,131,58,185,96,39,135,420,363,781,7555,6569,14123,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,4,6,11,74,37,110,83,51,127,3,0,3,0,0,3,7,0,5,11,3,11,509,589,1100,762,1214,1976,126,96,225,9043,8521,17565
LGA11750,0,0,0,9,0,9,0,0,0,0,0,0,0,3,3,704,524,1230,61,56,117,25,3,25,17,0,19,10,3,18,16,10,24,59,67,128,911,669,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,9,0,15,0,0,0,0,0,0,3,0,3,3,0,3,65,74,133,140,118,251,11,23,33,1136,875,2014
LGA11800,9,3,16,69,69,137,5,0,7,0,0,0,14,17,31,10689,10096,20784,771,1046,1811,350,13,359,178,20,203,182,54,231,103,78,182,430,426,855,12797,11825,24620,3,7,3,0,0,0,0,0,0,7,5,5,3,0,3,0,0,0,11,10,17,0,0,0,0,0,0,5,8,6,10,8,18,3,0,4,17,16,34,122,57,177,150,77,228,5,0,5,3,0,3,10,3,7,16,3,17,648,893,1543,1091,1800,2894,166,157,323,14869,14759,29620
LGA12000,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,577,514,1093,40,41,81,33,0,33,10,0,10,0,0,0,14,6,17,52,33,84,723,597,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,108,91,194,56,112,174,17,16,28,904,821,1728
LGA12150,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,439,400,839,32,36,65,17,0,12,8,7,10,6,0,4,16,7,24,50,54,106,577,509,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,3,7,0,0,0,0,0,0,0,0,3,0,0,3,121,88,210,30,70,94,18,6,31,746,673,1419
LGA12350,0,0,0,3,5,3,0,0,0,0,0,0,0,5,4,1703,1430,3133,130,143,272,94,5,97,25,3,30,15,0,15,20,9,33,133,100,236,2128,1695,3823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,19,19,8,26,0,0,0,0,0,0,0,0,0,0,0,0,211,220,427,162,295,458,39,28,71,2562,2248,4811
LGA12380,7993,6775,14768,724,1071,1791,3,3,9,17,16,34,181,54,232,30394,16531,46924,1988,2478,4465,878,21,892,215,18,232,178,27,206,329,151,481,852,901,1754,43743,28038,71782,1482,1541,3023,10,7,22,37,29,68,684,443,1127,187,293,482,75,35,107,2474,2353,4819,0,0,0,0,0,0,49,59,111,19,71,91,10,3,18,78,135,212,342,124,464,2894,2606,5499,311,344,651,7,9,14,14,0,15,327,356,683,745,1496,2246,2357,3083,5436,736,451,1188,50803,36040,86838
LGA12700,4,4,6,8,0,8,0,0,0,0,0,0,3,4,7,1416,1183,2597,79,65,141,77,0,76,15,0,13,7,0,7,14,4,21,77,67,141,1693,1323,3018,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,24,20,7,30,0,0,3,0,0,0,0,0,0,0,0,3,168,180,346,158,272,436,25,27,57,2072,1811,3885
LGA12730,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1379,1203,2580,80,100,175,48,0,46,9,0,10,21,11,31,23,11,28,106,100,210,1668,1424,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,17,10,7,23,0,0,0,0,0,0,0,0,3,0,0,3,153,130,280,129,230,363,31,22,52,1995,1815,3812
LGA12750,3,0,4,43,31,72,0,0,0,0,3,3,5,3,14,4425,4275,8700,286,360,647,206,10,217,48,6,56,60,21,80,63,25,90,238,242,478,5376,4986,10365,3,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,3,6,10,0,3,3,3,10,12,40,16,59,53,29,80,0,0,0,0,0,0,0,0,0,0,4,3,356,449,812,622,918,1538,80,98,180,6492,6481,12976
LGA12850,2713,2808,5521,484,697,1180,9,0,8,8,8,17,47,23,78,27751,18196,45943,2022,2905,4928,1147,21,1168,145,16,157,120,17,143,242,102,347,483,717,1203,35178,25515,60687,659,782,1441,0,0,0,16,8,18,752,514,1265,141,305,446,29,13,43,1593,1626,3217,7,0,7,0,0,0,39,51,94,28,51,83,8,7,15,82,116,196,310,203,514,1993,1940,3930,226,258,485,5,5,7,3,4,5,236,266,503,560,1094,1654,1663,2484,4148,586,391,974,40212,31681,71899
LGA12870,0,0,3,6,5,7,0,0,0,0,0,0,0,3,4,1848,1456,3311,115,106,220,51,0,57,11,3,14,17,9,26,30,13,40,104,114,213,2190,1702,3898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,29,17,12,29,0,0,0,0,0,0,0,0,0,0,0,0,190,181,370,218,361,588,40,47,91,2664,2300,4970
LGA12900,0,0,0,18,5,22,0,0,0,0,0,0,7,3,9,1411,1193,2602,111,90,198,61,0,64,17,0,17,4,3,14,27,12,36,106,78,178,1761,1395,3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,15,5,21,16,9,27,0,0,0,0,0,0,0,0,4,0,0,4,195,177,376,120,209,335,33,25,58,2136,1809,3944
LGA12930,7928,8119,16047,329,581,918,8,11,13,6,14,22,52,26,82,19925,13375,33303,844,1666,2506,422,6,429,214,20,234,125,23,147,192,95,288,912,1290,2199,30958,25226,56182,1131,1247,2374,13,9,23,59,58,114,610,479,1097,165,280,445,67,29,100,2046,2095,4146,0,0,0,0,0,0,25,31,56,14,35,47,0,9,7,43,77,119,152,92,243,2243,2266,4505,229,245,478,11,4,10,3,3,8,241,252,494,984,1330,2313,2062,3371,5440,346,254,596,36834,32704,69537
LGA12950,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,537,492,1030,39,32,73,28,0,28,13,0,13,8,0,4,18,3,21,63,62,129,700,598,1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,16,0,17,0,0,0,0,0,0,0,0,5,0,0,5,149,109,262,68,102,173,15,16,27,955,830,1783
LGA13010,3,0,4,6,0,10,0,0,3,0,0,0,8,3,8,977,935,1914,88,85,173,71,8,75,11,4,19,8,6,14,12,11,22,108,104,217,1303,1156,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,24,17,9,27,0,0,0,0,0,0,0,0,0,0,0,0,201,158,359,114,194,312,45,27,73,1673,1552,3224
LGA13310,16,8,23,40,16,59,3,0,4,0,0,0,16,19,35,4760,4131,8892,394,394,790,184,9,190,56,3,59,24,8,32,44,16,66,222,187,402,5756,4794,10552,3,3,3,0,0,0,0,0,0,3,8,12,0,0,0,0,0,0,6,14,22,0,0,0,0,0,0,0,6,9,0,3,3,0,0,0,0,7,12,52,24,68,59,44,99,0,0,3,0,0,4,4,0,4,8,3,5,238,309,547,561,802,1361,89,64,152,6708,6013,12722
LGA13340,4,0,4,9,5,18,0,0,0,0,0,0,0,0,0,1521,1363,2888,74,68,146,88,0,87,18,3,21,7,4,13,40,12,57,124,98,220,1884,1554,3441,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,24,3,26,22,9,34,0,0,0,0,0,0,0,0,0,0,0,0,335,257,594,180,301,477,31,34,65,2460,2154,4614
LGA13450,3,3,5,4,8,15,0,0,0,0,0,0,10,13,20,4709,3867,8574,438,487,927,105,0,103,46,7,49,44,5,48,53,14,64,199,132,334,5613,4540,10149,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,50,21,72,54,24,77,0,0,0,0,0,0,0,0,0,0,0,0,233,231,463,322,533,856,77,97,167,6302,5419,11713
LGA13510,0,0,0,13,3,16,3,0,3,0,0,0,0,0,4,1531,1366,2895,145,107,251,65,3,70,27,5,31,22,3,19,30,10,45,115,122,234,1951,1628,3573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,21,13,5,21,0,0,0,0,0,0,3,0,3,3,0,3,173,158,331,141,244,384,39,24,65,2318,2059,4382
LGA13550,3,0,4,58,20,79,0,0,0,0,0,0,9,11,16,1898,1609,3508,219,127,348,101,5,100,8,0,15,6,7,16,18,13,33,125,81,208,2446,1876,4318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,25,0,3,3,0,0,3,27,4,31,30,3,35,59,9,62,0,0,0,0,0,0,0,0,0,0,0,0,198,220,421,206,294,502,33,35,67,2949,2428,5381
LGA13660,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,616,511,1131,27,34,59,52,7,62,12,0,16,4,3,7,26,10,41,87,73,163,838,655,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,5,4,7,0,0,0,0,0,0,0,0,3,0,0,3,223,171,387,56,110,168,10,15,27,1129,947,2083
LGA13800,380,437,826,45,71,116,0,0,0,0,0,0,9,13,24,12203,10215,22422,650,626,1273,877,11,893,143,14,153,101,11,110,99,47,145,349,264,617,14861,11712,26576,52,58,109,0,0,0,0,0,0,212,237,449,42,36,76,13,0,18,328,334,658,0,0,0,0,0,0,11,16,24,0,6,8,3,0,3,17,22,36,158,64,217,492,418,917,47,47,97,0,0,0,7,4,7,52,50,104,644,1087,1729,950,1723,2676,173,157,324,17178,15154,32329
LGA13850,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,440,331,766,42,31,73,22,0,28,9,0,9,8,5,8,18,6,25,50,59,104,586,432,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,49,61,105,56,69,129,17,10,27,714,578,1296
