LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA10050,19759,21704,41468,8745,4856,13599,2345,5738,8084,534,691,1224,896,787,1684,12515,12071,24587,5767,8087,13853,7.2,6.5,6.8,63.3,55.6,59.3,58.8,52,55.2,466,578,1047,304,546,843,1773,2935,4703,1395,2133,3530,5437,2897,8334,211,430,644,311,575,888,5964,3903,9869,18123,19387,37515,3903,4273,8177,11898,12578,24473,9166,10268,19440
LGA10130,11545,12567,24115,4335,2793,7126,1585,2875,4459,325,407,736,554,476,1032,6806,6551,13359,3810,5021,8834,8.1,7.3,7.7,59,52.1,55.4,54.1,48.3,51.1,921,824,1741,193,380,571,1261,2023,3285,628,1100,1729,2270,1209,3482,128,203,327,182,331,507,2575,1741,4317,10305,10815,21117,2385,2829,5215,6707,7047,13750,5522,6145,11664
LGA10250,16498,18363,34860,5843,3540,9382,2467,4676,7140,444,494,939,623,459,1086,9380,9169,18550,5851,7788,13639,6.6,5,5.9,56.9,49.9,53.2,53.1,47.4,50.1,511,559,1071,295,452,741,1940,2792,4734,1236,2086,3324,4358,2024,6380,133,295,430,337,606,938,4826,2925,7753,15336,16332,31664,2919,3297,6219,10085,10890,20968,7474,8179,15652
LGA10300,922,879,1801,419,194,614,93,212,302,37,29,63,30,28,55,577,456,1041,230,321,552,5.2,6.1,5.3,62.6,51.9,57.8,59.5,49.5,54.4,9,15,21,0,10,13,33,63,94,26,60,80,169,88,250,9,16,26,4,12,19,188,113,300,914,848,1761,114,118,236,669,609,1274,295,305,604
LGA10470,16480,16703,33181,6989,4178,11165,1781,4144,5923,478,606,1079,645,518,1162,9893,9437,19332,5396,6023,11424,6.5,5.5,6,60,56.5,58.3,56.1,53.5,54.8,454,499,951,226,424,645,1372,2382,3759,1023,1651,2672,4459,2048,6508,169,358,526,266,558,818,4892,2963,7856,14901,15366,30271,2964,3144,6112,9605,9773,19380,7427,7992,15418
LGA10550,13549,14437,27994,4458,2497,6957,1792,3508,5298,437,461,895,418,329,750,7101,6795,13905,5406,6542,11948,5.9,4.8,5.4,52.4,47.1,49.7,49.4,44.8,47,311,345,651,188,406,598,1124,1821,2947,893,1444,2331,3846,1649,5493,127,309,437,250,482,730,4230,2445,6669,12652,13183,25834,2013,2192,4205,8952,9121,18070,5190,5741,10929
LGA10600,5030,5433,10465,1508,880,2386,834,1369,2210,138,162,298,226,160,378,2697,2574,5273,1993,2499,4489,8.4,6.2,7.2,53.6,47.4,50.4,49.3,44.4,46.8,129,184,314,74,154,228,505,896,1405,363,607,975,1368,600,1970,63,92,153,95,177,271,1526,872,2401,4752,5071,9817,845,937,1780,3348,3476,6827,2029,2285,4314
LGA10650,3483,3532,7018,1271,621,1895,309,822,1132,140,120,258,92,74,165,1814,1633,3450,1321,1543,2864,5.1,4.5,4.8,52.1,46.2,49.2,49.4,44.3,46.8,18,35,53,16,48,67,160,333,494,185,275,460,893,464,1355,24,59,82,47,92,133,959,612,1565,3230,3215,6438,479,534,1013,2269,2264,4533,1269,1325,2600
LGA10750,128170,132134,260306,63968,38436,102402,14754,26539,41295,3745,4023,7771,5909,5998,11907,88377,74994,163377,33296,50446,83745,6.7,8,7.3,69,56.8,62.8,64.3,52.2,58.2,7236,6781,14020,1261,1725,2983,17585,22722,40305,10544,12429,22969,23256,12317,35577,1023,2017,3039,2157,3097,5249,26439,17425,43865,131207,134157,265365,21662,21607,43268,86357,88421,174777,57874,58797,116668
LGA10800,2366,2363,4725,1092,519,1609,233,529,764,84,84,168,60,37,95,1469,1169,2635,626,896,1526,4.1,3.2,3.6,62.1,49.5,55.8,59.6,47.9,53.8,11,24,37,13,24,37,107,216,323,86,161,250,590,253,841,21,60,80,43,68,108,651,378,1023,2345,2296,4635,228,263,489,1749,1700,3454,701,729,1429
LGA10850,2832,2918,5751,1317,671,1987,292,752,1043,88,103,192,115,85,200,1811,1614,3421,796,1108,1904,6.4,5.3,5.8,63.9,55.3,59.5,59.9,52.3,56,47,63,112,32,54,85,189,362,547,147,276,428,784,405,1191,26,60,84,59,99,161,870,565,1432,2839,2893,5737,425,448,875,2011,1986,3999,1076,1190,2271
LGA10900,29902,32926,62830,13128,7866,20994,4268,8882,13148,765,958,1724,940,845,1778,19093,18550,37642,9379,12892,22275,4.9,4.6,4.7,63.9,56.3,59.9,60.7,53.8,57.1,1936,2256,4193,706,1333,2034,4520,6521,11046,3049,4322,7368,7202,3434,10640,272,440,708,668,1050,1723,8143,4928,13068,30132,32368,62501,4082,4308,8390,21430,23052,44479,11670,12687,24361
LGA10950,1079,1059,2140,534,268,799,87,239,324,31,26,55,40,24,62,683,550,1233,269,402,675,5.9,4.4,5,63.3,51.9,57.6,60.4,50.3,55,7,9,20,3,13,19,49,105,157,42,74,116,258,105,354,8,15,26,15,23,40,282,141,428,1039,1011,2046,123,151,277,780,728,1509,325,356,683
LGA11100,19152,19583,38732,9184,6137,15323,2442,4038,6483,549,612,1163,714,643,1351,12885,11431,24315,4868,6798,11669,5.5,5.6,5.6,67.3,58.4,62.8,63.6,55.1,59.3,1448,1393,2835,185,328,513,3202,3907,7113,1571,1953,3525,3136,1374,4511,121,192,313,284,429,710,3537,1992,5529,17164,17649,34811,3830,3638,7472,10603,11265,21873,9557,9204,18760
LGA11150,991,1023,2016,402,318,724,86,146,233,23,26,44,40,28,69,551,520,1071,236,311,546,7.3,5.4,6.4,55.6,50.8,53.1,51.6,47.9,49.7,7,20,27,3,8,8,48,114,165,56,91,144,165,77,247,11,24,31,16,13,32,189,120,305,881,863,1748,119,167,279,619,605,1219,314,359,668
LGA11200,647,621,1274,201,151,346,44,62,106,18,26,40,57,38,95,315,280,594,271,298,573,18.1,13.6,16,48.7,45.1,46.6,40.6,38.5,38.6,0,10,8,7,3,5,16,64,82,24,36,65,93,47,136,20,22,46,6,10,18,121,76,203,634,630,1266,88,88,183,489,497,985,167,173,339
LGA11250,7134,7629,14767,2553,1680,4229,707,1471,2178,249,247,496,405,269,668,3908,3661,7572,2674,3406,6078,10.4,7.3,8.8,54.8,48,51.3,49.2,44.5,46.7,66,124,192,63,112,178,300,595,893,299,506,804,1976,907,2881,70,159,224,81,208,292,2123,1277,3399,6781,7126,13905,915,1024,1938,5223,5447,10669,2117,2414,4535
LGA11300,15370,16638,32004,6020,4279,10296,2518,3491,6007,423,441,867,728,681,1413,9692,8894,18583,4845,6870,11708,7.5,7.7,7.6,63.1,53.5,58.1,58.3,49.4,53.6,1592,1678,3271,196,315,510,3452,3975,7425,1228,1522,2750,1502,750,2254,73,117,192,175,291,472,1753,1160,2916,12788,13840,26630,3643,3784,7430,8034,8757,16787,7968,8461,16433
LGA11350,12547,13726,26265,3792,2335,6120,2536,4065,6602,405,431,839,499,448,945,7227,7279,14502,3682,4758,8433,6.9,6.2,6.5,57.6,53,55.2,53.7,49.8,51.6,480,631,1109,201,391,593,1859,2661,4526,956,1831,2787,2854,1248,4102,82,153,236,211,409,619,3148,1810,4955,10763,11417,22180,2190,2649,4840,7150,7322,14476,5271,6167,11436
LGA11400,5217,5283,10499,2511,1268,3778,534,1338,1874,186,187,373,145,125,268,3377,2920,6295,1463,2012,3480,4.3,4.3,4.3,64.7,55.3,60,61.9,52.9,57.4,121,123,245,44,94,138,398,710,1112,352,543,900,1437,611,2048,49,113,167,86,199,282,1574,927,2494,5421,5412,10831,633,685,1321,3952,3838,7786,1805,1962,3764
LGA11450,28799,30720,59521,17176,9747,26915,2915,8012,10922,910,1262,2173,825,895,1726,21826,19916,41740,5616,9341,14959,3.8,4.5,4.1,75.8,64.8,70.1,72.9,61.9,67.2,813,1021,1842,279,590,864,2661,4303,6968,2499,3644,6135,8607,3724,12333,214,573,786,515,871,1392,9341,5168,14507,29046,30195,59235,6266,6578,12844,16575,17182,33753,16647,17577,34221
LGA11500,59612,63534,123148,28690,17079,45764,6774,12730,19503,1784,1784,3572,2823,3053,5874,40062,34650,74715,16095,25007,41106,7,8.8,7.9,67.2,54.5,60.7,62.5,49.7,55.9,2382,2257,4641,474,733,1202,5561,7496,13056,4307,6132,10444,13555,7173,20731,542,1132,1675,1102,1762,2858,15201,10066,25265,60216,62573,122783,9836,10222,20058,41355,42827,84180,25115,26547,51662
LGA11520,35060,38670,73728,17815,12444,30259,4294,8103,12397,857,1188,2040,1224,1151,2374,24182,22888,47071,8775,13487,22260,5.1,5,5,69,59.2,63.8,65.5,56.2,60.6,3911,4103,8017,689,1051,1739,8418,9870,18289,3037,4081,7121,4565,2026,6594,191,303,490,600,982,1576,5355,3311,8658,31464,34161,65628,7122,7463,14580,18953,21017,39973,18128,19280,37411
LGA11570,135647,139620,275266,54051,31549,85599,19105,25734,44841,4068,3689,7755,6743,5679,12420,83965,66655,150613,43563,64649,108219,8,8.5,8.2,61.9,47.7,54.7,56.9,43.7,50.2,6744,6123,12861,1172,1745,2915,18041,20418,38458,10373,13256,23627,21238,9788,31027,865,1656,2519,2146,3371,5512,24249,14811,39061,135662,138735,274403,21279,20714,41997,92340,95448,187790,56593,56033,112625
LGA11600,1145,1038,2185,623,265,882,103,280,386,69,48,115,20,26,46,818,615,1430,239,329,570,2.4,4.2,3.2,71.4,59.2,65.4,69.4,57.1,63.3,8,12,20,0,16,15,64,120,183,55,88,139,231,111,342,11,19,28,15,30,44,256,162,413,1086,980,2067,183,169,350,793,696,1487,402,383,788
LGA11650,127602,139707,267307,53462,29325,82786,15180,34046,49224,3448,4145,7589,5247,4850,10105,77335,72363,149701,42632,58761,101390,6.8,6.7,6.8,60.6,51.8,56,56.5,48.3,52.2,3153,3239,6391,1248,2350,3600,11083,16325,27408,9583,15087,24672,36265,18292,54557,1203,2478,3687,2439,4450,6888,39916,25215,65133,123670,131278,254948,20819,22709,43534,82070,86779,168850,56759,61990,118746
LGA11700,800,685,1485,265,158,423,41,64,100,18,21,38,36,34,71,360,274,633,310,304,614,10,12.4,11.2,45,40,42.6,40.5,35.5,37.8,6,8,13,4,7,12,20,45,62,29,38,71,106,57,165,11,14,23,8,15,26,129,85,209,715,653,1365,93,93,188,536,503,1035,220,198,426
LGA11720,21820,22360,44189,8481,4262,12738,2296,5273,7571,615,702,1316,1141,919,2059,12533,11152,23687,7803,9566,17368,9.1,8.2,8.7,57.4,49.9,53.6,52.2,45.8,48.9,205,261,466,102,240,347,873,1613,2485,1007,1794,2799,6785,3442,10224,230,548,779,316,664,980,7333,4653,11980,20809,21472,42279,3374,3609,6983,14220,14275,28491,8662,9543,18207
LGA11730,20766,21595,42364,6061,3370,9432,2421,4573,6992,559,579,1134,976,765,1740,10018,9285,19303,9158,10756,19915,9.7,8.2,9,48.2,43,45.6,43.5,39.5,41.4,287,286,575,195,309,504,1181,1948,3129,1136,1879,3011,5742,2932,8671,232,438,664,395,760,1160,6370,4132,10497,19256,19771,39028,3198,3367,6566,13693,13899,27591,7815,8440,16254
LGA11750,1870,1753,3623,949,463,1411,109,341,448,82,70,157,76,47,123,1217,922,2138,424,632,1053,6.2,5.1,5.8,65.1,52.6,59,61,49.9,55.6,22,23,53,11,21,33,102,146,248,51,125,175,534,215,753,10,38,55,26,25,50,571,279,852,1737,1634,3371,305,299,606,1161,1059,2219,758,748,1506
LGA11800,28551,31045,59595,10122,6188,16313,4008,7719,11722,738,844,1587,1304,1035,2347,16171,15794,31971,10132,12872,23007,8.1,6.6,7.3,56.6,50.9,53.6,52.1,47.5,49.7,600,650,1250,341,596,938,2641,3982,6628,1971,3464,5433,7837,3862,11703,334,690,1021,516,1007,1519,8683,5561,14244,26447,28010,54451,5292,5843,11139,17280,18028,35309,13272,14725,27995
LGA12000,1680,1751,3431,700,375,1070,158,384,542,51,60,114,52,43,101,962,866,1823,537,692,1225,5.4,5,5.5,57.3,49.5,53.1,54.1,46.8,50.3,23,25,47,6,26,35,79,191,268,82,143,225,435,211,643,20,34,53,32,52,85,485,294,778,1629,1647,3278,236,228,463,1177,1209,2383,617,585,1197
LGA12150,1550,1573,3124,550,347,901,134,257,389,61,66,129,74,65,140,824,739,1563,462,579,1040,9,8.8,9,53.2,47,50,48.1,42.6,45.4,8,23,28,0,21,19,62,132,193,52,106,157,271,168,439,8,37,47,19,33,49,298,231,537,1381,1395,2774,205,225,430,1034,1011,2043,472,516,990
LGA12350,5073,5229,10296,1929,947,2880,495,1154,1644,136,150,288,182,155,335,2740,2404,5148,1917,2382,4298,6.6,6.4,6.5,54,46,50,50.5,43,46.7,53,44,99,33,69,97,254,477,727,213,450,665,1324,626,1944,52,117,169,76,154,232,1449,897,2343,4843,4909,9752,671,737,1406,3477,3428,6911,1773,1954,3732
LGA12380,88379,83333,171707,35294,19322,54613,12769,14559,27324,2739,2160,4899,5262,3846,9103,56061,39877,95943,26863,38474,65337,9.4,9.6,9.5,63.4,47.9,55.9,57.5,43.2,50.6,5496,4576,10075,755,965,1721,12669,13592,26260,6729,7824,14553,11355,5421,16780,531,955,1481,1236,1662,2897,13127,8036,21159,84094,82016,166112,17481,14327,31812,52627,53465,106088,43351,37423,80776
LGA12700,3622,3687,7315,1481,769,2254,468,931,1404,126,111,233,121,104,227,2195,1921,4111,1152,1488,2645,5.5,5.4,5.5,60.6,52.1,56.2,57.3,49.1,53.2,64,70,136,30,65,97,230,414,650,239,425,666,1138,466,1603,24,67,98,60,123,182,1226,662,1885,3639,3618,7257,456,482,941,2681,2585,5264,1208,1321,2532
LGA12730,3552,3720,7276,1490,813,2306,386,881,1270,115,117,236,102,92,200,2101,1908,4011,1091,1435,2520,4.9,4.8,5,59.1,51.3,55.1,56.1,48.7,52.4,40,51,90,18,63,85,195,370,560,183,322,504,872,458,1330,32,62,98,64,80,140,970,600,1570,3319,3421,6739,505,528,1034,2402,2423,4827,1220,1326,2542
LGA12750,15527,16390,31914,4006,2471,6483,2088,3574,5662,394,441,835,569,419,986,7059,6904,13959,7136,8119,15254,8.1,6.1,7.1,45.5,42.1,43.7,41.8,39.6,40.7,354,362,711,225,391,617,1221,1733,2948,1037,1621,2660,4522,1961,6483,168,271,440,306,587,901,5001,2825,7822,14031,14560,28592,2363,2498,4859,9647,9858,19511,6272,6737,13016
LGA12850,78424,82452,160880,28537,16685,45228,9444,13185,22628,2234,1813,4041,4512,3917,8429,44733,35598,80326,29721,42937,72659,10.1,11,10.5,57,43.2,49.9,51.3,38.4,44.7,1234,1385,2620,275,509,782,6861,7944,14810,4946,6589,11534,11571,5789,17364,577,1147,1725,1165,1677,2844,13309,8616,21927,80439,83421,163859,10449,10692,21142,58721,60805,119526,28053,29148,57197
LGA12870,5060,5122,10187,1999,942,2936,485,1167,1648,189,194,381,134,129,257,2798,2428,5222,1802,2243,4049,4.8,5.3,4.9,55.3,47.4,51.3,52.8,45,48.7,40,66,100,34,69,107,217,438,654,246,431,683,1457,569,2028,35,108,146,83,139,215,1572,813,2389,4725,4731,9451,732,780,1511,3528,3512,7048,1676,1763,3445
LGA12900,3821,3815,7636,1640,850,2493,364,816,1177,133,139,272,116,110,225,2253,1914,4169,1202,1563,2764,5.1,5.7,5.4,59,50.2,54.6,55.9,47.3,51.6,33,55,92,25,49,79,190,394,588,177,340,513,927,462,1392,42,84,131,66,106,173,1036,655,1691,3726,3640,7364,535,609,1146,2622,2556,5175,1409,1450,2865
LGA12930,59077,63143,122216,26465,16780,43243,8801,14115,22916,1570,1808,3380,2447,2403,4844,39279,35103,74380,17164,25240,42408,6.2,6.8,6.5,66.5,55.6,60.9,62.4,51.8,56.9,5112,4824,9934,769,1149,1918,11783,13238,25021,5159,6684,11845,8529,3803,12334,322,592,908,998,1693,2689,9849,6087,15934,56174,59092,115265,10423,10882,21304,37606,39923,77532,26513,27623,54139
LGA12950,1688,1752,3440,729,382,1109,173,378,554,56,67,121,71,45,110,1027,868,1893,508,742,1257,6.9,5.2,5.8,60.8,49.5,55,56.8,47.2,51.9,14,19,34,0,16,14,57,185,240,52,135,190,396,228,628,18,31,57,31,44,72,442,307,750,1647,1727,3374,218,220,438,1188,1223,2411,571,627,1198
LGA13010,3635,3692,7322,1171,674,1845,398,764,1166,101,114,215,169,114,283,1844,1663,3509,1463,1672,3134,9.2,6.9,8.1,50.7,45,47.9,45.9,42,44.1,32,57,88,22,45,67,181,318,496,173,343,521,802,448,1247,58,73,128,73,125,198,934,642,1579,3221,3352,6570,503,569,1070,2348,2398,4741,1220,1343,2557
LGA13310,12173,12065,24238,5022,2833,7861,1322,2798,4121,360,382,745,462,387,851,7173,6396,13569,4146,4706,8848,6.4,6.1,6.3,58.9,53,56,55.1,49.8,52.5,239,268,508,126,212,341,757,1177,1935,800,1267,2068,3269,1640,4907,116,211,331,194,382,572,3580,2227,5811,11004,11115,22124,2008,2075,4083,7337,7360,14698,5034,5222,10250
LGA13340,4051,4061,8116,1869,860,2729,442,1129,1572,141,168,314,113,109,223,2571,2263,4835,1199,1497,2695,4.4,4.8,4.6,63.5,55.7,59.6,60.5,53.1,56.9,50,79,123,22,70,101,255,451,708,261,446,702,1129,557,1692,40,79,117,60,133,196,1235,772,2007,4272,4139,8415,489,553,1040,3102,2905,6010,1392,1556,2951
LGA13450,10081,10196,20274,4996,2585,7579,1002,2494,3493,303,333,638,337,249,586,6637,5661,12303,2400,3448,5853,5.1,4.4,4.8,65.8,55.5,60.7,62.5,53.1,57.8,146,144,290,63,143,207,635,991,1632,438,770,1213,2460,1140,3599,67,179,252,119,282,397,2649,1601,4246,9566,9619,19189,1623,1645,3270,6769,6753,13519,3838,3931,7773
LGA13510,4438,4692,9126,1711,917,2622,470,1012,1489,140,136,275,134,117,254,2454,2180,4633,1650,2171,3816,5.5,5.4,5.5,55.3,46.5,50.8,52.3,44,48.1,44,58,102,27,60,81,236,416,649,243,407,647,1137,567,1704,45,101,151,70,133,208,1256,807,2060,4347,4460,8803,624,668,1295,3204,3275,6480,1536,1642,3179
LGA13550,4799,4887,9686,2340,1133,3474,453,1138,1586,156,162,320,163,152,314,3114,2580,5694,1295,1920,3211,5.2,5.9,5.5,64.9,52.8,58.8,61.5,49.8,55.5,51,61,116,27,79,100,277,488,771,209,445,654,1258,619,1878,58,95,149,88,147,233,1399,868,2266,4656,4646,9300,830,857,1684,3114,3039,6156,1978,2110,4088
LGA13660,2143,2137,4280,886,433,1327,182,442,618,63,72,137,48,64,106,1178,1006,2187,729,924,1651,4.1,6.4,4.8,55,47.1,51.1,52.8,44.3,48.6,15,20,30,10,26,38,100,210,305,93,197,289,421,248,667,19,32,55,25,51,77,468,324,794,2035,1973,4006,292,312,604,1514,1459,2967,680,709,1389
LGA13800,25325,26394,51718,13559,7535,21093,2845,6803,9645,773,816,1583,689,759,1446,17859,15907,33768,5925,8893,14817,3.9,4.8,4.3,70.5,60.3,65.3,67.8,57.4,62.5,555,717,1275,218,487,704,1652,3131,4781,1858,2990,4847,8346,3612,11955,194,506,702,473,815,1290,9009,4930,13937,25334,25940,51273,3735,3845,7575,17636,17877,35509,10252,10806,21061
LGA13850,1220,1210,2431,547,260,807,116,281,391,53,43,95,38,22,62,753,608,1358,320,451,772,5,3.6,4.6,61.7,50.2,55.9,58.7,48.3,53.2,11,10,18,5,13,18,47,94,140,57,90,154,251,130,382,8,25,37,11,22,35,276,183,458,1127,1101,2224,153,167,323,827,801,1635,385,411,800
LGA13910,7230,7657,14883,2999,1549,4551,790,1760,2549,237,222,464,244,201,441,4271,3736,8002,2421,3317,5739,5.7,5.4,5.5,59.1,48.8,53.8,55.7,46.1,50.8,76,103,177,44,94,140,393,769,1163,352,694,1042,1898,913,2806,74,148,227,110,223,336,2077,1284,3367,7175,7361,14530,1113,1218,2326,5156,5227,10380,2695,2961,5659
LGA14000,55227,59570,114796,28218,16707,44920,7445,15442,22889,1257,1728,2987,1804,1765,3572,38727,35643,74365,14394,21453,35842,4.7,5,4.8,70.1,59.8,64.8,66.9,56.9,61.7,6693,5684,12374,1312,2014,3327,13164,15185,28348,5174,6974,12148,8091,3600,11687,332,581,914,970,1795,2769,9395,5970,15370,56997,60023,117022,8279,8810,17095,39891,41971,81858,22952,24450,47400
LGA14100,5549,5794,11350,2445,1523,3968,654,1307,1964,141,162,304,122,108,222,3360,3102,6465,1895,2392,4289,3.6,3.5,3.4,60.6,53.5,57,58.4,51.6,54.9,651,571,1221,107,207,313,1384,1549,2932,397,670,1067,538,249,784,20,48,71,90,162,249,641,461,1107,5496,5627,11130,918,799,1709,3445,3775,7219,2710,2393,5098
LGA14170,74421,79710,154128,37794,30019,67813,10167,17222,27388,1855,2521,4372,2605,2420,5021,52415,52177,104599,16054,21703,37764,5,4.6,4.8,70.4,65.5,67.9,66.9,62.4,64.6,8137,9848,17982,1797,3093,4890,18707,22682,41396,6126,7632,13758,8351,4005,12359,395,590,994,1003,1438,2448,9754,6044,15790,63692,67533,131226,15492,16324,31816,39232,41888,81121,37220,39332,76547
LGA14200,6398,6759,13158,2415,1383,3796,751,1431,2186,191,229,417,283,227,509,3632,3267,6900,2212,2944,5161,7.8,6.9,7.4,56.8,48.3,52.4,52.5,45,48.6,42,59,102,43,83,128,301,654,956,300,540,833,1662,924,2582,71,125,192,122,196,314,1852,1247,3096,6089,6320,12413,1139,1215,2356,4326,4392,8722,2458,2733,5190
LGA14300,2993,2176,5173,963,528,1491,215,479,687,66,71,137,57,55,116,1297,1133,2436,1474,839,2309,4.4,4.9,4.8,43.3,52.1,47.1,41.6,49.5,44.8,8,39,51,12,21,37,117,202,327,94,185,276,576,281,851,30,58,92,31,72,102,634,412,1045,2087,2081,4166,308,323,633,1534,1489,3019,741,788,1527
