LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA15650,6366,6097,12458,2960,1386,4344,568,1391,1954,224,208,430,331,270,603,4083,3254,7337,1840,2430,4270,8.1,8.3,8.2,64.1,53.4,58.9,58.9,49,54,74,62,137,31,70,99,276,474,746,313,448,757,1906,929,2831,70,149,218,69,163,238,2045,1238,3284,6036,5858,11896,1132,1240,2372,3769,3561,7334,2965,3135,6098
LGA15700,7808,8233,16040,1964,1168,3129,996,1675,2670,220,212,433,372,275,645,3550,3330,6878,3589,4239,7822,10.5,8.3,9.4,45.5,40.4,42.9,40.7,37.1,38.9,96,117,210,69,135,207,509,753,1261,402,778,1182,2194,1074,3273,92,177,272,150,307,456,2444,1559,4000,7318,7534,14854,1148,1264,2407,5170,5326,10494,2922,3138,6061
LGA15750,5153,5134,10296,2414,1230,3646,485,1164,1645,180,179,363,203,155,359,3278,2730,6013,1312,1815,3127,6.2,5.7,6,63.6,53.2,58.4,59.8,50.1,54.9,67,57,125,34,71,101,277,517,795,204,389,597,1188,618,1809,47,92,137,66,137,202,1304,851,2150,4971,4918,9896,675,718,1395,3608,3487,7096,1723,1807,3531
LGA15800,2325,2370,4697,979,512,1488,175,497,667,78,92,170,98,51,150,1329,1148,2472,743,970,1708,7.4,4.4,6.1,57.2,48.4,52.6,53,46.5,49.5,16,21,36,14,35,50,90,223,317,91,189,282,521,246,769,36,41,76,36,62,98,589,347,936,2153,2197,4342,355,351,711,1614,1630,3239,746,795,1543
LGA15850,2501,2567,5069,1085,617,1697,215,521,738,88,60,152,120,85,206,1507,1282,2792,743,1023,1767,8,6.6,7.4,60.3,49.9,55.1,55.5,46.7,51,16,24,36,10,28,40,99,290,395,113,204,318,607,315,923,32,50,83,39,62,96,681,425,1107,2512,2447,4961,315,394,705,1853,1784,3637,800,883,1683
LGA15900,63053,66161,129212,26861,16534,43399,8573,17246,25820,1628,2188,3816,3340,2489,5829,40409,38456,78864,18926,23713,42642,8.3,6.5,7.4,64.1,58.1,61,58.8,54.4,56.5,3265,3297,6561,891,1600,2487,9088,12135,21223,4726,6538,11267,15114,7256,22368,599,953,1545,1003,1647,2647,16712,9851,26567,57658,59255,116905,12824,13466,26287,37577,38973,76554,30277,31546,61822
LGA15950,27605,31513,59115,16230,13704,29933,3092,5787,8877,619,1008,1629,745,815,1565,20691,21314,42001,4649,7802,12445,3.6,3.8,3.7,75,67.6,71,72.2,65,68.4,4476,4618,9095,789,1291,2079,9504,10955,20458,2359,3418,5771,1915,1125,3039,100,204,308,363,654,1013,2382,1981,4363,21650,24560,46211,6576,7258,13828,10806,12835,23639,16650,18345,34989
LGA15990,97849,105173,203023,50932,30356,81286,13404,29260,42657,2510,3233,5739,2365,2274,4642,69209,65116,134320,23376,34169,57546,3.4,3.5,3.5,70.7,61.9,66.2,68.3,59.8,63.9,7599,7016,14614,1803,3135,4938,21308,24790,46103,9648,14179,23826,18510,7353,25866,618,1108,1729,2040,3535,5574,21179,11995,33170,97140,101663,198799,16113,16923,33034,63812,67137,130944,45259,47467,92725
LGA16100,2278,2101,4375,966,456,1419,196,494,694,65,64,134,74,62,137,1302,1078,2381,736,806,1545,5.7,5.8,5.8,57.2,51.3,54.4,53.9,48.3,51.4,32,38,69,14,34,51,107,203,309,113,169,286,608,201,809,22,50,80,41,70,111,672,329,997,1975,1908,3883,327,312,638,1399,1342,2739,788,767,1551
LGA16150,15142,16661,31801,6964,4386,11352,1619,3861,5484,455,523,977,651,553,1200,9681,9326,19008,4413,6277,10690,6.7,5.9,6.3,63.9,56,59.8,59.7,52.6,56,497,490,993,187,392,581,1521,2438,3964,992,1676,2668,3847,2200,6042,181,290,471,251,532,782,4275,3023,7300,14485,15365,29853,3213,3394,6607,9155,9621,18776,7528,8263,15786
LGA16200,5680,5981,11662,2411,1233,3647,536,1270,1805,181,213,395,256,208,470,3383,2925,6307,1738,2450,4189,7.6,7.1,7.5,59.6,48.9,54.1,55.1,45.4,50.1,64,75,132,44,67,113,301,556,848,248,472,720,1485,812,2302,64,134,206,97,181,274,1652,1128,2776,5504,5621,11127,842,908,1751,3918,3946,7871,2096,2266,4363
LGA16260,91838,92711,184550,44616,27465,72078,11457,18295,29747,2227,2531,4759,3973,4044,8019,62277,52332,114609,24167,35113,59275,6.4,7.7,7,67.8,56.4,62.1,63.5,52.1,57.8,11124,10094,21226,1510,2134,3647,21066,22688,43754,7811,9274,17086,11243,5214,16450,455,842,1301,1357,2047,3398,13054,8100,21154,81899,84187,166087,20006,19217,39223,48624,50977,99606,48405,47292,95698
LGA16350,75700,79074,154775,40384,23856,64237,7821,17962,25787,2167,2670,4837,2865,2875,5743,53238,47361,100604,18127,27208,45329,5.4,6.1,5.7,70.3,59.9,65,66.5,56.3,61.3,2060,2326,4379,554,1055,1604,5876,8860,14732,5229,7772,13002,20014,10257,30276,608,1397,2003,1348,2134,3479,21977,13786,35760,75181,77431,152617,12233,12832,25066,51105,52186,103287,31884,33994,65880
LGA16380,30994,34451,65441,10328,6328,16655,3717,7603,11321,791,882,1679,1159,989,2151,15999,15800,31799,12865,16429,29296,7.2,6.3,6.8,51.6,45.9,48.6,47.9,43,45.3,674,686,1362,348,651,1003,2629,3791,6424,2240,3730,5970,9027,4411,13439,325,690,1012,585,1243,1827,9935,6348,16283,28713,31207,59923,5405,5947,11357,18389,19840,38229,14600,16124,30722
LGA16400,27935,29111,57039,10608,5315,15925,3111,6895,10009,805,860,1669,1156,988,2151,15689,14066,29752,10083,12943,23026,7.4,7,7.2,56.2,48.3,52.2,52,44.9,48.4,525,516,1045,234,396,629,1810,2817,4624,2059,3016,5074,8943,4023,12970,289,582,871,549,977,1527,9783,5591,15372,26151,26728,52878,4782,5006,9791,17122,17455,34582,12667,13110,25777
LGA16490,22443,22624,45061,11960,8141,20096,2502,5092,7595,767,933,1702,662,567,1235,15890,14730,30623,4856,6298,11157,4.2,3.8,4,70.8,65.1,68,67.9,62.6,65.2,1513,1211,2725,463,794,1261,2629,3745,6372,1961,2524,4482,5209,2346,7556,170,369,537,292,591,881,5668,3303,8973,21286,21076,42361,3987,4052,8043,13987,13849,27835,10117,10337,20451
LGA16550,58503,61199,119698,25846,19259,45106,7110,12853,19960,1326,1888,3215,2042,2001,4046,36322,35996,72323,17644,20650,38290,5.6,5.6,5.6,62.1,58.8,60.4,58.6,55.6,57,6238,6411,12650,950,1658,2610,13265,16333,29601,4048,5852,9906,7447,2969,10414,251,464,714,780,1243,2026,8478,4677,13151,47662,50834,98497,12773,13571,26345,28360,31115,59476,30225,31358,61585
LGA16610,9100,9347,18441,2879,1643,4519,1225,1996,3216,243,283,527,396,291,694,4740,4211,8955,3576,4383,7955,8.4,6.9,7.7,52.1,45.1,48.6,47.8,42,44.8,83,87,166,49,96,144,367,713,1072,349,740,1092,2421,1304,3720,105,222,319,147,264,413,2669,1781,4452,8744,8892,17633,1387,1463,2852,6228,6282,12508,3398,3528,6925
LGA16650,45121,46861,91982,20133,13399,33532,6718,9797,16522,1348,1420,2771,1881,1621,3499,30086,26243,56327,12000,17497,29500,6.3,6.2,6.2,66.7,56,61.2,62.5,52.5,57.4,3304,3326,6632,511,741,1250,8249,9332,17584,4047,4829,8882,6450,3001,9458,254,484,740,725,1169,1889,7429,4659,12085,40384,41830,82208,8637,8558,17198,25998,27436,53433,21103,21000,42109
LGA16700,46719,50619,97335,22481,15325,37805,6094,10732,16824,1117,1500,2616,2018,1847,3861,31700,29401,61102,12920,18915,31833,6.4,6.3,6.3,67.9,58.1,62.8,63.6,54.4,58.8,5794,5796,11589,732,1265,1994,11668,13081,24754,4019,5224,9245,5821,2648,8473,240,437,681,674,1246,1921,6739,4342,11083,42547,45056,87603,9863,10523,20388,26766,28572,55340,23638,24993,48631
LGA16900,26461,28388,54854,11787,5867,17655,2890,7444,10327,775,843,1623,1135,1060,2201,16594,15214,31811,8401,11577,19983,6.8,7,6.9,62.7,53.6,58,58.4,49.9,54,423,499,925,187,418,610,1588,2601,4187,1918,2798,4710,8381,4143,12517,251,556,805,480,967,1445,9107,5661,14764,26681,27956,54636,3944,4215,8163,18781,19539,38328,10438,11326,21771
LGA16950,40891,42438,83332,12889,6884,19770,4856,9432,14288,1055,1212,2267,1456,1133,2589,20259,18661,38917,17502,20585,38083,7.2,6.1,6.7,49.5,44,46.7,46,41.3,43.6,862,926,1792,425,883,1311,2794,4175,6969,2801,4263,7061,12556,5407,17962,405,847,1251,786,1470,2250,13741,7726,21471,37265,38584,75847,6589,7088,13679,24990,25498,50490,17170,18526,35692
LGA17000,9250,8877,18127,4923,1937,6859,907,2424,3333,339,293,634,348,359,705,6515,5014,11525,2054,3220,5271,5.3,7.2,6.1,70.4,56.5,63.6,66.7,52.4,59.7,136,140,278,55,135,186,547,883,1433,534,764,1301,3082,1396,4481,96,215,310,156,278,432,3334,1882,5220,8862,8648,17511,1644,1514,3155,6013,5796,11817,3988,3855,7844
LGA17040,8637,8118,16754,3862,2364,6217,1072,1996,3067,297,281,577,188,150,340,5416,4791,10201,2456,2613,5073,3.5,3.1,3.3,62.7,59,60.9,60.6,57.2,58.9,210,218,427,99,172,267,716,1083,1802,549,859,1410,2512,1015,3532,81,171,257,140,255,396,2735,1446,4186,7789,7416,15204,1380,1334,2719,5548,5271,10818,3260,3135,6392
