LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA17400,1299,5,5,12,10,1334,596,4,0,11,3,614,193,34,14,0,3,247,34,0,7,0,0,41,197,3,0,3,0,208,40,9,0,0,0,45,29,0,3,0,0,37,40,0,0,3,0,44,536,46,27,14,3,626,24,0,0,0,0,25,81,0,0,3,4,85,2536,51,36,43,19,2682
LGA17420,14612,1306,556,26,24,16513,19054,2161,591,13,26,21856,3744,1390,1092,20,27,6269,42,75,11,0,4,128,926,210,150,6,10,1303,27,66,38,0,3,140,129,72,9,12,4,221,93,20,12,0,7,125,4955,1832,1313,32,58,8189,189,183,110,0,0,483,603,94,64,4,25,792,39414,5577,2636,72,134,47836
LGA17550,9637,2330,1249,861,86,14166,8250,1171,442,44,38,9945,2207,1396,1456,12,23,5089,239,395,263,0,0,898,1534,582,401,42,38,2593,52,85,25,3,0,157,162,63,50,164,15,446,136,46,31,6,6,226,4324,2561,2216,230,82,9413,151,154,67,5,44,421,560,280,206,70,29,1138,22929,6489,4180,1211,282,35089
LGA17620,1736,7,27,46,15,1831,1607,7,13,7,11,1645,475,52,109,0,4,642,84,3,46,0,0,135,359,3,23,3,9,400,25,0,8,0,0,35,166,5,7,12,7,204,75,0,0,0,3,79,1194,70,193,13,24,1496,39,0,0,0,0,47,123,3,8,3,3,145,4698,92,242,75,48,5161
LGA17640,1317,26,0,24,16,1382,883,5,0,9,11,912,151,8,3,0,0,156,14,3,0,0,0,21,195,12,0,4,3,212,9,14,0,0,0,17,43,0,0,0,0,43,47,0,0,0,0,49,461,28,3,10,3,504,24,3,0,0,0,27,77,4,0,0,0,87,2763,73,3,46,26,2912
LGA17650,937,4,0,9,6,951,748,0,0,7,3,759,158,7,19,0,0,192,15,0,3,0,0,22,150,0,8,3,0,166,0,0,0,0,0,0,59,0,0,3,0,69,33,0,0,0,0,34,430,8,29,11,4,477,22,0,0,0,0,26,57,3,3,0,0,69,2191,15,34,28,11,2281
LGA17750,6045,194,236,49,14,6540,7214,76,135,34,25,7484,2765,385,1279,50,11,4493,795,36,189,0,0,1017,1105,69,118,19,11,1324,37,22,60,0,0,125,366,18,15,24,4,425,97,4,22,3,0,122,5162,533,1685,95,22,7503,108,65,45,3,3,220,481,46,94,16,11,652,19013,917,2194,202,71,22397
LGA17850,567,0,4,7,10,590,237,0,0,3,7,244,49,0,9,0,0,58,25,0,3,0,3,31,93,0,6,0,0,95,4,0,0,0,0,3,58,0,0,3,0,65,35,0,0,0,0,38,260,0,18,5,7,289,15,0,0,0,0,20,47,0,0,0,0,46,1124,3,24,13,20,1187
LGA17900,722,0,3,116,21,867,273,0,0,5,10,299,75,0,19,3,3,105,147,0,17,0,10,174,164,0,15,13,6,202,129,0,16,0,6,151,152,0,34,3,10,195,64,0,6,6,3,71,732,4,108,23,44,901,53,0,0,19,0,69,110,0,5,23,6,147,1892,5,116,190,91,2286
LGA17950,421,0,6,6,3,434,224,0,0,0,4,226,27,3,6,0,0,40,31,0,0,0,0,31,104,0,5,0,0,114,19,0,13,0,3,30,61,0,5,0,0,64,17,0,0,0,0,16,259,6,28,6,0,300,13,0,0,0,0,10,33,0,5,0,0,34,944,6,39,8,8,1007
