LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA14400,29,42,73,30,14,41,27,73,100,19,154,176,140,348,485,151,202,355,378,146,521,352,191,540,494,132,631,432,97,523,342,84,424,407,66,471,668,108,780,514,16,530,374,10,381,268,36,304,565,9,577,618,49,671,67,81,151,5865,1854,7719
LGA14500,414,262,677,149,106,254,158,221,384,78,306,383,308,652,961,362,573,935,698,477,1173,825,565,1395,1291,582,1868,1340,438,1787,1130,471,1596,1252,372,1629,2769,631,3403,2307,53,2358,1954,37,1992,2542,571,3109,10242,66,10303,3604,106,3712,300,256,551,31725,6746,38476
LGA14550,22,31,57,19,19,36,32,125,158,26,189,212,138,306,445,111,112,224,319,95,415,219,108,324,271,83,357,219,49,272,126,17,151,119,18,138,174,9,184,96,0,96,47,0,47,26,9,32,60,0,61,208,13,225,42,56,94,2274,1249,3525
LGA14600,23,17,38,9,9,17,16,54,72,18,93,110,51,134,182,62,75,142,158,45,210,98,61,165,172,45,217,123,27,152,103,17,122,92,9,99,169,16,189,81,0,83,38,0,38,22,10,33,56,0,58,178,7,179,48,61,107,1522,679,2206
LGA14650,289,439,731,222,213,434,326,1017,1341,351,1923,2272,1455,4533,5983,1430,1931,3359,4787,1514,6297,3534,1583,5115,4655,1494,6149,4405,933,5337,3414,769,4181,3432,519,3953,6660,711,7374,4779,96,4874,2977,38,3016,1834,271,2105,3487,43,3532,4928,300,5230,752,1039,1797,53698,19374,73075
LGA14700,79,106,179,30,46,82,28,108,136,16,183,201,72,304,383,102,210,312,189,223,409,231,276,498,356,318,674,401,274,674,346,302,647,424,265,694,1031,629,1653,853,59,913,684,30,714,789,357,1146,2899,61,2956,909,133,1036,81,130,220,9512,4023,13534
LGA14750,25,23,48,16,15,29,21,74,95,33,113,147,95,216,306,76,108,182,242,102,347,194,116,308,260,103,358,243,73,316,175,43,216,202,32,237,368,44,409,200,3,202,101,8,104,59,13,66,89,8,94,246,4,252,51,93,152,2690,1184,3868
LGA14850,67,104,165,48,72,120,91,380,469,85,568,655,362,1221,1583,453,588,1040,1006,515,1514,854,514,1367,1149,453,1602,1061,242,1303,811,154,966,751,133,882,1200,132,1327,664,24,686,354,14,361,225,50,274,363,5,372,988,124,1116,142,246,392,10672,5522,16195
LGA14870,37,74,113,40,39,80,61,214,279,59,345,403,200,690,883,216,223,439,581,221,798,400,168,571,455,199,652,381,114,499,291,66,359,291,70,359,531,90,617,328,6,330,212,3,215,135,31,169,278,9,290,497,14,508,114,180,297,5114,2745,7862
LGA14900,528,382,906,289,148,436,431,774,1200,425,1186,1608,1364,1728,3091,1400,685,2081,3025,707,3735,2804,859,3662,3612,938,4558,3683,585,4268,3204,449,3652,3160,335,3491,6234,375,6613,4487,62,4548,2960,33,3000,1973,126,2097,3593,32,3627,4640,165,4807,746,664,1407,48556,10233,58786
