LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA11500,276,1506,556,734,118,3973,573,204,2195,1451,1998,294,6716,27,10,96,92,197,25,443,58,12,188,217,1181,64,1723,95,15,294,279,912,355,1961,3660,952,9995,7457,17528,2282,41873
LGA11520,299,1487,325,268,71,3375,843,207,1945,532,414,132,4064,76,18,198,104,111,19,528,116,13,256,197,518,41,1137,225,26,479,210,263,150,1354,6425,1354,14383,5106,6038,1201,34503
LGA11570,551,3612,1067,980,237,8448,1395,431,4473,2445,2558,482,11787,101,23,358,206,359,54,1106,210,55,690,703,2231,175,4065,359,45,1140,802,1495,830,4665,10103,2277,28933,16328,25549,4575,87765
LGA11600,5,35,5,5,0,65,4,0,24,14,18,0,66,0,0,0,0,0,0,3,0,0,0,0,18,0,19,0,0,0,3,5,8,21,12,15,160,119,351,78,738
LGA11650,736,4365,1318,1494,211,9395,1195,758,5394,3587,5779,690,17403,47,30,270,244,558,57,1206,104,52,364,638,3111,136,4409,107,39,445,448,1676,555,3268,4736,2527,20099,16499,42623,4214,90690
LGA11700,3,19,5,11,5,57,0,0,10,9,6,4,27,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,3,0,6,11,13,8,46,57,127,38,283
LGA11720,76,407,133,283,24,1022,76,67,455,479,907,97,2080,5,0,15,27,77,12,137,13,5,36,79,679,18,823,4,3,38,55,319,74,498,364,259,1808,1921,8176,664,13185
LGA11730,101,529,207,236,34,1206,113,79,568,443,934,98,2242,8,3,21,28,65,16,130,14,5,40,62,415,15,546,3,6,19,36,213,68,347,401,310,2079,1693,6005,700,11181
LGA11750,10,49,12,17,0,95,11,6,34,27,31,3,110,0,0,0,0,0,3,7,0,0,3,0,45,0,48,0,0,0,3,22,5,30,47,32,215,138,687,70,1182
LGA11800,196,1123,360,380,53,2350,313,184,1446,844,1293,147,4217,15,5,44,50,123,9,247,15,9,85,116,621,36,885,16,4,84,87,355,99,645,904,641,4786,3438,8988,857,19609
