LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA17200,41,162,324,188,261,519,640,561,295,2998,16,101,290,134,125,171,183,242,99,1365,1014,3852,9033,4285,2954,2325,1667,969,515,26620,6558,28466,68740,33807,21442,16055,10453,4849,1788,192160
LGA17310,28,37,100,102,224,484,654,598,366,2592,4,11,11,20,43,30,28,29,9,184,268,280,623,603,662,784,755,619,306,4888,1668,3194,7184,6916,7622,7687,6158,3568,1432,45424
LGA17350,0,3,7,12,25,34,97,79,87,346,0,0,0,0,3,3,0,6,0,16,25,16,42,34,65,85,79,75,15,440,165,240,566,591,820,857,783,470,206,4711
LGA17400,3,0,11,18,34,85,113,79,31,380,0,0,0,0,0,0,8,0,0,20,38,26,47,78,91,168,162,113,75,781,150,211,429,664,822,1299,1137,518,176,5402
LGA17420,17,13,54,77,171,370,687,605,359,2347,6,7,56,61,71,116,103,135,104,653,274,266,612,726,809,689,694,479,318,4873,4327,9684,16489,23611,22665,18588,13567,5648,2002,116570
LGA17550,21,16,102,122,235,611,1017,1005,648,3773,6,7,9,23,27,29,27,43,24,193,298,292,608,746,963,1219,1340,1316,1017,7797,2122,3924,8212,10261,11911,13579,12018,7529,3579,73129
LGA17620,6,0,14,27,61,135,203,150,68,665,0,0,3,3,0,4,9,9,0,30,69,64,158,195,202,196,192,162,105,1348,348,648,1665,1760,1852,1850,1435,833,352,10742
LGA17640,4,0,3,4,25,69,138,118,45,410,0,0,0,0,0,3,3,3,3,16,46,28,54,63,121,119,126,94,55,698,225,297,631,777,1189,1212,1070,560,184,6132
LGA17650,0,4,5,5,17,72,91,45,40,285,0,0,3,3,0,0,10,4,0,13,23,12,31,50,85,85,97,58,24,471,171,233,470,683,896,985,787,337,118,4684
LGA17750,23,45,109,136,199,354,487,464,349,2153,3,11,35,42,23,29,37,13,12,213,254,315,525,462,546,561,528,446,219,3863,2144,4957,8600,7531,7547,7209,5124,2978,1372,47453
LGA17850,0,0,3,8,11,18,39,47,21,154,0,0,3,0,0,0,3,0,0,6,13,12,36,38,41,47,76,53,48,356,70,135,276,313,415,464,469,233,96,2471
LGA17900,0,4,24,25,51,105,132,72,20,432,0,0,4,0,7,15,14,12,0,53,27,57,106,100,110,129,137,82,11,756,139,310,727,676,813,926,738,347,77,4760
LGA17950,0,0,4,3,10,20,39,24,10,116,0,0,5,0,3,0,5,3,3,14,13,9,30,32,48,46,49,43,16,292,60,121,291,296,365,374,329,178,60,2075
LGA18020,4,0,13,21,51,116,194,139,58,598,0,0,0,0,0,0,12,3,0,17,34,46,82,103,159,198,207,143,60,1030,188,390,749,899,1258,1461,1354,784,305,7394
LGA18050,7,10,38,29,28,69,130,225,182,712,5,3,19,20,11,15,27,35,18,142,176,414,2049,1223,813,595,570,505,428,6786,952,3668,15739,11885,8182,5667,4368,2607,1513,54578
LGA18100,0,0,3,7,10,31,75,52,28,218,0,0,0,0,0,0,0,0,0,5,23,15,20,33,59,63,73,67,22,374,86,114,260,381,479,583,590,309,148,2956
LGA18200,9,0,6,15,32,80,147,108,43,440,0,0,0,0,7,3,6,3,5,22,38,38,104,85,123,135,148,67,33,763,180,324,678,744,947,1045,856,390,135,5296
LGA18230,27,25,67,81,181,424,492,443,245,1997,0,0,5,8,18,31,25,32,11,133,236,383,853,632,630,667,614,463,232,4708,1462,3125,6696,5889,6349,6186,4571,2665,1081,38018
LGA18250,14,14,33,32,74,133,286,310,204,1101,3,16,53,37,41,66,67,87,55,424,146,252,710,605,514,409,374,243,222,3465,1503,4461,11298,12356,10035,7512,5420,3021,1728,57327
LGA18350,11,8,31,49,87,219,303,296,186,1204,3,3,9,9,15,21,24,22,20,109,150,126,253,379,506,491,637,491,320,3356,1180,1886,3965,5069,6473,6643,7098,3859,1428,37601
LGA18400,11,13,33,64,112,292,397,276,145,1336,0,3,6,14,10,20,23,24,6,114,159,161,336,371,429,450,384,313,189,2795,1597,2893,5705,6573,6762,6014,4002,1804,648,36004
LGA18450,57,97,222,321,592,1506,2229,2498,1437,8957,15,22,85,76,111,195,270,412,207,1389,553,842,1512,1278,1508,1634,1791,1759,1053,11918,6262,15476,26015,25822,26435,24251,18665,11983,5249,160159
LGA18500,3,3,18,15,12,31,63,91,107,346,3,0,7,13,10,11,12,26,5,88,152,287,955,713,632,542,612,459,306,4669,849,2926,9426,7831,7013,5828,5527,2980,1599,43988
LGA18710,0,4,10,12,38,74,108,84,45,380,0,0,0,0,3,10,8,10,3,28,66,55,93,158,179,193,165,140,118,1168,384,725,1454,2209,2500,2192,1596,730,296,12094
LGA19399,0,0,0,3,6,10,13,8,3,40,0,0,0,0,0,0,0,0,0,0,3,8,19,22,16,13,14,4,10,109,16,59,139,168,142,166,104,47,22,856
LGA19499,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
LGA19799,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
