LGA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
LGA14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,26,25,3,5,0,4,4,0,0,71,0,0,0,0,0,0,0,0,0,0,20,3,0,5,0,4,4,0,0,39,12,4,8,11,3,0,3,4,0,35,124,4,143,6,7,19,42,41,7,392,9,0,3,0,0,0,5,0,0,22,19,0,6,0,0,0,4,3,0,31,3,0,0,0,0,0,0,0,0,3,15,0,15,0,3,0,12,7,3,64,241,58,171,29,12,28,74,58,7,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA14650,8,19,3,0,0,0,0,0,0,29,45,332,3,0,12,7,0,0,7,403,339,666,39,24,73,33,12,12,7,1199,18,34,0,0,6,0,0,0,0,54,67,254,16,14,19,3,6,10,3,392,47,69,10,15,11,3,0,0,3,156,971,3145,326,309,267,156,98,118,59,5444,0,4,4,0,3,3,0,4,0,20,349,480,337,206,130,74,76,66,27,1731,494,545,519,298,191,118,127,103,21,2417,1600,609,7904,715,652,679,1867,1519,283,15830,35,16,51,48,31,48,57,96,3,389,107,64,133,69,49,78,118,114,8,748,38,67,33,17,15,22,24,44,5,259,50,68,134,53,27,46,120,120,69,690,4169,6366,9498,1778,1483,1256,2515,2205,500,29763,4,40,0,3,3,0,0,0,0,58,14,233,0,3,9,0,0,0,3,271,195,996,18,51,113,21,0,10,15,1426,12,48,0,3,8,0,0,0,0,79
LGA14700,7,24,0,0,0,0,0,0,0,28,42,208,0,3,11,3,0,0,7,267,436,886,44,17,104,59,20,11,18,1592,10,25,0,0,3,3,0,0,0,47,54,124,7,10,11,11,3,7,5,230,18,17,0,3,3,0,0,0,0,42,844,1992,152,120,262,174,45,56,59,3704,0,0,0,0,0,0,0,0,0,3,118,128,58,28,28,42,8,18,6,426,112,111,64,32,50,45,19,25,7,465,162,94,354,46,51,73,41,59,11,892,9,12,3,4,6,5,0,7,0,40,26,23,11,11,9,18,4,3,0,109,25,55,13,0,3,4,3,0,0,102,14,34,8,3,7,11,0,3,14,99,1873,3729,724,282,546,446,146,179,134,8056,6,15,0,0,3,0,0,0,0,26,29,175,0,4,4,3,0,0,0,219,283,845,22,48,168,44,0,6,20,1444,8,24,0,0,3,5,0,0,0,46
LGA14750,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,9,15,0,0,0,0,0,3,0,32,0,4,0,0,0,0,0,0,0,3,4,5,3,0,0,0,0,0,0,13,3,3,0,0,0,0,0,0,0,5,43,107,16,9,10,7,0,24,0,211,0,0,0,0,0,0,0,0,0,0,20,14,7,9,0,0,0,4,4,55,27,8,16,10,6,0,5,3,0,77,146,31,379,29,23,26,118,113,25,887,9,0,8,0,0,0,4,11,0,31,10,0,3,0,0,3,3,17,0,29,3,0,4,0,0,3,0,6,0,17,19,9,4,0,3,4,24,20,6,95,293,201,443,57,43,44,153,197,39,1467,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,7,7,23,0,0,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
LGA14850,0,3,0,0,0,0,0,0,0,3,14,91,0,0,0,4,0,0,3,104,29,127,7,6,4,0,3,8,4,192,0,7,0,0,0,0,0,0,0,10,20,67,7,8,4,4,0,0,0,117,5,21,0,0,3,0,0,3,0,34,207,657,98,94,69,45,16,47,8,1238,0,3,3,0,0,0,0,0,0,8,55,84,41,50,18,17,12,9,0,287,75,72,67,68,42,18,15,31,8,396,371,101,1324,166,121,160,311,369,37,2951,16,5,10,17,8,20,16,38,3,141,23,9,19,20,16,22,30,35,0,171,13,10,6,3,0,5,5,3,0,49,34,24,24,5,11,15,25,40,18,193,861,1274,1609,462,292,307,429,582,81,5896,0,14,0,0,0,0,0,0,0,15,7,47,3,0,0,0,0,0,0,64,35,199,5,18,14,6,0,3,0,290,3,9,0,0,0,0,0,0,0,14
LGA14870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,42,3,4,6,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,3,0,0,0,27,4,3,3,0,0,0,0,0,0,15,46,142,26,16,23,3,5,3,0,266,0,0,0,0,0,0,0,0,0,0,31,14,26,19,3,0,10,4,3,109,34,24,56,36,6,3,12,14,5,195,155,43,781,90,56,47,390,149,23,1728,5,0,9,0,3,3,13,24,0,58,6,3,10,11,3,0,16,10,0,69,0,3,0,0,0,3,5,3,0,21,11,0,19,7,0,9,34,25,12,108,315,282,940,188,100,75,487,229,50,2667,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,13,16,45,0,3,8,4,0,0,0,73,0,0,0,0,0,0,0,0,0,0
LGA14900,9,12,0,0,0,0,0,0,0,23,21,142,3,0,9,3,4,0,0,184,351,909,111,80,153,62,95,33,25,1820,11,47,3,0,7,0,3,0,6,79,39,129,17,23,25,10,10,10,4,264,25,29,5,0,6,0,3,0,0,68,1024,2714,581,356,704,332,402,277,125,6522,5,9,6,3,0,5,3,3,6,36,362,299,446,158,202,110,225,151,43,2003,464,421,546,283,286,186,293,169,54,2709,1178,390,5523,540,615,459,1439,1076,231,11447,52,20,65,46,37,34,75,63,6,407,114,54,145,92,88,75,173,137,23,900,63,93,80,30,44,30,91,43,9,479,91,75,190,41,52,59,164,163,141,961,3806,5334,7710,1662,2241,1370,2988,2121,679,27909,3,40,0,3,0,0,0,0,0,44,7,80,0,3,3,0,0,0,0,100,190,1209,26,107,219,74,7,26,18,1876,9,65,0,5,13,3,0,0,0,93
LGA14920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,39,46,3,3,3,3,0,5,0,102,0,0,0,0,0,0,0,0,0,0,34,7,4,7,3,3,0,3,0,61,21,6,0,9,0,3,4,3,0,48,102,7,191,17,3,9,116,68,13,529,9,0,0,0,3,3,3,4,0,21,7,0,3,0,0,4,9,7,0,39,0,3,0,0,0,0,0,4,0,11,9,4,7,0,0,4,13,11,3,59,227,85,207,39,15,31,156,106,18,889,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA14950,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,27,8,3,0,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,0,0,21,15,3,5,0,0,0,0,0,0,30,85,8,74,7,11,5,31,25,9,251,0,0,0,0,0,0,8,4,0,17,5,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,4,3,0,12,163,24,85,18,14,7,40,35,14,400,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA15050,4,6,0,0,0,0,0,0,0,11,14,62,0,0,0,0,0,0,0,76,119,199,15,11,20,11,7,3,5,399,4,13,0,0,0,0,0,0,0,17,37,69,8,3,8,0,3,3,3,136,13,12,3,4,0,0,0,3,0,39,321,949,114,75,70,52,40,37,13,1672,0,0,0,3,0,0,0,0,0,5,147,143,153,75,37,35,41,23,8,663,192,185,231,118,74,43,67,32,21,954,610,241,3538,296,233,252,1084,571,128,6958,17,7,28,15,11,23,44,38,0,192,42,24,34,19,17,24,46,42,4,252,14,19,17,7,6,3,12,17,0,84,30,22,50,16,6,16,52,56,35,276,1539,1951,4199,637,491,464,1396,820,214,11727,3,12,0,0,0,0,0,0,0,12,7,55,0,3,4,0,0,0,0,70,65,317,7,15,37,3,0,5,3,444,3,21,0,0,3,0,0,0,0,28
LGA15240,0,6,0,0,0,0,0,0,0,7,11,48,0,0,0,0,0,0,0,52,51,153,10,7,7,4,3,3,7,238,0,7,0,0,0,0,0,0,0,5,15,71,3,3,7,0,0,0,0,102,10,22,0,3,4,0,0,0,0,40,216,766,58,71,75,40,16,28,14,1296,0,0,0,0,0,0,0,0,0,9,103,126,68,74,33,34,19,37,3,497,143,117,101,104,27,46,25,45,8,618,805,184,2507,274,157,304,580,749,81,5633,22,11,25,12,16,45,31,57,4,221,58,28,43,44,12,38,51,66,8,339,26,15,4,9,3,5,8,14,3,84,62,23,65,33,19,39,97,107,43,482,1516,1577,2888,636,355,568,831,1112,173,9653,3,7,0,3,0,0,0,0,0,11,3,35,0,3,0,0,0,0,0,43,36,222,0,3,25,4,0,7,5,306,3,8,0,3,0,0,0,0,0,16
LGA15270,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,6,20,32,4,0,0,0,0,7,0,62,0,0,0,0,0,0,0,0,0,0,4,23,3,3,0,0,0,0,0,38,4,4,3,0,0,0,3,0,0,13,116,213,38,21,20,12,18,12,0,454,0,0,0,0,0,0,0,0,0,0,38,30,34,18,5,9,18,9,0,153,57,27,36,28,10,9,19,12,3,206,276,32,978,49,43,49,469,190,29,2130,11,0,4,6,0,7,22,18,4,76,22,3,17,3,3,12,23,11,4,103,8,3,0,0,0,3,6,3,0,28,37,7,28,4,4,9,40,27,9,173,602,377,1148,128,92,123,617,289,53,3440,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,17,68,0,9,12,0,0,3,0,103,3,7,0,0,0,0,0,0,0,8
LGA15300,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,13,23,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,6,97,118,7,16,7,7,4,8,3,270,0,0,0,0,0,0,0,0,0,0,43,13,6,19,0,4,3,3,0,93,49,10,20,9,5,6,4,7,0,112,181,21,384,22,19,46,111,104,10,894,3,4,4,0,5,0,8,11,0,32,17,3,3,6,0,7,6,4,0,50,4,3,0,0,0,3,5,0,0,19,27,0,14,0,3,6,19,19,13,101,442,200,445,80,42,74,161,155,28,1633,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,42,0,0,6,0,0,0,0,54,0,3,0,0,0,0,0,0,0,3
LGA15350,4,13,0,0,0,0,0,0,0,19,35,163,0,0,3,0,0,0,0,205,404,594,9,17,75,47,4,4,15,1169,8,21,0,0,4,0,0,0,0,35,35,94,0,4,11,3,0,0,0,150,3,7,0,0,3,5,0,0,0,19,868,1383,73,62,165,140,9,26,86,2812,0,0,0,0,0,0,0,0,0,3,96,125,21,28,19,41,8,5,3,349,73,78,35,21,21,26,3,12,5,276,107,48,202,29,23,38,18,29,8,506,5,3,3,4,0,0,0,0,0,15,20,20,5,9,7,21,4,3,5,87,27,40,3,0,3,10,4,3,0,90,16,30,6,3,3,0,0,4,12,82,1697,2620,360,179,350,338,54,87,134,5824,7,19,0,0,3,0,0,0,0,22,18,107,0,0,7,0,0,0,0,126,276,569,15,31,102,30,0,0,19,1055,10,31,0,5,3,3,0,0,3,51
LGA15520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,0,0,3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,84,98,8,8,7,5,0,16,0,222,0,0,0,0,0,0,0,0,0,0,53,24,14,12,3,3,0,14,0,112,32,13,9,11,3,6,5,14,0,90,238,15,313,18,23,45,86,111,13,863,8,0,0,0,0,0,3,3,0,23,22,3,7,7,0,3,4,8,0,51,0,0,0,0,0,0,0,3,0,5,31,4,10,5,0,3,11,14,4,88,484,182,365,69,32,72,116,188,17,1517,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,10,26,0,5,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
LGA15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,32,19,0,3,3,0,3,8,0,77,0,0,0,0,0,0,0,0,0,0,15,5,0,4,0,0,0,0,0,36,9,3,7,3,0,0,0,0,0,24,79,3,93,7,9,9,33,45,4,292,5,0,0,0,0,0,0,0,0,9,16,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,5,3,0,7,0,0,0,4,9,0,29,173,40,115,26,14,13,49,60,9,497,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
LGA15650,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,21,28,11,0,3,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,4,31,113,26,6,4,8,10,10,3,213,0,0,0,0,0,0,0,0,0,3,36,17,24,0,4,4,8,3,0,104,24,14,55,13,3,6,25,6,3,144,115,23,814,29,30,19,366,122,20,1539,0,0,6,6,3,3,4,19,0,48,4,4,12,8,3,0,21,7,0,54,3,0,5,0,0,0,4,3,0,12,3,3,14,5,0,3,24,19,10,75,245,221,964,73,50,47,459,187,40,2289,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,3,32,0,0,0,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0
LGA15700,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,13,4,30,0,3,0,0,0,0,0,40,0,0,3,0,0,0,0,0,0,3,7,23,3,3,0,3,0,0,0,32,3,3,0,0,0,0,0,0,0,7,52,174,19,25,9,5,0,9,3,304,0,0,0,0,0,0,0,0,0,0,18,24,10,17,3,0,3,4,0,79,19,19,15,38,7,4,7,11,0,126,141,34,520,71,31,51,125,182,30,1175,7,3,10,0,3,0,4,11,0,38,8,3,10,12,3,3,10,15,0,61,0,6,3,3,0,0,0,3,0,23,12,6,13,5,4,6,11,28,11,104,274,339,602,179,70,79,167,268,47,2013,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,11,43,0,0,3,0,0,0,0,63,0,3,0,0,0,0,0,0,0,4
LGA15750,0,0,0,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,20,15,14,0,0,0,0,0,0,0,36,6,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,8,76,115,14,17,8,9,6,7,3,258,0,0,0,0,0,0,0,0,0,0,25,12,9,4,0,0,9,5,3,65,32,15,16,16,3,3,6,4,3,98,179,30,417,14,16,30,154,92,24,955,12,3,4,0,0,4,8,3,3,34,13,0,5,3,0,5,14,8,3,46,3,3,0,0,0,0,4,0,0,10,17,3,6,3,3,11,31,30,14,113,392,233,479,55,36,54,229,152,45,1681,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,13,4,25,0,0,4,0,0,0,0,32,0,5,0,0,0,0,0,0,0,8
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,34,8,6,3,0,0,3,0,75,0,0,0,0,0,0,0,0,0,0,10,6,3,4,3,0,0,3,0,27,10,5,11,7,5,4,0,5,0,45,103,11,158,3,8,13,40,61,0,392,8,0,3,0,0,0,0,10,0,26,8,4,3,3,3,0,3,7,0,29,4,0,0,0,0,0,0,5,0,8,15,0,4,0,0,3,7,14,8,48,181,71,182,29,20,25,48,99,11,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA15850,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,38,26,5,4,3,0,4,0,0,85,0,0,0,0,0,0,0,0,0,3,18,8,0,4,0,3,4,0,0,33,29,5,0,3,3,8,4,4,0,54,103,13,190,15,15,13,65,49,3,465,7,4,0,4,0,3,0,3,0,27,15,0,0,0,0,0,5,5,0,31,0,0,0,0,0,0,0,0,0,0,10,0,7,0,3,0,3,9,3,41,226,75,204,26,24,29,94,76,14,766,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
LGA15900,8,29,0,3,5,0,0,0,0,43,55,660,6,9,8,0,3,3,5,749,449,998,57,35,106,37,14,36,14,1753,22,45,4,0,0,0,0,0,0,78,71,268,22,25,25,4,8,7,8,426,42,90,6,14,9,3,3,0,0,160,1090,4389,416,377,429,217,98,175,66,7251,0,7,7,3,0,0,0,0,0,23,272,403,244,149,101,69,61,55,22,1382,360,444,391,272,195,120,103,109,31,2023,1015,485,4891,665,491,498,1126,970,143,10286,29,29,46,54,26,33,46,62,3,329,72,67,77,75,34,58,72,84,8,552,26,67,34,20,11,10,24,28,5,227,42,66,91,49,22,35,72,71,69,514,3545,8055,6299,1755,1459,1094,1618,1600,371,25795,6,42,0,3,3,0,0,0,0,57,35,467,6,6,10,3,0,0,4,523,260,1357,28,89,151,35,8,15,8,1962,16,61,0,4,6,3,0,0,3,92
LGA15950,12,35,0,0,4,0,0,0,0,56,89,402,4,0,9,3,0,3,7,521,902,1771,76,55,217,88,17,16,55,3201,25,55,3,0,6,0,0,0,3,85,132,280,13,8,30,15,0,6,3,482,22,56,3,3,7,0,0,0,0,91,1927,4471,298,244,546,417,55,96,127,8177,3,4,0,0,0,0,0,0,0,14,258,312,89,46,67,61,12,31,9,888,237,302,123,83,55,78,21,29,16,948,276,180,603,91,92,104,45,82,27,1499,14,17,9,4,9,10,3,3,4,70,51,69,19,19,22,38,15,15,3,256,60,90,22,16,15,15,9,9,8,234,39,65,19,9,15,18,3,11,43,224,4046,8103,1285,576,1089,853,181,301,305,16742,15,45,0,0,4,3,0,0,0,64,59,315,3,4,9,4,0,0,7,402,762,1912,38,79,363,83,0,15,42,3292,30,60,0,3,13,4,0,0,0,113
LGA15990,34,49,0,0,7,3,0,0,0,93,182,500,9,9,16,3,0,0,11,729,1866,2645,116,116,312,201,40,62,93,5459,77,109,0,5,3,15,0,3,6,222,269,523,41,29,47,23,5,17,12,974,72,113,6,17,21,8,6,0,3,245,4967,7995,839,737,997,972,297,420,258,17478,4,5,7,7,3,3,3,0,0,32,1074,1135,477,263,208,279,111,151,58,3753,929,859,640,342,262,334,133,160,57,3718,2392,803,7096,609,527,703,730,992,194,14048,71,66,60,47,31,57,38,60,8,433,285,263,176,126,102,155,92,91,21,1305,155,196,77,52,37,42,37,38,18,650,153,193,152,53,52,85,74,87,115,970,12530,15446,9686,2406,2626,2890,1579,2093,840,50093,16,88,0,10,12,0,0,0,0,129,77,391,3,12,24,3,3,0,13,527,1116,2862,71,201,485,139,7,28,73,4980,43,154,4,8,30,4,0,0,6,257
