LGA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA11200,0,4,0,0,0,3,10,3,13,16,14,5,31,3,10,12,46,84,4,137
LGA11250,0,8,3,0,3,12,19,15,50,222,228,39,487,49,31,80,569,468,24,1059
LGA11300,3,3,0,0,0,3,10,3,12,341,252,38,627,23,26,46,677,624,8,1310
LGA11350,0,17,0,0,0,17,15,6,31,297,589,37,917,42,56,97,1012,535,16,1566
LGA11400,0,0,0,0,0,0,9,3,16,119,73,12,199,13,11,25,219,195,5,420
LGA11450,6,28,0,0,0,28,10,14,50,1185,677,86,1947,56,63,121,2068,900,16,2986
LGA11500,16,43,5,3,9,56,96,82,237,2570,1569,204,4348,286,290,580,4923,4040,126,9087
LGA11520,8,13,0,0,0,15,11,7,34,1082,592,61,1734,47,54,101,1833,1114,20,2968
LGA11570,20,67,7,7,14,80,151,99,328,3773,2706,370,6843,381,501,883,7723,8069,198,15988
LGA11600,0,4,0,0,0,4,0,0,4,24,17,0,44,3,0,3,48,40,0,89
LGA11650,25,92,3,16,17,110,144,97,345,4518,3990,441,8944,471,483,954,9900,6788,177,16863
LGA11700,0,0,0,0,0,0,6,0,4,23,6,5,29,3,0,3,35,67,0,107
LGA11720,5,22,3,4,7,29,50,20,97,597,661,87,1344,121,113,241,1581,1440,34,3057
LGA11730,0,8,3,0,7,9,35,15,60,471,501,44,1017,86,89,177,1194,1220,33,2449
LGA11750,0,3,0,0,0,0,3,6,14,49,28,11,88,6,3,9,102,66,6,172
LGA11800,3,18,3,3,4,27,53,25,98,877,985,95,1960,103,116,223,2178,1478,40,3699
LGA12000,0,0,0,0,0,0,0,4,3,35,27,4,60,7,3,13,74,67,4,139
LGA12150,0,5,0,0,0,5,7,8,13,30,28,10,67,15,7,18,91,122,12,224
LGA12350,0,3,0,0,0,4,6,0,13,109,112,10,240,22,14,34,272,264,3,541
LGA12380,10,22,3,6,12,38,104,70,207,2060,1288,197,3547,202,223,427,3976,4504,111,8590
LGA12700,0,0,0,0,0,4,4,3,7,75,94,7,173,9,11,16,188,150,3,347
LGA12730,0,3,0,0,0,3,10,3,14,88,99,17,196,9,14,22,218,148,4,369
LGA12750,3,13,0,0,5,20,29,8,53,320,431,63,820,45,38,78,899,729,14,1638
LGA12850,13,38,0,10,12,51,138,93,276,2269,1775,211,4263,331,466,793,5057,6650,165,11870
LGA12870,0,8,0,0,0,9,10,0,13,110,131,17,249,16,16,31,281,164,6,448
LGA12900,0,3,0,0,0,3,10,7,22,97,87,18,199,11,9,23,223,179,12,408
LGA12930,8,29,0,0,3,33,23,29,86,1755,1167,126,3052,120,173,298,3352,2369,63,5778
LGA12950,0,0,0,0,0,0,3,5,12,38,39,8,87,13,8,21,103,91,9,203
