LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA10850,18,33,14,15,14,3,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,55,39,27,37,6,0,184,0,5,0,3,9,0,0,14,3,0,5,0,0,0,0,14,3,8,5,3,8,0,0,29,25,67,38,31,45,8,0,213,37,32,14,11,8,0,0,105,0,0,0,0,3,0,0,6,62,95,54,44,57,5,0,320
LGA10900,129,269,217,135,188,53,27,1014,14,7,15,5,11,0,3,58,0,6,6,6,7,3,0,28,206,456,411,289,451,126,75,2008,5,14,6,5,16,5,0,48,15,33,19,13,14,0,0,97,22,49,27,19,22,8,7,145,229,505,437,304,472,130,78,2155,250,275,143,84,107,23,16,893,3,0,3,0,4,0,0,11,479,777,580,389,582,154,88,3061
LGA10950,3,10,3,3,0,0,0,20,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,17,7,6,11,0,0,40,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,12,5,3,0,0,0,0,0,14,14,19,7,6,11,3,0,53,27,14,13,0,3,0,0,57,0,0,0,0,0,0,0,0,39,35,19,7,7,4,0,111
LGA11100,62,79,63,63,63,24,11,364,7,6,3,3,3,3,0,26,4,9,0,5,0,0,0,15,127,217,158,145,190,98,48,987,8,13,10,6,9,3,0,47,13,22,17,7,8,0,4,69,16,36,26,10,11,3,5,118,144,250,185,155,208,99,51,1104,114,92,67,37,51,30,16,408,4,3,3,3,0,0,0,19,265,354,255,198,262,128,70,1525
LGA11150,9,5,4,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,16,4,4,0,0,63,3,3,0,3,0,0,0,10,0,4,3,3,0,0,0,8,4,4,3,6,0,0,0,19,18,31,19,8,4,0,0,83,18,21,11,3,5,0,0,70,3,5,4,0,0,0,0,8,44,58,37,21,11,0,0,166
LGA11200,3,3,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,6,7,0,0,33,0,4,0,0,0,0,0,5,0,8,6,3,0,0,0,18,3,8,6,3,0,0,0,23,12,15,11,8,4,0,0,54,50,41,16,6,7,0,0,121,0,0,3,0,0,0,0,3,56,64,27,15,14,3,0,185
LGA11250,77,80,64,34,51,9,0,308,7,9,3,4,3,0,0,30,0,0,3,0,5,0,0,10,103,142,114,87,113,15,0,574,8,15,14,6,7,0,0,53,11,15,4,7,9,0,0,48,16,30,14,16,17,0,0,94,119,175,125,109,125,18,0,671,176,132,64,38,50,0,0,460,18,9,3,0,0,0,0,27,312,316,189,148,171,23,0,1163
LGA11300,28,62,41,39,47,33,21,266,4,0,0,0,5,3,0,9,3,0,3,0,3,3,0,11,73,122,94,91,110,98,47,626,3,3,0,4,4,0,3,20,5,5,6,0,13,6,4,35,6,11,3,8,12,9,5,58,79,131,95,93,126,104,48,677,70,62,45,35,62,41,30,356,0,0,0,0,0,0,0,4,156,190,145,135,190,148,79,1042
LGA11350,60,153,136,91,140,29,0,621,5,6,8,4,0,0,0,23,3,3,3,3,3,0,0,16,91,218,201,145,220,49,5,931,3,6,4,6,9,0,0,33,6,25,15,6,5,4,0,63,7,29,24,8,16,7,3,95,102,245,218,158,235,60,4,1024,111,117,59,44,54,15,3,408,0,0,0,0,3,0,0,11,215,365,285,203,292,74,7,1445
LGA11400,26,26,32,16,14,0,0,112,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,42,62,60,31,44,5,0,250,0,5,9,7,3,0,0,23,4,11,6,3,0,0,0,25,6,22,14,8,3,0,0,51,51,82,74,40,44,5,0,302,55,58,30,16,20,4,0,187,3,0,0,0,0,0,0,0,105,136,108,60,64,15,0,487
LGA11450,132,264,198,109,148,45,26,918,27,18,15,8,9,3,3,78,3,13,5,3,9,0,0,29,275,556,429,300,407,151,70,2195,10,16,8,6,17,7,5,59,20,32,18,11,9,0,0,95,33,46,23,21,21,7,5,156,313,607,454,322,427,158,73,2350,294,271,135,70,103,31,24,927,7,3,5,4,0,0,0,25,609,885,588,401,533,196,95,3298
LGA11500,310,548,362,251,308,89,52,1921,34,40,16,14,17,4,9,131,22,23,13,10,6,4,0,84,653,1121,812,573,791,300,167,4425,53,128,74,54,68,10,7,398,93,172,95,69,57,9,6,501,148,300,166,116,123,21,16,896,804,1418,977,695,917,324,186,5316,1480,1334,681,429,471,135,75,4610,45,52,19,15,14,4,4,141,2326,2804,1678,1142,1396,459,263,10073
LGA11520,76,175,94,61,107,67,39,616,9,4,5,7,0,3,0,32,0,6,8,3,0,3,0,17,159,402,274,195,298,211,118,1664,5,6,7,7,10,3,3,38,9,18,11,7,4,11,3,57,8,20,15,15,21,15,5,93,166,424,286,212,321,224,128,1764,121,134,78,52,83,43,41,559,3,3,0,0,0,0,0,5,296,565,364,262,402,268,166,2322
LGA11570,406,796,588,415,610,290,158,3273,63,28,24,9,28,12,8,174,31,38,31,28,48,20,18,210,881,1556,1246,915,1416,783,425,7222,37,110,85,64,76,41,24,430,71,217,129,98,115,64,31,722,111,322,207,158,190,111,54,1155,987,1883,1454,1076,1603,888,482,8373,1807,1820,1063,670,926,472,290,7055,37,61,33,18,12,10,3,170,2835,3764,2554,1765,2536,1365,777,15601
LGA11600,4,7,6,0,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,9,4,9,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,9,3,5,0,0,42,18,12,9,0,3,0,0,42,0,0,0,0,0,0,0,0,24,22,21,4,13,0,0,82
LGA11650,616,1372,980,658,836,200,87,4747,83,73,51,30,50,11,7,300,23,42,25,32,22,6,0,144,1070,2318,1809,1328,1923,567,256,9260,73,165,93,56,96,17,5,512,164,277,119,69,81,18,6,730,230,448,216,127,175,35,12,1238,1304,2764,2028,1448,2100,599,269,10505,2034,1800,977,586,646,148,71,6261,21,24,20,11,8,0,0,92,3359,4586,3022,2054,2755,743,339,16855
LGA11700,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,8,4,6,0,0,39,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,14,8,4,6,0,0,36,23,24,9,16,9,0,0,76,3,0,0,0,0,0,0,0,26,37,19,22,11,0,0,122
LGA11720,148,263,181,106,121,23,7,854,23,15,4,4,8,0,0,60,3,3,10,10,3,0,0,33,243,417,297,198,253,56,19,1490,26,51,47,17,23,0,0,174,51,70,30,23,14,3,3,191,76,127,74,46,42,3,4,368,321,539,374,239,293,61,21,1851,620,518,242,164,133,22,4,1702,6,10,9,0,6,0,0,29,950,1070,619,405,429,83,26,3589
LGA11730,74,167,119,93,130,16,3,609,8,10,10,3,12,4,0,47,4,7,3,0,3,0,0,15,132,300,223,170,271,42,7,1152,15,44,29,8,17,3,0,114,32,54,22,12,5,0,0,125,47,101,47,14,21,3,3,240,179,402,270,184,295,48,10,1392,411,403,203,129,105,19,8,1281,3,6,3,6,7,0,0,27,590,813,481,318,410,68,22,2696
LGA11750,6,14,7,3,3,0,0,41,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,33,18,15,9,0,0,92,0,7,0,4,0,0,0,15,0,7,0,4,0,0,0,4,0,10,0,8,0,0,0,24,16,45,23,15,9,0,0,109,27,18,10,11,7,0,0,66,0,3,4,3,0,0,0,11,43,61,32,31,18,3,0,190
LGA11800,171,380,261,167,207,35,9,1233,13,18,13,5,9,0,0,55,3,11,9,3,14,0,3,42,263,599,472,339,460,82,24,2242,13,59,25,29,16,11,0,147,24,58,16,13,24,3,0,145,41,118,32,40,42,15,3,297,302,721,511,380,497,96,28,2536,423,441,235,160,149,44,22,1473,0,3,8,6,3,0,0,24,733,1164,751,539,655,141,52,4036
LGA12000,3,20,12,9,7,0,0,51,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,38,22,17,17,0,0,96,0,4,3,0,0,0,0,6,0,3,5,3,0,0,0,8,0,10,6,3,0,0,0,18,5,45,31,13,17,0,0,112,24,30,13,7,8,3,0,92,3,4,0,0,0,0,0,6,30,76,46,23,28,3,3,208
LGA12150,11,17,8,6,5,0,0,48,0,0,4,0,0,0,0,4,4,0,0,0,3,0,0,8,15,24,18,19,8,3,0,90,0,12,6,4,0,0,0,19,4,10,0,3,3,0,0,15,9,16,9,3,3,0,0,35,19,41,26,22,12,3,0,122,68,47,37,19,7,0,0,177,3,3,0,0,0,0,0,11,91,97,60,41,24,3,0,307
LGA12350,15,40,28,23,32,4,0,148,3,3,0,0,5,0,0,9,0,0,0,0,0,0,0,0,34,72,47,45,57,11,0,262,0,8,9,3,8,0,0,30,13,3,9,3,0,0,0,20,10,11,17,5,8,0,0,49,40,85,68,50,60,7,0,318,98,91,35,30,33,0,3,296,0,0,0,0,0,0,0,3,143,177,101,83,90,12,5,609
LGA12380,205,355,286,191,273,137,78,1518,18,9,10,10,13,9,3,69,27,30,17,19,26,10,9,137,455,784,623,437,670,385,241,3602,28,60,30,27,37,22,7,217,51,112,58,45,51,27,7,354,85,171,91,71,92,50,14,572,536,960,708,505,763,433,263,4167,1099,1058,566,347,481,263,193,4013,12,30,14,12,5,4,0,73,1650,2041,1294,865,1253,701,455,8256
