LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA17040,27,69,47,34,36,0,0,201,0,0,0,0,4,0,0,7,0,3,0,0,0,0,0,4,41,100,92,62,93,14,3,402,0,11,5,0,3,0,0,24,6,10,3,0,3,0,0,18,10,18,7,0,5,0,0,46,51,119,100,62,99,15,3,445,68,56,40,31,16,4,3,221,3,6,0,0,3,0,0,10,119,180,142,101,114,21,8,676
LGA17080,26,54,39,26,27,0,0,173,6,9,3,0,0,0,0,18,0,3,3,0,0,0,0,10,44,91,82,49,65,8,0,335,0,3,7,7,3,0,0,20,0,3,3,5,0,0,0,15,3,7,5,9,4,0,0,38,48,101,84,52,70,8,0,375,75,70,41,14,21,4,0,225,3,0,3,0,0,0,0,6,124,167,130,74,91,11,7,604
LGA17100,31,52,44,35,57,38,20,279,11,0,0,0,3,0,0,17,3,0,5,3,3,0,0,22,81,120,107,81,151,114,68,719,0,3,0,0,8,0,8,16,3,7,3,3,10,4,3,35,3,14,7,6,10,5,10,54,82,127,112,92,166,119,76,771,66,75,44,45,61,40,28,366,0,0,0,0,0,0,0,0,153,207,158,132,224,164,108,1137
LGA17150,287,632,433,323,351,145,74,2242,35,14,7,3,18,16,4,104,9,18,12,3,12,0,3,55,530,1115,915,697,994,472,255,4970,13,13,13,11,27,11,4,95,32,62,22,16,25,10,0,159,42,77,40,29,53,20,3,251,572,1189,946,727,1043,493,258,5227,378,360,223,143,184,73,62,1428,5,8,4,6,4,0,0,23,949,1558,1178,873,1233,564,324,6675
LGA17200,121,168,112,77,92,62,42,670,15,12,8,5,15,3,4,67,9,3,7,0,9,3,0,26,303,428,308,203,294,199,135,1869,6,19,11,12,9,12,0,68,21,16,17,3,20,8,5,93,24,37,28,14,27,18,7,164,326,468,339,217,325,216,144,2029,244,259,127,102,172,116,78,1102,5,3,3,3,0,0,0,17,573,735,469,322,496,331,222,3145
LGA17310,163,228,189,127,152,13,3,876,28,18,4,9,13,3,0,68,9,18,4,6,4,3,0,39,268,437,347,259,319,41,11,1689,28,49,20,14,17,0,0,137,40,67,29,12,10,4,0,161,70,111,50,23,28,3,0,296,343,552,399,283,349,42,16,1982,531,455,218,142,110,20,3,1481,8,7,0,5,0,0,0,24,881,1015,620,429,460,68,15,3486
LGA17350,8,23,11,15,16,3,0,86,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,15,35,27,21,30,4,0,135,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,11,0,3,5,3,3,0,0,12,15,41,30,27,35,4,0,146,33,35,24,7,8,3,0,115,0,0,0,0,0,0,0,0,50,76,52,35,43,5,0,261
LGA17400,4,21,13,12,13,0,0,61,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,8,13,37,20,23,25,0,0,112,3,5,7,0,4,0,0,18,6,9,0,0,0,0,0,15,4,12,5,0,8,0,0,33,17,48,25,24,25,0,0,143,45,59,33,20,20,4,3,180,0,0,0,3,0,0,0,5,63,103,56,42,49,6,3,324
LGA17420,116,269,203,160,204,99,58,1112,10,5,3,3,7,3,3,44,0,7,12,5,6,0,3,38,258,640,544,419,618,331,179,2986,6,16,18,15,19,9,0,77,19,30,14,11,10,6,4,106,20,49,29,29,36,18,7,182,277,689,571,442,651,344,188,3170,177,190,137,95,128,88,42,863,8,6,3,3,3,0,0,27,466,890,712,541,785,433,232,4058
LGA17550,165,410,304,187,260,81,25,1429,21,18,8,11,12,4,4,65,4,13,12,7,11,4,0,51,256,629,514,366,543,154,58,2526,13,42,35,16,25,8,0,137,36,57,38,26,26,4,3,195,53,99,68,41,51,15,5,328,309,730,588,405,594,167,60,2853,423,436,232,140,181,41,17,1466,6,16,8,5,5,3,0,35,742,1182,823,555,776,208,77,4360
LGA17620,19,50,42,18,34,3,0,165,0,0,3,3,4,0,0,10,0,0,0,0,0,0,0,0,35,93,71,46,68,9,0,309,3,11,9,8,3,0,0,35,11,8,3,0,3,0,0,24,14,18,13,8,8,0,0,56,48,108,75,52,75,9,0,364,64,66,30,12,18,4,0,190,0,3,3,3,0,0,0,7,106,180,110,63,90,11,3,564
LGA17640,10,20,15,14,10,0,0,71,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,15,32,28,17,25,3,0,121,0,3,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,7,14,33,30,22,26,3,0,133,35,26,19,14,6,0,0,93,0,0,0,0,0,0,0,3,52,60,46,37,36,6,0,231
LGA17650,3,23,18,7,14,0,0,70,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,19,40,33,22,23,3,3,141,0,3,3,7,3,0,0,15,0,3,4,0,0,0,0,9,0,9,8,7,4,0,0,28,22,45,44,28,28,3,0,170,13,25,23,9,9,3,0,91,0,0,0,0,0,0,0,3,38,76,68,32,32,8,0,257
LGA17750,124,254,134,99,131,20,0,763,18,17,13,3,6,3,0,53,5,12,0,6,8,0,3,34,228,493,302,252,373,61,22,1738,13,35,24,17,10,4,4,107,32,46,16,13,10,0,0,120,45,81,35,27,24,3,4,228,281,574,345,283,399,60,25,1965,469,341,164,119,112,14,8,1231,16,11,13,3,0,0,0,41,769,929,521,399,513,80,29,3237
