LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA15560,0,3,28,6,46,31,111,3,0,4,0,10,0,19,14,3,41,10,17,0,84,29,12,74,9,16,3,141,8,0,31,0,5,0,44,8,0,13,0,4,0,26,5,0,0,0,4,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,19,0,30,77,19,189,20,118,40,468
LGA15650,11,9,21,0,39,43,127,3,24,5,0,0,0,33,64,28,25,5,3,0,124,215,102,39,8,4,4,374,144,28,45,3,3,3,229,375,56,68,12,11,3,524,518,13,60,0,7,0,603,103,4,14,0,3,0,128,14,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,24,15,19,3,16,3,78,1484,274,296,38,97,60,2243
LGA15700,0,3,45,3,15,41,111,5,3,3,4,0,0,20,16,121,51,28,31,6,255,91,54,70,47,16,3,285,93,24,73,7,6,0,205,200,19,96,6,14,0,330,328,16,101,3,10,3,456,184,6,42,0,3,0,236,31,0,5,0,0,0,40,3,0,0,0,0,0,8,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,4,19,15,17,4,6,6,67,969,263,500,111,105,59,2012
LGA15750,4,9,62,3,75,59,223,0,11,4,3,11,0,31,42,45,68,5,18,4,189,82,41,79,17,33,3,250,48,26,52,4,8,0,139,50,21,75,8,9,0,168,86,3,82,0,22,3,193,127,4,52,0,13,0,189,19,0,3,0,0,0,26,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,12,11,21,0,22,0,71,471,174,501,48,212,81,1477
LGA15800,5,0,27,3,18,12,68,0,3,6,0,6,0,13,21,16,37,3,8,3,88,83,19,58,0,10,0,173,34,3,26,0,5,0,68,52,0,23,0,0,0,77,14,0,3,0,0,0,15,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,17,0,3,3,31,219,50,208,9,56,26,558
LGA15850,0,5,28,0,29,29,95,0,12,5,7,6,0,29,13,34,30,10,8,0,93,48,15,26,4,10,0,115,31,5,32,0,5,0,78,75,16,28,3,3,0,123,50,0,19,0,0,0,72,9,0,10,0,0,0,19,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,8,3,20,239,91,181,28,71,35,646
LGA15900,14,268,172,44,23,159,683,12,187,19,28,3,3,254,95,1582,165,54,24,18,1931,365,508,303,105,27,9,1308,365,221,266,47,28,6,933,895,200,390,34,76,11,1618,2675,192,903,40,101,21,3928,4937,67,1187,21,89,16,6307,2084,16,387,3,16,5,2517,582,0,115,0,5,0,698,189,8,57,0,5,3,261,90,0,30,3,4,0,129,36,0,13,0,0,0,47,51,0,31,0,3,0,86,155,202,141,51,28,12,590,12537,3449,4174,432,437,268,21295
LGA15950,18,36,157,3,16,94,327,3,33,3,0,0,0,41,12,257,20,9,0,3,305,25,61,28,11,3,0,127,20,16,51,0,3,0,91,66,10,64,0,9,0,154,233,9,132,3,4,3,381,1538,10,346,0,16,3,1915,2671,3,443,3,10,4,3133,2721,0,354,0,8,5,3092,1829,0,227,0,4,0,2061,1072,0,146,3,3,3,1224,676,0,88,0,0,4,771,1090,0,229,0,11,0,1336,175,22,77,33,9,10,332,12150,454,2356,84,112,139,15286
LGA15990,29,52,317,39,27,225,692,6,50,15,65,12,5,154,13,506,48,97,21,14,700,52,130,61,81,22,3,354,35,60,79,35,11,0,236,86,63,135,56,32,3,381,275,42,278,17,48,6,655,1637,41,574,18,43,12,2322,3636,20,869,11,45,18,4590,3003,6,655,7,31,4,3704,2072,16,473,8,23,7,2594,1543,7,346,3,8,0,1903,1071,3,234,3,9,0,1313,2127,0,423,0,9,3,2560,261,71,192,40,36,29,623,15844,1068,4691,477,365,338,22785
LGA16100,0,0,17,0,15,16,54,0,7,4,4,0,0,14,18,12,7,4,4,0,49,23,8,14,0,0,0,43,35,0,20,0,0,0,52,75,0,24,0,0,0,96,59,0,9,0,3,0,68,14,0,3,0,0,0,20,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,8,0,22,235,29,109,7,39,18,439
