LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA10850,6,3,3,0,12,10,0,4,0,12,9,0,15,0,23,6,3,16,0,24,39,3,20,0,63,22,8,30,3,62,106,18,35,0,162,64,21,38,3,133,86,38,28,4,154,84,70,19,4,170,47,59,14,3,117,44,77,10,0,133,86,130,16,0,236,53,88,5,3,151,26,61,0,0,92,15,53,3,0,69,29,65,0,0,93,57,104,31,0,189,16,5,10,0,42,800,805,297,22,1926
LGA10900,68,23,31,0,122,43,7,22,3,76,48,7,54,5,119,29,3,93,4,123,257,38,159,4,461,195,65,288,10,555,891,104,326,32,1350,680,205,335,25,1247,906,434,390,28,1755,774,544,261,26,1611,496,579,214,17,1304,542,617,177,10,1347,934,1431,272,12,2651,674,1245,130,7,2055,391,847,33,3,1279,271,623,42,3,941,455,1209,35,3,1703,490,1088,276,18,1864,105,67,54,11,228,8250,9148,3182,221,20798
LGA10950,3,0,3,0,10,0,0,0,0,0,7,0,6,0,6,0,0,5,0,7,17,0,17,0,31,7,4,4,0,18,41,5,20,0,61,23,10,11,3,46,20,13,6,0,41,9,16,5,0,37,14,15,4,0,40,16,16,4,0,33,34,33,4,0,76,21,26,0,0,47,14,11,4,0,35,4,11,0,0,20,19,13,3,0,32,18,70,10,0,97,10,8,5,0,25,282,269,107,10,662
LGA11100,108,28,38,15,190,29,6,19,0,59,22,16,41,3,74,21,13,40,0,75,172,40,92,20,321,102,78,148,13,339,402,126,167,25,722,196,193,174,39,607,292,342,204,35,872,291,348,157,27,828,210,366,136,24,740,220,368,110,27,721,503,748,154,36,1440,339,644,83,21,1084,259,507,54,10,824,187,375,29,10,601,300,801,36,13,1150,284,598,170,12,1064,61,54,49,5,171,4000,5657,1898,339,11899
LGA11150,3,0,0,0,6,0,0,0,0,5,0,0,5,0,8,0,0,9,0,7,4,4,5,0,13,3,0,10,0,11,21,5,13,0,40,14,5,22,0,42,15,10,9,0,33,17,14,11,3,44,7,13,6,0,29,17,15,8,0,40,30,25,4,0,56,15,28,3,0,47,8,19,0,0,28,3,9,3,0,15,5,13,0,0,15,22,49,13,0,83,11,7,13,0,39,206,216,130,11,561
LGA11200,6,0,3,0,9,0,0,6,0,8,0,0,7,3,14,0,0,16,0,16,9,3,11,0,29,0,0,17,3,17,18,3,13,0,38,10,9,16,3,43,8,6,7,3,23,13,8,3,3,25,13,8,4,0,21,14,4,0,0,12,15,7,3,0,27,3,13,0,0,17,6,0,0,0,8,0,5,0,0,5,3,3,0,0,8,13,24,13,0,47,8,5,13,0,25,124,114,137,16,398
LGA11250,16,0,7,0,24,6,0,15,3,26,15,0,32,3,53,7,0,61,3,68,124,18,87,6,231,51,23,141,5,225,360,34,116,12,521,161,75,135,4,371,187,113,97,10,403,154,95,69,9,328,67,98,54,4,217,104,132,29,5,276,196,181,42,10,422,127,157,10,0,299,67,111,3,0,181,31,64,5,0,95,53,111,7,0,180,132,236,92,3,468,76,23,50,4,150,1921,1484,1059,75,4536
LGA11300,188,26,66,11,291,56,12,23,8,97,51,23,39,3,109,23,11,44,3,77,148,40,70,8,268,102,56,74,15,249,334,99,107,27,575,187,156,111,22,474,260,239,139,39,684,233,261,123,21,641,188,239,85,18,536,176,237,68,18,499,325,518,100,31,977,202,380,60,24,673,121,298,36,12,473,86,205,26,12,329,176,756,24,5,961,199,432,87,8,727,33,30,12,0,87,3099,4024,1310,289,8722
LGA11350,34,13,22,0,66,15,3,16,3,41,29,9,44,0,84,11,3,69,0,87,104,40,124,5,273,73,54,224,3,350,341,84,174,7,612,238,130,170,15,560,334,244,178,15,772,332,243,128,10,721,185,224,55,0,460,213,227,45,9,484,279,412,60,3,751,166,241,21,7,441,97,127,4,0,232,52,98,10,0,158,162,224,7,0,396,270,460,188,8,925,53,28,31,0,119,2995,2862,1566,96,7523
LGA11400,27,9,5,0,37,12,3,4,0,22,5,3,14,0,23,6,5,13,0,25,65,11,24,0,96,42,15,57,0,108,215,32,55,11,311,126,49,37,3,218,141,98,38,3,281,151,112,39,5,304,68,123,24,0,214,93,110,13,3,222,149,252,20,3,419,77,185,5,3,271,60,125,0,0,187,28,70,4,0,102,63,150,0,0,218,108,223,50,0,381,54,21,16,0,80,1476,1593,420,37,3531
