LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA15520,32,12,3,0,48,21,3,3,0,27,7,7,7,0,25,11,0,16,0,24,102,7,27,3,143,56,15,33,4,111,280,28,33,0,339,131,49,45,4,228,202,77,49,8,332,137,120,21,0,279,81,102,11,3,192,92,96,17,0,203,158,160,11,0,330,73,127,5,0,199,25,70,0,0,100,15,25,3,0,46,38,61,0,0,102,107,161,30,3,300,61,8,14,0,86,1631,1119,332,34,3114
LGA15560,3,0,0,0,3,3,0,0,0,3,4,0,4,0,9,0,0,10,0,9,21,0,9,0,32,8,3,23,0,36,54,13,17,0,78,20,23,25,0,66,46,23,14,3,93,35,46,10,0,90,28,41,3,0,71,34,37,0,0,67,38,54,5,3,106,32,36,0,0,64,4,23,0,0,31,4,7,0,0,13,13,16,0,0,31,26,76,11,0,122,16,3,3,0,22,394,401,140,14,952
LGA15650,30,6,17,0,52,15,3,13,0,28,13,4,32,0,44,13,0,46,0,62,69,13,67,3,147,33,14,114,3,172,172,44,100,7,326,113,60,75,0,253,132,99,61,10,298,121,109,37,3,275,84,111,30,0,229,89,126,21,6,241,167,301,40,3,512,125,218,9,5,352,72,142,11,0,226,46,85,8,0,136,79,180,5,0,262,116,209,68,0,393,44,17,34,0,95,1524,1741,793,42,4095
LGA15700,34,8,11,0,60,34,7,3,0,49,17,4,36,0,51,15,4,53,0,76,148,30,84,13,267,92,22,138,5,256,587,66,153,16,820,252,107,132,14,497,288,163,94,10,557,247,172,63,13,494,107,137,24,0,272,108,123,32,5,268,156,218,19,0,396,80,113,4,3,200,22,63,0,0,89,22,29,5,0,66,46,45,0,0,98,151,213,102,6,463,68,17,31,3,120,2476,1541,1000,88,5107
LGA15750,18,4,10,0,30,10,3,7,0,14,10,4,27,3,39,6,3,36,0,47,72,17,42,0,132,28,10,70,0,115,169,17,59,9,261,102,43,63,0,214,133,76,57,0,269,113,125,31,6,265,77,115,24,0,216,88,122,14,6,233,169,191,23,6,381,89,134,7,0,237,58,97,0,0,157,32,47,3,0,83,51,97,3,0,147,87,197,59,6,352,42,16,24,0,88,1363,1316,564,39,3281
LGA15800,6,3,4,0,13,3,4,0,0,4,3,0,9,0,8,0,0,17,0,19,42,4,27,3,69,20,13,35,0,66,82,14,38,0,136,38,20,35,5,104,70,46,19,0,138,72,58,21,3,152,30,42,6,0,75,37,42,9,0,96,61,93,8,0,160,28,52,0,0,82,16,25,0,0,39,6,15,3,0,24,22,23,0,0,40,53,94,14,5,163,21,5,8,3,38,605,559,249,16,1430
LGA15850,8,4,7,0,19,11,0,3,0,9,5,3,14,0,23,5,0,14,0,17,29,4,26,0,60,16,13,52,0,83,106,18,42,3,174,52,25,31,5,110,66,39,32,12,146,56,54,19,3,133,38,48,8,0,102,36,53,11,0,105,81,79,10,0,170,35,62,7,0,105,24,40,3,0,63,16,18,0,0,30,13,37,0,0,51,56,99,32,0,194,25,13,11,0,45,687,605,321,31,1640
LGA15900,155,43,98,14,319,77,22,43,9,139,82,34,194,12,327,60,11,250,6,328,534,106,403,50,1088,331,124,691,38,1189,1857,246,778,74,2956,1045,469,804,108,2419,1331,754,837,106,3029,1249,1024,659,97,3029,825,1040,496,57,2420,918,1137,377,45,2483,1921,2430,448,69,4861,1296,2067,186,43,3587,798,1489,55,20,2361,422,950,84,7,1464,870,2103,75,6,3053,1035,1853,620,28,3531,211,133,112,19,476,15018,16046,7198,817,39068
LGA15950,76,34,42,9,162,25,3,21,3,56,20,5,26,3,63,14,4,25,3,46,86,16,40,13,147,71,22,67,10,166,177,44,77,19,317,175,57,80,18,334,321,106,135,26,581,351,133,126,29,646,318,146,112,27,606,358,172,111,19,667,1133,536,238,57,1962,1019,427,87,52,1589,890,419,40,31,1379,834,678,197,21,1732,2745,2448,148,45,5391,757,647,176,13,1596,72,34,18,4,130,9460,5927,1765,397,17548
LGA15990,313,98,141,10,559,154,43,54,13,258,120,52,118,11,301,56,35,135,3,223,613,91,223,22,947,351,113,404,27,897,1490,236,460,36,2218,1254,425,629,49,2358,1956,853,762,75,3644,1754,1112,747,89,3713,1232,1278,586,68,3154,1436,1540,511,48,3531,3002,3774,910,115,7803,2218,3626,365,61,6275,1487,3021,148,43,4708,1196,3210,344,17,4760,3532,10704,299,24,14564,1765,4300,919,34,7021,393,272,136,15,815,24315,34793,7884,755,67745
LGA16100,8,4,3,0,15,3,0,3,0,11,7,3,10,0,16,0,0,13,0,17,35,4,14,5,47,10,3,15,0,34,96,5,20,0,127,34,7,26,0,67,75,38,16,0,125,62,48,8,0,127,41,52,12,0,105,43,35,13,0,98,67,78,11,0,160,39,40,3,0,86,20,31,3,0,49,12,16,0,0,29,17,42,0,0,60,38,92,21,0,152,13,7,11,0,34,632,505,206,5,1345
LGA16150,44,5,27,5,86,37,3,18,0,58,23,9,52,3,88,11,3,73,0,84,182,20,110,0,317,97,36,237,6,377,490,71,243,16,822,271,132,203,15,617,392,259,214,18,889,359,313,146,16,837,220,325,91,10,645,274,352,71,3,698,460,695,119,6,1279,280,528,39,6,855,165,351,17,3,529,85,198,18,0,308,202,449,4,0,659,241,504,166,7,914,76,28,64,3,169,3904,4283,1919,119,10227
LGA16200,23,6,6,0,38,9,5,15,3,33,12,3,23,0,31,9,0,40,0,52,87,13,61,5,162,31,20,97,0,150,215,40,89,8,351,115,74,68,3,259,163,91,59,7,311,128,123,43,6,298,80,122,26,0,231,85,136,18,0,240,158,219,29,7,408,84,159,7,3,247,48,98,0,0,147,27,44,3,0,76,49,81,3,0,136,119,225,64,0,408,41,18,20,6,86,1477,1460,687,50,3671
LGA16260,865,227,292,42,1428,225,64,107,14,413,163,106,253,27,544,120,94,210,15,433,739,300,363,37,1441,433,454,535,39,1454,1610,811,609,57,3083,1104,1148,614,91,2953,1616,1776,759,105,4252,1541,2020,720,127,4404,1147,2124,553,61,3888,1176,2210,440,79,3912,2529,4712,757,186,8181,1756,3342,345,97,5536,1187,2405,154,52,3796,803,2018,132,32,2983,1236,4186,169,37,5629,1122,2897,617,37,4662,221,206,99,11,533,19573,31093,7727,1137,59537
LGA16350,281,76,163,12,539,81,32,52,9,167,108,47,222,7,382,62,42,296,6,412,594,119,552,29,1298,302,187,913,29,1441,1817,412,924,56,3204,1053,741,972,65,2824,1331,1337,1162,87,3926,1322,1780,916,82,4103,1005,1830,666,69,3569,1124,2062,573,65,3828,2428,4337,808,106,7680,1422,3386,367,45,5223,753,2247,186,26,3213,418,1444,124,14,2002,506,2610,126,9,3259,899,2463,829,34,4226,277,260,210,23,765,15792,25421,10063,784,52054
LGA16380,103,18,44,3,169,75,0,21,0,98,67,13,75,4,156,39,4,139,0,182,530,37,209,12,782,328,71,437,10,850,2098,159,438,27,2720,1095,333,501,31,1966,1239,598,419,34,2292,1082,719,260,32,2085,509,631,185,12,1328,550,545,157,12,1266,830,1156,139,13,2132,474,783,47,5,1307,233,467,16,3,717,145,250,28,0,423,282,466,24,0,779,644,854,311,24,1831,246,75,94,5,428,10571,7192,3534,222,21516
LGA16400,84,22,51,3,165,68,4,24,3,102,50,16,87,5,165,19,14,130,0,166,434,35,203,7,680,228,60,346,8,648,1402,152,356,20,1930,777,266,365,32,1439,990,468,374,32,1868,825,570,252,22,1665,439,586,185,13,1229,466,586,141,6,1194,807,1160,131,11,2107,442,862,61,5,1376,236,508,25,0,762,127,276,24,0,426,230,560,21,3,820,521,1045,248,17,1838,204,58,56,0,316,8356,7243,3095,199,18893
LGA16490,51,12,29,0,95,21,9,12,0,42,27,15,46,0,87,13,5,69,4,95,152,29,88,3,271,88,40,136,3,264,380,59,151,12,609,279,136,173,9,591,400,229,183,13,832,394,277,169,17,856,311,295,166,15,786,354,385,138,14,891,743,870,237,25,1882,504,902,89,23,1521,400,794,39,0,1238,298,626,45,3,968,561,1496,41,9,2106,377,867,191,9,1438,72,50,44,8,172,5426,7107,2044,172,14744
LGA16550,329,72,98,80,579,97,13,45,26,177,98,24,102,26,260,38,16,105,11,174,356,48,184,36,623,194,103,283,33,607,778,136,302,54,1270,560,252,369,64,1237,710,415,440,96,1661,737,502,384,85,1712,523,557,374,61,1519,598,635,259,56,1554,1492,1545,488,132,3661,1266,1394,203,80,2946,904,1243,87,46,2279,691,1282,172,22,2173,1797,4506,151,41,6485,949,1730,450,40,3170,202,117,80,20,422,12320,14593,4579,1005,32493
LGA16610,30,11,15,0,51,17,0,0,0,19,19,8,31,0,54,4,0,62,0,69,167,14,102,6,291,79,43,137,9,271,539,79,169,12,801,240,123,165,24,543,315,242,125,15,696,258,257,72,8,599,138,198,38,5,379,139,207,43,6,392,198,297,34,3,534,75,194,12,0,286,31,95,0,0,124,18,56,0,0,75,35,48,4,0,88,131,256,105,10,502,68,18,39,3,130,2489,2141,1178,107,5912
LGA16650,346,62,126,15,557,124,34,46,5,208,94,61,122,20,298,78,64,102,10,248,509,112,189,17,820,221,242,287,28,771,1194,337,337,40,1913,655,582,421,61,1720,871,831,424,79,2201,842,898,408,85,2231,551,913,320,35,1819,640,868,266,60,1835,1302,1898,369,84,3655,775,1336,184,63,2353,505,962,85,28,1587,342,718,82,17,1157,566,1484,69,28,2151,654,1434,374,36,2497,161,125,62,8,356,10439,12949,4267,723,28370
LGA16700,431,105,145,54,734,152,30,39,13,231,124,36,86,18,267,51,43,85,10,189,427,83,132,20,663,238,157,215,31,649,899,268,259,34,1459,614,383,324,65,1391,808,661,396,70,1934,783,753,337,69,1943,599,825,305,53,1774,657,849,240,46,1796,1369,1995,378,82,3828,1016,1505,197,61,2773,650,1315,81,28,2078,491,1124,112,19,1746,885,3198,123,31,4237,676,1525,303,33,2539,123,112,50,9,293,11001,14982,3804,739,30525
LGA16900,90,25,35,0,152,45,9,25,3,94,40,18,103,5,164,29,16,137,5,180,319,38,229,7,591,216,60,401,16,687,1257,161,412,26,1862,561,249,441,28,1273,630,523,402,34,1594,583,648,296,23,1552,357,713,212,13,1290,385,716,173,10,1278,672,1441,209,15,2338,363,1099,92,11,1563,200,646,42,5,897,109,437,17,3,562,147,690,31,0,873,430,989,294,11,1725,142,62,68,4,281,6584,8532,3614,224,18954
LGA16950,179,18,60,3,266,118,14,30,3,163,95,29,140,5,273,74,15,205,6,297,768,83,345,8,1204,414,115,531,21,1082,2673,290,616,44,3619,1286,461,600,46,2388,1509,785,504,53,2855,1310,915,307,22,2553,638,807,177,27,1648,618,736,140,12,1505,987,1273,182,12,2451,530,858,52,4,1442,274,496,15,0,782,143,273,19,0,438,292,468,38,3,804,889,1212,449,18,2560,312,96,129,13,538,13101,8936,4531,305,26871
LGA17000,20,3,14,0,39,15,0,3,3,27,10,4,27,0,42,7,0,44,0,54,100,8,58,3,167,46,23,113,0,183,220,44,91,7,363,128,63,87,9,295,171,132,90,10,411,161,161,56,6,389,121,178,36,9,334,123,184,48,5,358,288,466,54,7,816,165,385,21,5,572,128,223,6,3,358,64,181,11,0,264,169,410,12,0,595,184,345,77,0,613,35,33,16,3,93,2154,2854,878,76,5962
LGA17040,17,8,13,0,38,18,7,4,0,35,19,4,24,0,53,10,4,31,0,42,104,9,43,0,156,55,15,67,4,149,309,39,78,3,425,180,70,58,5,305,237,119,83,7,444,226,156,65,4,454,144,169,28,6,345,154,157,28,8,348,255,326,44,8,624,163,203,20,0,391,70,152,0,0,221,38,83,8,0,135,84,133,6,0,222,194,285,63,3,545,37,28,17,0,84,2304,1970,691,52,5021
LGA17080,20,6,12,0,42,12,4,8,0,29,9,8,22,0,42,10,4,34,3,51,87,9,48,3,143,45,11,76,3,138,263,36,49,8,355,135,55,49,3,245,169,96,63,0,335,178,121,33,11,346,97,113,24,4,240,103,114,20,3,246,199,237,18,5,468,96,148,11,0,251,40,82,0,0,129,25,42,0,0,67,49,45,5,0,104,157,222,72,3,453,60,20,13,0,91,1772,1378,570,47,3762
LGA17100,155,37,71,14,278,39,8,21,5,69,32,22,46,12,105,20,20,49,9,91,118,41,54,4,220,80,81,84,5,247,275,139,97,15,536,163,214,95,27,498,255,321,144,28,748,233,312,104,36,687,187,329,92,19,633,191,315,69,18,596,395,669,127,40,1228,265,438,61,20,789,167,336,28,9,542,87,272,37,8,403,211,974,50,11,1244,190,598,116,3,907,48,42,22,0,114,3102,5162,1359,290,9919
LGA17150,294,61,120,16,489,151,28,60,10,246,108,50,131,9,296,62,24,163,0,257,644,81,269,23,1027,391,142,441,20,993,1820,208,540,42,2614,1350,455,696,54,2550,1866,840,899,76,3678,1716,1139,649,75,3569,1070,1326,592,71,3058,1147,1664,539,49,3402,2574,4094,829,97,7591,1828,4098,437,71,6437,1321,3306,207,28,4861,898,2578,186,10,3670,1754,7095,247,30,9120,1281,3526,826,35,5665,330,256,135,12,733,20605,30961,7968,714,60249
LGA17200,577,56,151,153,944,118,16,44,33,217,127,31,153,28,335,99,23,135,33,285,390,80,221,56,745,289,107,276,50,723,856,168,293,86,1405,686,222,351,130,1391,1083,344,343,170,1943,1161,357,288,142,1941,1029,377,284,103,1787,1216,405,204,83,1909,3156,996,361,194,4710,2726,811,119,110,3765,2289,700,63,63,3114,1975,812,216,44,3045,5715,2803,159,102,8779,2111,985,343,51,3492,194,63,75,15,352,25791,9365,4071,1658,40887
LGA17310,61,20,26,0,112,25,10,18,3,56,40,13,75,3,133,19,5,127,0,157,279,46,199,7,537,180,45,377,0,600,968,109,386,23,1479,542,219,343,29,1132,655,443,320,41,1462,619,512,228,29,1388,376,480,142,16,1016,388,493,127,19,1029,691,1000,114,17,1818,372,650,41,9,1065,178,415,8,9,607,96,231,18,0,351,191,376,26,3,589,420,833,256,16,1527,166,71,80,9,328,6263,5961,2912,235,15373
LGA17350,6,4,4,0,15,4,0,0,0,7,7,5,10,0,18,4,0,11,0,11,33,5,18,0,60,15,5,25,3,50,146,16,32,4,201,64,30,36,0,128,93,62,23,0,183,83,65,14,3,161,42,53,14,0,111,56,59,3,0,115,69,95,9,0,167,27,51,0,0,82,20,33,0,0,53,5,24,3,0,34,15,27,3,0,46,42,80,16,0,134,24,10,7,0,48,749,618,238,11,1623
LGA17400,11,0,5,0,16,17,3,4,0,19,9,0,14,0,22,9,0,18,0,28,86,11,25,0,124,38,16,33,3,89,190,33,44,4,270,84,35,34,0,153,103,46,31,3,179,84,63,15,3,163,31,37,6,0,78,42,45,8,0,93,49,55,9,0,112,29,20,3,0,51,10,11,0,0,23,5,3,0,0,13,17,16,0,0,35,77,83,24,4,191,35,11,0,0,47,920,483,280,18,1697
LGA17420,466,93,122,11,691,157,39,48,6,246,113,52,80,7,258,42,32,79,8,165,441,77,144,6,665,245,171,203,13,633,1035,252,255,19,1556,800,437,317,28,1581,1129,763,412,36,2336,978,940,343,28,2295,608,1078,328,23,2040,661,1270,290,36,2254,1380,3315,515,48,5262,1054,2946,240,37,4277,760,2684,135,20,3601,539,2371,142,12,3057,1297,6782,197,23,8296,716,2916,418,15,4068,186,189,61,8,437,12608,26403,4327,382,43713
LGA17550,127,22,52,0,206,100,6,32,4,142,64,32,94,10,200,36,14,151,0,207,537,62,293,8,899,344,100,524,15,982,2039,222,539,35,2834,1047,387,533,50,2022,1204,707,556,49,2514,1070,811,396,40,2321,554,820,256,16,1646,577,716,186,18,1492,991,1335,194,14,2536,511,906,62,12,1486,244,544,23,3,808,121,299,20,0,444,233,550,19,3,806,684,1130,435,25,2276,284,84,93,7,469,10759,8751,4462,312,24290
LGA17620,31,4,4,0,39,14,0,5,0,20,18,3,25,0,43,3,0,16,0,29,58,6,44,3,115,29,15,55,0,106,222,25,74,3,320,117,54,57,6,240,158,97,52,4,306,158,98,34,4,297,68,113,20,0,201,100,115,21,3,237,179,240,23,4,447,96,174,7,0,284,57,119,4,0,182,23,71,0,0,102,73,136,3,0,211,106,196,49,3,352,44,19,12,0,78,1555,1492,515,35,3595
LGA17640,12,0,5,0,20,7,3,0,0,9,7,3,8,0,22,3,3,12,0,14,55,10,17,3,81,25,7,26,0,61,135,17,28,3,188,87,35,21,5,158,103,49,28,0,183,93,60,15,0,168,51,78,9,0,142,56,60,14,7,138,104,105,8,3,221,59,79,3,3,146,40,55,4,0,99,13,35,0,0,52,46,44,6,0,95,60,125,27,0,207,35,5,8,3,47,997,791,242,26,2053
LGA17650,7,3,3,0,14,0,0,0,0,10,5,0,18,0,26,0,0,9,0,15,49,13,11,3,75,25,7,21,0,53,132,22,26,3,176,58,37,37,7,141,76,53,25,3,153,70,74,16,0,154,39,56,11,0,101,50,61,9,0,120,85,86,10,3,175,33,49,0,0,86,22,30,0,0,55,14,14,0,0,32,15,23,0,0,46,43,88,33,0,163,16,12,4,3,34,752,631,234,21,1640
LGA17750,62,20,22,3,107,40,4,15,3,67,24,12,77,0,112,18,10,105,0,135,235,48,186,9,474,126,51,323,7,501,701,106,296,31,1133,451,198,320,28,1004,582,359,322,39,1294,617,482,239,32,1366,371,522,172,15,1076,436,570,135,16,1160,781,1124,131,28,2059,447,860,54,18,1372,256,540,22,6,822,114,323,24,0,461,245,544,19,8,816,472,799,228,5,1507,130,65,96,5,298,6094,6648,2783,250,15773
LGA17850,8,0,0,0,10,4,4,0,0,10,4,0,4,0,14,3,0,3,0,3,23,0,5,0,28,14,8,13,0,29,60,7,13,3,81,33,21,15,3,63,39,34,11,0,85,35,29,4,0,74,13,29,10,0,56,35,21,3,0,58,36,35,0,0,77,10,21,0,0,35,15,14,0,0,27,10,10,0,0,19,24,19,3,0,41,17,57,14,0,86,15,7,3,0,24,405,312,95,9,823
