LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA17420,105,566,13,64,121,18,0,3,6,895,30,125,3,7,23,4,0,0,0,199,1480,6234,222,721,1887,569,26,138,120,11400,5,9,4,7,3,3,0,0,0,31,390,693,76,314,779,165,14,63,34,2526,370,486,126,541,895,253,6,65,31,2769,279,281,412,677,1012,308,26,81,49,3123,44,42,24,65,206,78,3,16,9,482,110,97,49,150,519,127,9,41,22,1131,46,107,18,46,189,49,3,20,15,488,54,122,16,78,200,67,5,34,66,641,3556,11136,1035,2805,6379,1764,101,472,406,27655,39,90,0,3,11,0,0,0,3,151,100,676,14,12,43,7,4,3,11,866,1892,4195,254,200,838,281,63,50,114,7889,78,156,8,5,26,9,3,3,3,295,264,818,43,85,166,33,10,11,10,1435,83,174,11,15,37,8,0,3,0,333,4172,11284,811,1071,2741,1115,251,364,287,22088,9,13,4,6,5,11,0,4,0,61
LGA17550,38,226,3,59,33,6,0,0,4,376,10,76,0,0,12,3,0,0,0,106,298,2001,63,313,331,105,17,74,27,3232,0,8,0,15,4,3,0,0,0,27,108,288,35,222,198,66,3,32,9,964,157,208,74,538,364,129,7,58,13,1546,202,208,389,953,746,360,24,204,29,3116,25,18,10,58,75,65,5,46,5,306,41,43,27,164,190,81,7,46,9,605,5,32,7,21,37,29,0,16,3,144,31,67,21,97,76,55,4,48,33,437,998,3610,632,2475,2108,916,71,547,138,11503,4,22,0,3,3,0,0,0,0,35,12,149,0,3,0,3,0,0,0,178,138,563,18,29,62,24,5,13,9,858,11,32,0,3,3,0,0,0,0,55,73,348,12,73,46,12,4,9,4,570,27,101,3,3,15,4,0,0,0,159,651,3036,188,455,447,208,60,152,52,5249,3,7,3,19,4,3,0,3,0,41
LGA17620,7,27,0,3,3,0,0,0,0,37,3,8,0,0,3,0,0,0,0,12,58,309,6,19,31,14,3,31,5,481,0,0,0,3,0,0,0,0,0,6,29,46,13,27,38,4,0,6,7,171,28,32,11,49,42,9,5,18,0,193,57,44,73,110,126,41,36,57,7,545,11,0,0,6,26,11,6,11,0,79,9,0,14,16,24,16,4,16,0,104,0,3,3,0,4,0,0,0,0,15,17,8,8,14,15,7,0,11,3,89,241,511,127,260,316,105,58,153,20,1793,0,3,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,14,28,48,0,3,5,0,0,0,3,90,0,3,0,0,0,0,0,0,0,3,8,39,4,3,3,0,0,0,0,63,9,8,0,0,3,0,0,0,0,22,125,408,24,31,37,19,10,56,10,729,0,0,0,5,0,0,0,3,0,12
LGA17640,7,19,0,6,3,0,0,0,0,39,4,9,0,0,0,0,0,0,0,8,51,148,4,17,32,0,0,5,4,264,0,0,0,0,0,0,0,0,0,3,28,24,7,16,10,3,0,3,0,97,23,25,8,35,38,5,0,9,0,146,28,11,32,86,62,21,6,18,4,275,5,3,3,10,13,4,0,6,0,43,10,5,0,16,31,3,0,6,0,68,3,0,0,3,0,0,0,0,0,7,8,3,3,4,4,3,0,5,4,42,188,278,60,195,207,52,9,45,11,1055,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,21,22,42,0,0,9,0,0,0,0,79,0,0,0,0,0,0,0,0,0,6,16,26,3,8,6,0,0,0,0,57,3,12,0,3,0,0,0,0,0,16,109,213,13,22,35,3,3,12,7,416,0,0,0,0,0,0,0,0,0,3
LGA17650,7,12,0,0,3,0,0,4,0,28,0,10,0,0,0,0,0,0,0,10,28,130,10,26,34,5,0,3,0,241,0,0,0,3,0,0,0,0,0,3,15,21,3,11,31,6,0,0,0,96,12,8,5,24,30,4,0,3,0,88,16,6,34,61,57,21,3,21,0,223,3,0,4,3,11,4,0,8,0,34,8,3,4,16,12,3,3,4,0,58,4,0,0,0,0,3,0,0,0,7,5,4,0,9,6,3,0,3,3,38,117,244,60,152,197,50,11,51,4,886,0,0,0,0,0,0,0,0,0,4,5,38,0,0,0,0,0,0,0,48,16,32,0,3,4,0,0,3,0,63,0,0,0,0,0,0,0,0,0,0,8,25,3,7,5,0,0,4,0,56,3,13,0,0,0,0,0,0,0,17,63,195,19,37,43,12,4,8,0,382,0,0,0,3,0,0,0,0,0,3
LGA17750,37,189,5,29,22,3,0,3,0,288,16,78,0,0,20,0,0,0,3,118,286,2005,78,217,302,87,5,62,13,3058,0,0,0,3,3,3,0,0,0,13,82,182,23,125,116,25,3,16,7,576,136,194,38,356,241,59,5,35,7,1075,192,156,309,758,776,290,38,136,18,2669,24,12,10,50,111,54,9,37,3,313,37,27,18,103,178,48,3,28,0,455,11,22,8,8,40,10,0,8,0,111,32,45,12,51,58,38,3,34,12,283,923,3341,506,1739,1892,620,66,370,76,9540,5,20,0,0,0,0,0,0,0,26,31,266,9,3,3,3,0,0,0,328,146,512,25,35,44,7,6,17,5,799,6,27,3,0,0,0,0,0,0,32,67,295,11,36,27,3,3,3,0,460,29,105,3,3,21,0,0,0,5,170,625,2959,239,340,393,163,26,136,29,4917,6,7,3,8,3,3,0,0,0,26
LGA17850,3,3,0,0,3,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,36,61,0,6,5,3,0,0,0,113,0,0,0,0,0,0,0,0,0,0,12,9,0,9,9,7,0,5,0,44,11,3,4,8,11,0,0,7,0,34,9,8,18,21,23,7,7,4,0,88,5,0,0,3,6,0,0,4,0,23,10,0,3,4,14,3,0,3,0,32,3,0,0,0,0,0,0,0,0,12,7,0,0,0,7,0,0,7,3,24,100,100,18,57,66,19,7,26,3,396,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,8,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,16,0,3,0,0,0,0,0,0,0,3,64,86,3,4,6,7,0,4,0,176,0,0,0,0,0,0,0,0,0,0
LGA17900,0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,27,98,5,32,21,6,0,5,0,186,0,0,0,0,0,0,0,0,0,0,15,13,0,6,8,0,0,0,0,49,19,17,0,24,15,4,0,3,0,81,17,11,8,46,29,11,4,16,0,129,0,0,3,3,5,0,0,3,0,16,3,0,0,3,3,3,6,0,0,24,3,0,0,0,5,0,0,0,0,9,7,10,0,3,7,0,0,10,4,41,94,181,16,119,101,32,12,29,10,589,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,28,0,0,3,0,0,0,0,37,3,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,52,138,7,38,24,6,6,6,0,279,0,0,3,0,0,0,0,0,0,3
LGA17950,4,9,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,23,63,3,9,8,3,0,3,0,113,0,0,0,0,0,0,0,0,0,0,10,8,0,7,11,0,0,3,0,42,7,5,4,14,13,0,0,3,0,43,7,6,8,15,12,4,0,0,0,56,0,0,0,4,5,0,0,0,0,13,5,3,3,5,8,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,4,4,4,3,0,0,0,4,3,21,72,101,17,57,51,10,0,17,6,332,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,48,82,3,12,7,3,3,6,0,162,0,0,0,0,0,0,0,0,0,0
LGA18020,8,19,0,4,3,0,0,0,0,37,4,6,0,0,0,0,0,0,0,5,44,188,3,18,18,5,0,3,3,292,0,0,0,0,0,0,0,0,0,0,18,31,3,21,9,4,0,4,3,85,19,19,0,41,22,4,0,4,0,117,28,24,24,81,58,21,3,27,6,273,6,3,4,10,8,5,0,3,0,40,12,4,4,12,12,6,0,4,0,47,8,3,0,4,3,3,0,0,0,18,11,5,6,14,10,0,0,10,9,69,161,336,44,199,144,46,3,56,21,1014,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,11,35,3,3,3,0,4,0,0,61,0,4,0,0,0,0,0,0,0,4,15,26,0,5,3,0,0,0,0,49,3,6,0,0,0,0,0,0,0,9,98,243,7,24,23,10,4,10,3,430,0,0,0,0,0,0,0,0,0,0
LGA18050,76,277,0,29,52,10,0,0,7,458,26,76,0,5,15,3,0,0,0,120,1443,3871,140,584,875,481,14,125,100,7632,0,3,3,3,4,5,0,0,0,21,181,294,26,135,186,93,4,19,11,955,195,236,72,229,239,127,10,24,25,1147,87,90,134,182,175,81,4,28,13,795,14,15,7,19,33,13,0,4,0,111,57,56,7,70,105,41,0,12,5,358,29,66,10,24,55,20,4,11,8,223,35,71,12,42,38,34,0,18,36,280,2655,6743,439,1438,2005,993,40,246,215,14776,26,58,3,3,3,6,0,3,0,96,76,511,0,9,14,8,0,0,5,630,1090,2627,69,139,358,137,17,36,56,4522,31,100,3,13,16,9,0,3,0,171,148,475,15,44,71,17,11,14,10,809,40,109,0,11,26,10,0,0,0,194,3201,7431,413,841,1258,891,108,311,224,14669,3,3,8,5,3,5,0,3,0,30
LGA18100,4,11,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,18,77,0,5,9,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,14,17,0,3,16,3,0,3,0,54,9,7,3,10,8,0,0,3,0,47,18,7,8,35,32,6,3,4,0,110,3,0,0,4,8,0,0,0,0,19,8,0,0,0,5,0,0,5,0,24,7,0,0,3,0,0,0,0,0,8,7,0,0,0,0,3,0,6,0,16,89,133,18,69,83,13,3,26,3,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,54,97,3,10,11,0,3,5,0,185,0,0,0,0,0,0,0,0,0,0
LGA18200,3,18,0,4,3,0,0,0,0,26,0,7,0,0,0,0,0,0,0,7,22,130,8,11,25,5,0,3,0,212,0,0,0,0,0,0,0,0,0,3,19,23,0,12,11,3,0,7,0,63,17,19,0,22,26,3,0,5,0,93,19,20,27,67,50,16,4,28,4,240,4,0,0,4,6,4,0,3,0,35,8,0,0,5,8,7,0,0,0,29,0,0,0,0,0,0,0,0,0,8,6,7,0,4,3,6,0,5,3,41,102,241,50,146,138,48,5,53,8,787,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,9,14,3,3,3,0,0,0,0,31,0,4,0,0,0,0,0,0,0,9,3,19,3,8,3,0,0,0,0,37,0,7,0,0,0,0,0,0,0,7,51,184,8,15,29,9,0,10,0,313,0,0,0,0,0,0,0,0,0,3
LGA18230,24,158,3,29,18,0,0,0,0,228,9,52,0,5,7,3,0,0,0,86,193,1432,26,188,179,57,3,52,18,2140,0,4,0,4,3,3,0,0,0,17,70,150,13,105,96,19,3,15,8,473,102,145,28,297,203,47,3,31,19,866,161,129,214,603,603,207,13,117,14,2058,18,15,10,47,98,59,3,39,6,290,43,21,10,82,139,41,3,12,4,349,4,16,4,12,32,9,0,5,0,86,29,44,5,43,46,37,0,34,23,266,719,2411,313,1427,1442,502,35,317,95,7261,0,16,0,0,0,0,0,0,0,19,4,55,0,0,0,0,0,0,0,69,99,311,16,33,48,35,0,47,8,599,0,15,0,3,3,0,0,0,0,25,37,231,3,37,27,3,0,3,0,340,22,67,0,5,14,3,0,0,0,118,424,2031,99,258,236,102,29,125,24,3328,3,4,0,10,0,5,0,0,0,25
LGA18250,97,294,6,45,62,15,0,0,11,524,24,77,0,0,12,3,0,0,0,114,1144,3542,141,431,975,384,12,90,94,6806,0,0,0,3,0,0,0,0,0,9,155,259,35,104,235,102,5,25,19,928,130,187,60,193,252,116,3,20,8,976,78,85,123,176,171,84,3,21,8,740,16,14,3,21,48,15,0,4,0,124,36,39,13,58,123,42,4,10,3,322,31,72,12,19,42,15,0,4,6,205,26,43,4,24,42,23,0,7,31,206,2338,6526,424,1148,2389,917,28,193,213,14186,30,53,3,0,14,0,0,0,0,102,82,582,11,6,18,5,0,4,7,718,1356,3266,107,110,622,239,21,37,93,5838,44,111,0,0,12,6,0,0,5,182,191,520,12,55,84,26,7,4,10,916,52,108,3,3,10,3,0,0,0,184,2953,7286,468,598,1445,729,91,250,224,14050,4,3,0,8,4,0,0,0,0,17
LGA18350,22,190,10,22,35,12,3,4,0,289,10,31,0,7,7,0,0,0,0,56,235,1100,52,170,249,85,3,32,17,1940,3,0,3,3,3,0,0,0,0,12,91,193,34,122,121,55,3,28,4,644,101,112,45,230,175,71,4,26,6,771,127,129,233,370,359,179,14,122,14,1547,21,8,13,33,65,31,12,15,3,204,38,35,31,68,122,54,3,29,6,391,18,20,3,18,28,3,0,3,3,93,25,39,12,51,66,26,6,31,15,272,766,2261,440,1120,1275,529,54,301,76,6822,8,18,0,0,0,0,0,0,0,26,29,150,3,0,10,0,0,0,3,197,225,553,24,36,69,25,7,15,7,956,3,17,0,3,0,0,0,0,0,25,51,281,12,33,44,16,4,7,9,454,16,45,0,10,7,3,0,0,0,80,583,1836,162,250,316,148,25,74,41,3442,0,3,4,7,3,0,0,0,0,15
LGA18400,30,122,0,22,15,3,0,0,3,202,4,33,0,3,3,0,0,0,0,52,201,1085,36,123,190,52,3,18,23,1729,3,7,0,5,0,0,0,4,0,23,84,179,14,134,144,27,4,17,3,603,112,138,45,322,288,77,9,27,11,1040,136,143,255,504,553,194,29,112,24,1942,11,17,6,37,104,47,6,29,3,260,29,29,22,61,172,48,12,24,7,401,13,11,9,13,44,17,0,7,0,107,21,34,18,37,90,30,12,27,20,287,710,2143,417,1279,1629,498,75,264,97,7121,7,12,0,0,0,0,0,0,0,16,10,65,6,0,0,0,0,0,5,87,136,423,5,17,27,14,3,8,10,648,0,17,0,0,0,0,0,0,0,25,54,166,5,30,22,6,0,0,3,283,14,40,0,3,5,3,0,0,0,69,431,1555,96,222,246,84,25,38,39,2740,8,7,3,5,0,0,0,3,0,32
LGA18450,92,800,10,112,105,22,0,0,5,1150,34,215,0,5,21,3,0,0,3,291,880,5598,195,840,1132,315,10,100,102,9172,4,19,4,24,13,10,0,0,0,70,248,638,63,444,533,155,14,50,15,2160,368,567,161,1141,924,229,12,90,42,3540,385,509,820,1874,1844,642,64,306,71,6521,44,49,26,143,318,142,10,72,6,801,108,83,46,296,565,166,12,94,23,1398,28,85,19,35,133,43,3,18,8,369,36,126,42,148,174,115,9,78,70,803,2665,10917,1424,5192,5976,1897,138,836,358,29411,21,93,3,4,0,0,0,0,0,120,112,1201,20,17,26,6,4,7,4,1392,901,2769,112,185,320,128,38,77,46,4566,26,106,0,6,6,3,0,0,3,158,168,1209,38,149,136,32,7,5,9,1755,73,287,10,20,37,8,3,4,3,445,2109,9526,616,1326,1579,620,169,346,186,16475,7,21,12,29,13,14,3,5,0,104
LGA18500,106,240,4,9,47,15,0,0,3,420,19,49,0,8,6,0,0,0,0,82,1206,3109,93,325,793,394,6,39,82,6042,4,4,0,8,3,0,0,0,0,17,162,249,18,72,182,95,0,13,13,804,122,145,26,110,150,65,0,9,14,643,80,54,75,91,118,71,3,9,3,508,11,4,0,8,26,17,0,0,3,76,47,37,11,34,89,33,0,3,0,261,32,58,5,15,45,16,0,0,3,174,32,55,7,26,46,21,0,3,26,226,2305,5466,258,744,1702,795,11,86,168,11545,17,68,0,0,6,6,0,0,0,100,94,638,4,9,13,3,0,0,5,772,1059,2266,32,74,291,138,7,12,52,3931,17,76,0,3,10,5,0,3,3,124,169,404,10,19,71,24,0,0,8,695,30,74,0,6,10,4,0,0,0,131,2764,6247,226,477,1126,719,52,98,224,11928,4,4,0,5,0,0,0,0,0,26
LGA18710,31,66,0,14,21,3,0,0,0,138,12,22,0,4,6,0,0,0,0,48,186,485,22,59,131,17,3,20,11,933,3,0,0,3,0,0,0,0,0,9,37,40,6,31,67,11,0,15,4,212,39,54,3,66,70,19,0,4,6,265,56,40,57,133,134,33,10,29,5,492,11,4,4,7,23,0,0,5,0,53,9,5,11,33,42,12,0,8,0,129,4,4,0,9,5,0,0,0,0,20,12,8,3,30,20,6,0,4,6,93,475,904,118,389,546,96,12,93,40,2678,3,4,0,0,0,0,0,0,0,8,32,82,3,4,4,0,0,0,0,129,143,198,3,15,37,8,0,9,6,417,6,9,0,0,0,0,0,0,0,15,51,102,4,15,22,3,0,3,0,204,14,32,0,3,8,0,0,0,0,66,363,742,56,97,186,28,8,27,22,1534,3,0,0,4,0,0,0,0,0,9
LGA19399,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,16,16,0,3,3,0,0,4,0,47,0,0,0,0,0,0,0,0,0,0,9,0,0,3,3,0,0,0,0,15,7,0,0,0,3,3,0,0,0,15,16,3,3,5,12,3,0,8,0,46,0,0,0,0,4,0,0,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,50,30,4,15,27,9,0,16,3,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,31,14,0,4,6,3,0,5,3,69,0,0,0,0,0,0,0,0,0,0
LGA19499,0,15,0,4,3,3,0,0,0,30,0,10,0,0,0,0,0,0,0,9,23,146,20,47,37,23,8,48,9,360,0,0,0,0,0,0,0,0,0,0,12,13,10,14,9,9,0,4,0,59,8,17,5,37,19,8,0,16,4,98,10,17,28,39,25,11,4,17,0,152,0,0,0,10,3,3,5,3,0,21,3,3,3,7,3,5,0,9,0,29,0,6,0,0,6,0,0,0,0,15,0,7,0,10,7,3,0,3,5,36,69,290,65,168,108,64,14,108,22,909,0,3,0,0,0,0,0,0,0,7,3,25,0,0,0,0,0,0,0,22,27,100,4,5,11,7,3,9,3,176,0,0,0,0,0,0,0,0,0,3,3,28,0,6,3,3,0,3,0,50,0,9,0,0,0,0,0,0,0,12,67,273,41,82,57,30,23,81,16,678,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,4,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,9,8,6,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
