LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA14300,2087,2081,4166,127,132,267,115,137,254,7,4,16,5,10,13,7,9,12,5,3,4,0,0,0,0,0,0,3,3,5,0,0,0,143,167,304,36,24,57,0,0,6,308,323,633,1143,281,1424,3530,2688,6224
LGA14350,10708,10928,21640,668,753,1422,779,828,1605,23,27,47,83,94,172,7,3,14,17,20,40,0,0,3,7,7,12,0,0,0,0,0,0,916,977,1898,53,58,108,43,39,81,1680,1824,3508,1909,1528,3434,14303,14286,28585
LGA14400,8395,8616,17009,348,362,711,722,800,1523,3,17,25,30,31,57,5,0,4,10,9,21,8,7,14,0,3,9,16,17,31,0,0,0,795,881,1681,63,63,126,18,23,33,1222,1331,2557,812,887,1702,10432,10834,21265
LGA14500,45746,49465,95218,1292,1393,2692,4398,4743,9143,105,105,208,126,112,238,37,40,78,61,57,120,11,10,23,14,9,24,43,42,84,3,0,3,4796,5119,9914,1347,1539,2887,66,69,127,7509,8113,15620,2938,3309,6244,56192,60887,117082
LGA14550,3544,3439,6975,176,196,365,170,183,356,10,3,16,74,80,158,6,5,10,0,3,6,4,0,6,9,10,18,0,3,4,0,0,0,275,283,559,13,15,23,7,12,17,470,502,976,486,432,921,4500,4372,8873
LGA14600,2325,2343,4671,190,189,376,82,103,186,10,7,12,14,18,26,3,0,7,3,4,10,0,0,0,0,0,0,0,3,3,0,0,0,107,130,241,5,6,6,12,11,20,312,335,647,407,369,775,3046,3051,6096
LGA14650,77298,81240,158538,2754,2858,5614,7845,8484,16332,124,116,240,266,283,550,42,22,68,91,80,173,17,19,34,29,29,58,36,52,88,0,0,6,8450,9096,17543,327,418,745,186,162,353,11721,12531,24250,6109,6299,12404,95128,100071,195197
LGA14700,12951,13533,26478,550,513,1065,2100,2097,4194,48,51,101,55,74,130,27,30,48,47,39,83,6,8,14,6,0,8,22,27,44,0,0,0,2303,2321,4630,476,511,987,24,22,47,3360,3371,6727,1172,1171,2339,17485,18071,35550
LGA14750,4238,4262,8498,333,346,679,228,249,475,24,24,50,32,34,70,0,3,7,4,3,8,4,5,6,0,0,0,9,12,20,0,0,0,298,331,631,27,16,44,7,20,26,661,714,1377,562,584,1153,5464,5561,11023
LGA14850,15986,16967,32950,759,825,1581,1393,1520,2913,61,56,115,250,236,487,15,9,20,25,26,50,8,13,22,10,17,27,3,4,6,3,4,4,1760,1879,3642,83,88,172,82,68,151,2685,2863,5552,2090,2129,4224,20771,21952,42721
