LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA11450,119,153,157,234,738,1134,722,1809,56,5134,343,422,632,666,1420,1678,752,1169,62,7139,138,207,234,279,1207,1711,849,1288,97,6004,186,644,563,634,814,537,327,281,66,4051,284,574,860,828,1694,1342,458,510,66,6634,128,918,557,497,645,537,268,379,67,3991,100,121,153,193,679,639,375,919,76,3265,90,573,360,320,532,537,249,333,62,3061,43,62,45,32,109,115,37,97,188,738,1434,3680,3561,3688,7840,8227,4051,6792,740,40014
LGA11500,137,160,197,282,1229,1465,815,1430,68,5781,347,717,790,961,2565,2860,925,1219,143,10530,183,405,469,617,2496,2688,1206,1332,181,9575,272,1124,1124,1432,1653,973,517,533,164,7784,361,778,1015,1186,3661,2373,849,758,120,11103,230,1536,1035,898,1294,866,332,416,107,6717,194,367,435,617,2380,1664,990,1365,166,8178,216,1268,903,969,1850,1301,496,547,232,7780,52,89,59,70,297,229,78,114,401,1378,1989,6445,6028,7030,17420,14426,6208,7717,1586,68841
LGA11520,195,218,330,436,1075,2125,1106,2673,57,8212,505,960,1169,1114,2523,4120,1636,2632,126,14788,83,204,373,259,709,1077,444,674,68,3894,115,730,618,472,474,451,178,234,59,3328,202,636,915,682,1602,1425,518,549,57,6596,113,814,617,395,590,725,288,475,51,4058,31,72,114,106,219,203,99,170,23,1041,52,380,387,206,269,301,111,175,50,1937,19,55,69,53,120,148,58,96,219,837,1312,4084,4589,3729,7582,10574,4435,7673,726,44699
LGA11570,321,440,633,802,2719,3719,1731,3317,229,13901,768,1931,2210,2198,6121,7068,2343,3136,369,26143,398,1311,1617,1748,4362,5083,1928,2346,559,19353,441,2437,2592,2427,2557,1848,779,1051,382,14510,620,1961,2371,2273,6087,4566,1383,1306,300,20862,408,3317,2460,1792,2343,1748,610,858,284,13821,263,832,1064,1164,2860,2401,1060,1657,344,11649,327,2393,2431,1792,3330,2272,815,889,393,14647,109,241,238,182,510,488,140,165,1230,3307,3664,14848,15613,14376,30891,29193,10792,14721,4088,138192
LGA11600,22,21,21,22,28,54,39,240,7,456,3,8,13,9,13,12,11,27,0,97,3,11,6,14,20,21,11,26,4,121,11,16,20,20,14,5,0,16,0,102,3,17,23,30,25,16,8,0,4,121,3,8,7,12,4,0,4,3,3,50,7,6,10,13,24,26,11,43,5,150,16,33,16,33,38,45,19,56,12,263,0,0,0,0,0,0,0,3,10,22,59,129,111,149,166,195,111,415,57,1384
LGA11650,453,551,711,1021,2424,3672,2026,4641,147,15643,1140,2098,3018,3011,4690,5676,2289,3751,232,25902,534,1085,1304,1824,4560,6095,2422,3452,333,21602,788,2961,2837,3375,3139,1864,1085,1003,269,17315,724,2229,2743,2795,4852,3238,1178,1129,199,19083,558,4048,2316,2091,2172,1616,726,1111,204,14852,258,571,597,724,1979,1506,898,1650,167,8354,502,3179,1851,1820,2460,2262,944,1168,276,14463,116,172,134,146,368,389,127,247,684,2383,5073,16887,15515,16819,26643,26302,11689,18147,2512,139593
LGA11700,3,4,3,7,17,21,5,120,5,182,3,0,3,7,13,17,3,14,0,58,0,4,0,7,4,10,0,3,0,27,3,5,13,20,18,18,8,10,0,91,0,0,4,4,11,8,0,6,3,34,0,0,3,0,0,3,0,4,3,15,0,0,0,0,8,4,4,8,0,32,0,11,5,3,21,27,10,23,0,101,0,0,0,0,3,3,0,3,9,17,11,21,37,42,93,108,30,193,23,564
LGA11720,60,73,102,164,310,374,246,624,16,1962,112,182,305,316,431,469,215,373,28,2437,143,186,196,247,891,912,552,709,52,3892,121,456,461,509,431,267,129,121,40,2531,124,247,359,354,595,390,167,135,26,2402,100,592,435,329,322,178,93,117,36,2200,113,132,150,164,572,532,469,647,53,2838,88,677,465,400,495,462,182,180,63,3009,22,25,20,29,48,45,14,48,112,358,885,2565,2496,2507,4082,3635,2072,2949,433,21626
LGA11730,59,117,133,168,251,361,237,688,37,2062,137,209,337,403,542,463,220,377,22,2705,85,183,182,261,615,525,196,395,45,2497,122,396,421,547,399,182,138,184,36,2421,80,287,305,381,589,257,121,107,19,2144,88,506,313,301,287,148,99,126,32,1886,54,90,97,118,232,195,127,361,30,1302,98,555,283,350,311,263,156,184,56,2255,23,35,11,27,36,23,3,30,110,299,742,2368,2080,2544,3250,2421,1299,2463,391,17565
LGA11750,8,11,3,8,29,48,25,172,5,315,10,7,6,13,31,43,35,78,4,242,19,19,17,14,30,66,71,128,5,372,11,21,28,41,31,15,17,21,8,179,13,19,23,32,41,25,16,24,0,186,5,13,14,21,20,11,3,14,3,111,18,7,9,11,32,26,70,171,12,358,12,28,37,26,36,32,9,29,3,214,0,0,0,0,6,3,4,10,13,38,98,134,144,176,256,276,236,640,53,2014
