LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA17100,45,66,117,122,424,669,229,572,27,2272,127,366,436,420,1318,2161,567,785,61,6250,47,130,238,185,434,508,190,255,37,2031,54,309,344,258,269,243,80,104,28,1686,83,278,331,264,804,564,184,168,50,2729,56,370,386,210,319,230,90,138,28,1815,18,59,96,89,189,153,74,116,21,808,34,247,395,173,279,216,71,79,43,1541,17,36,39,26,80,78,17,27,172,498,476,1863,2382,1738,4119,4814,1501,2249,476,19618
LGA17150,414,442,704,945,2104,3894,2464,5873,141,16977,1046,2136,2932,2698,4239,6341,2892,4585,213,27083,381,657,760,985,2779,4406,2075,2941,200,15188,506,2459,1879,1858,1826,1468,889,819,132,11832,553,2039,2854,2603,4017,3695,1422,1477,158,18813,319,2685,1616,1257,1366,1578,668,1072,131,10692,137,320,283,349,863,929,481,901,85,4339,187,1535,795,679,880,940,384,553,115,6066,71,117,122,98,255,321,106,210,471,1781,3607,12395,11934,11472,18335,23578,11381,18426,1642,112765
LGA17200,499,433,703,770,2894,4988,3097,6413,127,19929,1176,2414,2428,2407,7068,12190,5823,10329,386,44228,195,512,1561,616,1439,2045,1031,1725,163,9300,343,1974,3441,1444,1482,1359,747,918,264,11980,408,946,1212,919,3447,3222,1274,1468,126,13028,257,1295,1652,886,1477,1476,720,998,136,8894,41,167,342,184,298,274,156,245,36,1742,143,892,2514,513,638,556,258,351,133,5997,69,139,194,118,241,363,135,296,600,2154,3134,8781,14054,7867,18982,26482,13244,22744,1972,117252
LGA17310,91,117,154,211,480,575,421,1311,37,3399,204,269,431,508,879,1007,482,734,49,4559,121,179,175,210,955,886,479,668,66,3740,119,430,403,556,578,270,154,195,43,2747,111,312,361,438,899,540,212,222,27,3113,106,610,353,378,430,251,175,218,29,2557,52,96,111,142,312,318,245,458,49,1786,111,641,349,513,645,842,250,258,74,3678,16,28,13,22,62,52,21,49,152,418,926,2677,2354,2985,5246,4729,2440,4105,542,25997
LGA17350,12,23,32,35,44,98,53,239,18,558,22,26,37,43,52,68,30,72,7,354,7,20,17,28,73,82,55,49,6,350,9,56,45,49,32,24,12,19,7,255,14,45,38,49,61,43,13,13,4,271,5,60,16,50,35,22,23,15,3,231,7,9,16,16,30,29,14,41,7,171,17,58,40,41,36,43,27,34,8,299,3,3,0,0,3,3,0,0,14,30,97,298,235,305,378,405,230,481,78,2514
LGA17400,8,28,36,43,30,81,36,283,15,566,8,21,26,32,43,54,25,45,0,262,17,31,29,14,54,47,22,49,8,270,16,42,33,45,34,17,13,30,6,233,14,35,37,41,55,26,16,10,3,232,12,50,28,29,28,13,3,13,5,179,3,12,10,18,34,25,10,56,5,182,14,79,38,48,41,53,24,58,10,370,7,3,6,3,3,5,0,3,25,59,95,310,252,273,323,323,150,552,74,2361
LGA17420,265,405,503,693,1730,3641,1804,4908,131,14079,646,1729,2053,2022,4073,6340,2388,3809,173,23235,147,514,496,615,1557,2310,976,1644,93,8348,197,1600,1086,928,975,725,302,348,56,6226,339,1613,1877,1632,2856,2769,813,1000,112,13014,225,2026,1186,783,973,1167,461,798,86,7702,56,229,199,202,444,500,251,504,54,2427,130,1050,547,407,544,480,199,350,61,3772,46,110,69,97,193,276,60,170,362,1378,2049,9263,8019,7383,13349,18207,7247,13527,1128,80179
LGA17550,89,185,221,324,517,794,447,1326,55,3954,278,645,740,964,1075,1089,479,851,49,6168,156,371,355,582,1130,1340,591,979,100,5595,227,955,838,1184,714,427,204,276,90,4917,143,598,635,810,1075,553,225,278,37,4356,140,1039,559,657,592,364,186,306,79,3927,70,160,175,243,346,303,195,499,38,2029,130,1011,627,676,662,457,192,313,101,4179,33,60,34,56,65,66,22,58,219,603,1263,5020,4181,5488,6170,5399,2540,4882,781,35731
LGA17620,28,39,48,79,99,162,96,467,15,1030,34,53,95,85,101,144,100,144,11,768,28,47,52,87,218,248,144,215,16,1060,18,102,94,89,72,37,26,28,14,482,24,77,75,85,155,85,39,40,7,589,22,130,74,66,45,43,28,33,8,447,28,45,58,70,127,98,133,250,13,823,29,168,93,134,215,155,79,100,19,1005,3,6,7,3,14,13,0,14,24,90,216,671,585,706,1046,981,646,1295,139,6298
LGA17640,19,53,55,74,65,147,80,430,22,943,28,37,64,48,66,84,41,75,6,452,10,28,39,55,102,130,42,73,6,482,23,57,65,83,66,27,24,27,5,378,13,44,61,61,95,49,22,32,5,381,11,36,35,33,36,17,12,19,3,195,13,9,11,16,47,35,26,72,4,229,9,88,41,39,63,67,31,62,7,401,3,3,0,9,5,14,3,12,21,63,137,357,369,408,538,571,271,787,83,3528
LGA17650,12,22,15,38,66,83,39,216,15,499,21,37,48,70,72,62,28,75,3,423,9,25,21,30,95,80,39,55,8,373,11,64,40,57,50,17,5,21,4,267,15,34,51,51,98,30,20,15,4,328,11,49,41,37,34,14,9,15,4,204,6,9,12,13,20,24,16,21,0,127,10,79,37,41,75,65,26,26,7,368,0,0,0,9,5,5,0,12,9,43,91,323,275,342,518,388,189,456,50,2633
LGA17750,94,129,139,191,525,736,476,1298,42,3634,269,329,502,592,1301,1222,644,960,47,5877,100,209,216,284,1222,1246,601,735,64,4667,178,614,517,651,720,396,234,468,74,3868,148,306,433,549,1090,594,273,235,28,3657,107,885,390,428,465,290,203,238,53,3061,41,77,104,125,352,318,190,385,32,1627,92,609,374,392,603,548,175,208,74,3072,20,30,22,25,59,49,24,49,104,374,1043,3197,2684,3230,6337,5408,2841,4580,517,29834
LGA17850,15,25,15,37,28,78,39,239,9,489,9,11,18,29,22,26,15,28,8,156,4,6,10,22,28,35,12,25,0,147,7,20,10,19,16,4,9,9,0,95,0,24,13,28,30,10,12,17,0,128,9,18,13,15,11,7,9,10,3,89,4,0,3,6,16,8,10,28,3,81,5,34,34,24,18,38,20,34,4,211,0,0,0,0,0,3,0,0,7,13,47,152,118,181,161,217,120,387,28,1414
LGA17900,16,20,7,18,29,62,38,294,9,490,15,23,17,31,62,53,12,62,3,283,10,14,16,16,35,35,19,27,6,178,17,41,40,58,61,36,7,26,3,289,3,26,22,30,55,29,15,11,0,192,0,12,18,24,15,7,13,11,3,108,4,20,11,21,20,35,12,58,4,178,4,43,37,34,35,40,21,55,13,283,0,3,0,3,9,0,0,9,24,49,76,209,178,225,316,292,136,555,73,2060
LGA17950,7,14,13,18,18,67,24,199,5,366,7,10,9,9,19,31,10,38,0,140,4,7,10,7,29,44,15,18,3,130,6,11,14,12,17,13,5,10,3,96,8,11,12,18,21,14,12,15,3,110,0,13,3,9,9,5,3,4,0,64,3,5,4,3,18,17,8,29,0,88,3,21,10,10,16,30,8,28,7,142,0,0,0,0,3,6,0,3,10,21,44,93,83,99,154,220,89,333,29,1149
LGA18020,29,40,40,65,45,129,87,460,14,890,21,40,53,70,76,81,45,76,8,469,15,27,27,31,68,68,40,70,4,341,15,69,60,88,70,30,13,22,5,373,3,41,43,50,69,31,19,25,3,280,4,40,29,48,29,28,8,32,0,216,8,10,22,14,36,43,43,41,5,218,22,98,53,52,68,79,40,52,13,476,6,3,0,4,8,8,5,3,29,65,124,356,317,430,468,484,292,783,83,3335
LGA18050,169,167,275,392,761,1729,1037,2573,72,7178,399,878,1069,1138,1755,3556,1734,3535,118,14175,60,153,252,202,359,736,328,527,42,2648,100,695,708,498,364,366,184,233,52,3182,118,454,454,406,736,823,336,443,30,3803,72,452,343,291,393,583,288,432,39,2891,14,49,100,65,63,98,52,70,6,513,24,222,367,178,148,202,87,123,30,1375,21,51,53,37,51,116,34,122,181,659,974,3121,3610,3190,4631,8205,4077,8049,570,36426
LGA18100,12,21,22,30,18,77,35,247,6,481,7,16,32,18,23,44,14,23,3,176,8,14,16,12,32,35,18,27,10,164,4,27,14,25,16,9,4,5,3,110,3,22,29,19,22,17,12,11,0,129,0,21,9,18,7,6,7,5,0,89,3,9,7,5,24,12,13,19,0,98,0,41,21,19,21,29,23,15,5,176,6,0,0,0,3,3,0,0,9,14,47,169,148,149,175,231,132,353,38,1437
LGA18200,19,29,30,51,72,96,67,257,16,626,17,20,57,52,55,69,34,63,6,367,11,19,18,29,73,78,38,75,10,356,15,48,38,43,54,36,15,18,7,270,11,48,35,38,81,44,17,13,3,289,10,79,28,27,35,25,9,11,8,232,4,15,13,16,29,35,30,53,9,213,19,62,36,59,58,54,25,59,16,379,3,3,5,3,5,0,0,10,24,56,109,318,256,320,470,432,232,558,97,2786
LGA18230,73,99,102,163,391,545,362,1102,30,2868,186,217,365,379,797,864,383,651,40,3882,87,129,127,183,777,757,441,617,54,3170,119,417,315,481,680,396,165,189,50,2811,92,230,289,416,934,506,190,191,29,2873,78,554,258,326,490,255,173,222,31,2380,44,68,82,72,254,278,164,343,25,1330,61,463,285,312,471,433,134,252,56,2460,22,18,21,17,46,54,25,42,123,366,758,2197,1845,2348,4842,4093,2019,3613,442,22142
LGA18250,150,221,308,409,807,1759,908,2316,40,6927,444,1023,1127,1063,2190,3953,1637,2917,115,14478,43,176,243,200,404,584,235,376,35,2286,77,714,561,370,307,306,124,168,32,2659,115,531,579,455,970,986,376,413,41,4481,79,620,438,330,401,499,217,312,44,2936,14,59,63,60,101,108,44,72,10,523,31,315,291,166,180,171,63,81,30,1321,21,67,50,48,86,116,33,111,179,701,971,3726,3647,3094,5442,8490,3636,6763,533,36309
LGA18350,75,174,161,236,337,568,345,1075,29,2993,165,467,517,524,589,731,396,747,43,4169,54,210,239,289,637,815,409,584,50,3294,87,455,362,403,373,243,155,129,28,2233,76,353,323,377,460,362,155,202,23,2323,54,525,299,282,276,236,94,205,32,2002,41,72,72,104,249,207,118,308,12,1189,70,521,301,283,317,275,142,171,27,2112,17,31,30,25,31,38,11,32,108,333,639,2803,2304,2528,3265,3478,1821,3460,345,20644
LGA18400,62,102,104,185,370,618,400,1154,58,3043,162,281,369,399,610,809,339,598,31,3592,109,190,175,246,819,1190,594,982,93,4392,122,387,389,435,479,278,172,142,40,2450,123,393,488,495,801,705,247,249,47,3538,79,488,328,263,315,268,100,195,30,2057,71,102,99,136,393,400,296,711,51,2263,73,452,276,247,358,379,178,260,50,2266,29,33,35,18,65,74,21,61,108,451,826,2433,2267,2421,4210,4720,2334,4349,503,24054
LGA18450,247,307,421,578,1507,2045,1278,2766,95,9244,855,1834,2178,2275,3876,4419,1989,2904,156,20486,385,609,753,931,3040,3550,1638,1943,205,13055,489,2362,1884,1866,1709,1137,700,629,145,10922,450,1378,1750,1717,3283,1926,743,662,89,12000,291,2398,1374,1013,1131,758,364,502,103,7934,204,382,333,370,1357,950,753,1033,91,5465,322,1830,1137,1075,1208,1061,378,608,149,7774,51,100,97,98,217,197,64,109,440,1374,3284,11204,9937,9922,17323,16044,7906,11166,1467,88251
LGA18500,137,256,309,345,534,1416,818,2516,66,6398,324,959,903,946,1103,2551,1301,3711,93,11893,28,78,99,127,160,255,139,259,22,1174,49,421,352,259,237,203,98,167,36,1829,105,443,420,344,506,620,295,405,32,3176,64,328,256,252,223,438,215,408,26,2218,7,37,38,21,32,42,22,35,9,241,8,116,104,62,62,89,33,58,11,544,21,66,30,41,35,96,27,120,104,549,743,2703,2522,2398,2893,5715,2955,7676,403,28005
LGA18710,67,68,73,114,211,337,178,529,20,1594,103,112,135,205,318,330,204,260,20,1676,27,67,50,80,208,279,120,189,21,1049,55,140,122,141,147,103,58,70,22,863,57,128,138,138,338,215,85,98,17,1207,20,132,68,86,81,53,28,44,10,526,18,19,23,20,64,58,36,107,5,353,21,160,78,82,87,86,44,64,20,643,9,13,5,13,31,28,11,20,41,168,370,838,687,884,1483,1491,764,1381,183,8076
LGA19399,12,15,4,11,16,26,16,152,3,256,3,3,6,3,14,6,4,4,0,41,3,0,6,3,8,15,4,10,0,44,3,8,3,4,4,4,5,3,4,42,6,7,3,3,4,10,0,6,0,35,0,7,0,3,0,0,0,3,0,18,0,0,0,0,0,3,0,5,0,11,3,11,16,19,6,25,10,36,0,119,3,0,0,0,0,3,0,0,7,20,36,51,42,43,51,85,43,224,23,599
LGA19499,15,12,23,11,38,75,22,80,3,274,44,57,61,52,113,159,52,95,6,649,18,38,36,44,92,115,42,68,24,480,9,60,70,78,54,50,38,60,10,430,12,28,25,29,76,43,20,29,4,261,17,24,32,30,39,39,15,14,12,224,8,20,25,32,73,51,37,80,12,339,23,60,98,91,90,96,46,45,36,582,5,3,6,5,9,10,9,3,47,103,148,298,377,371,584,638,279,475,158,3331
LGA19799,0,0,0,0,0,0,0,0,0,3,3,0,3,0,6,0,0,4,0,22,10,0,0,0,6,3,0,3,0,18,9,3,4,0,3,0,0,0,0,16,6,0,0,3,3,3,0,0,0,21,5,3,0,3,3,4,0,0,0,17,7,0,0,0,4,4,0,0,0,10,6,3,0,0,0,0,0,0,3,18,0,0,0,0,0,0,3,0,3,5,43,4,9,10,22,12,4,7,4,130
