LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA17000,241,235,471,713,736,1451,269,279,551,60,45,107,1048,1063,2103,485,474,965,223,245,464,108,97,208,815,819,1637,13,29,45,14,22,35,112,60,175,68,155,217,3,3,3,209,267,475,86,105,187,16,40,58,22,33,59,64,126,187,0,0,0,185,301,491,46,13,62,19,67,89,0,0,0,63,84,150,926,909,1830,3491,3672,7163
LGA17040,174,127,303,637,594,1231,136,122,258,85,47,132,856,774,1627,401,402,806,89,88,178,109,84,199,601,577,1180,5,15,24,3,21,25,67,57,123,88,129,215,3,0,5,169,215,385,54,69,123,9,34,47,11,25,39,61,153,221,0,3,3,142,288,430,24,26,49,15,57,69,0,0,0,45,84,123,1202,961,2167,3187,3031,6216
LGA17080,118,126,242,437,428,866,153,141,301,5,0,6,592,573,1170,339,326,662,65,70,139,3,6,14,410,402,816,18,12,32,4,19,26,51,53,100,41,79,116,0,3,3,106,168,272,10,41,53,14,18,26,3,16,14,26,58,88,0,0,0,54,136,192,7,11,18,6,20,33,0,0,0,18,31,51,878,728,1610,2182,2167,4344
LGA17100,288,263,544,777,739,1512,275,287,558,209,205,413,1260,1232,2485,657,689,1345,287,237,528,268,290,565,1217,1220,2438,93,78,175,107,158,262,61,34,98,132,173,303,0,5,5,396,449,845,1109,1033,2143,444,397,843,127,90,223,201,207,399,10,10,20,1889,1743,3635,149,156,305,116,184,295,3,3,3,268,337,609,1566,1337,2905,6876,6586,13459
LGA17150,2378,2081,4460,7024,6481,13499,2240,2185,4425,538,497,1034,9802,9163,18963,4526,4340,8871,2077,2096,4172,786,891,1675,7392,7326,14719,219,302,519,123,203,329,1100,396,1495,577,850,1428,16,16,32,2037,1765,3800,2255,2857,5110,471,584,1050,368,480,852,913,1559,2471,21,27,48,4018,5514,9534,121,155,275,315,623,938,3,15,19,437,791,1237,4592,4852,9439,30658,31497,62146
LGA17200,705,662,1366,1558,1548,3111,316,367,684,387,335,726,2261,2255,4514,789,804,1591,325,539,867,585,575,1163,1700,1914,3616,596,653,1247,876,1180,2060,285,266,556,890,1051,1942,22,21,39,2673,3173,5845,7285,9829,17114,3339,3346,6687,390,514,908,2125,2290,4418,38,44,81,13172,16029,29206,1549,2111,3664,1261,1619,2875,17,41,58,2829,3773,6604,14751,12081,26829,38089,39885,77977
LGA17310,614,587,1198,1827,1665,3494,611,609,1216,300,287,589,2740,2558,5301,1284,1101,2384,351,446,794,332,469,802,1965,2011,3978,51,80,134,51,82,130,198,170,372,188,335,521,6,6,10,495,676,1173,89,189,272,41,108,145,37,91,126,166,339,501,4,3,11,338,725,1061,19,30,49,73,136,209,7,0,8,95,172,267,2598,2616,5217,8848,9349,18196
LGA17350,75,65,133,218,181,398,71,70,139,0,0,0,286,245,536,161,154,321,32,42,73,3,6,6,194,204,398,0,9,6,0,0,0,24,17,49,20,34,54,0,0,0,45,59,108,15,17,30,4,5,9,0,3,6,10,21,30,0,0,0,29,48,83,8,0,6,4,14,13,0,0,0,11,15,20,227,211,438,869,843,1713
LGA17400,53,36,89,171,191,359,47,56,108,3,6,9,219,256,478,159,159,322,13,4,16,8,3,15,185,172,356,6,0,8,0,8,11,13,15,23,9,39,49,0,0,0,24,59,86,5,14,18,8,16,17,4,0,5,13,25,36,0,0,0,27,55,78,3,7,16,9,9,16,0,0,0,12,14,25,408,448,853,925,1044,1964
LGA17420,1732,1627,3359,5524,5210,10734,1712,1620,3337,1121,1063,2185,8359,7898,16258,3106,2992,6099,1834,1802,3631,1666,1500,3171,6603,6297,12900,210,212,424,133,294,423,586,222,808,326,578,904,8,17,19,1258,1322,2581,2614,2801,5409,483,609,1090,468,394,862,755,949,1706,17,32,53,4328,4786,9118,199,274,469,252,425,676,6,3,15,456,704,1155,2557,2770,5336,25303,25411,50716
