LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,437,427,864,1235,1147,2383,539,542,1076,338,352,688,2109,2043,4150,946,937,1892,362,353,714,282,356,636,1593,1652,3242,76,85,164,60,120,179,206,134,334,192,330,522,0,0,0,541,667,1209,225,524,750,106,197,307,50,75,127,181,348,526,0,3,3,572,1143,1712,38,60,96,93,159,252,3,4,8,133,223,357,1902,2004,3902,7283,8145,15435
LGA10130,263,223,493,826,823,1648,190,195,389,156,163,321,1175,1181,2353,579,518,1097,170,181,357,340,379,718,1088,1082,2175,47,38,91,34,42,80,82,61,144,105,140,245,4,0,7,275,290,563,776,1014,1790,309,361,670,80,103,185,158,310,464,8,6,17,1336,1795,3134,11,16,26,34,53,89,0,0,0,50,67,121,1176,1267,2442,5364,5914,11275
LGA10250,349,346,697,972,782,1752,489,435,923,232,237,462,1685,1452,3138,736,703,1443,469,487,961,128,154,284,1337,1348,2688,43,45,88,26,80,112,113,73,187,120,252,374,10,4,13,309,459,772,105,169,266,76,141,213,34,44,74,141,296,433,3,3,5,348,651,1004,18,21,45,42,100,141,0,0,3,61,119,186,1574,1737,3309,5676,6118,11793
LGA10300,23,18,37,68,76,148,37,34,73,3,0,3,108,107,221,52,45,98,23,10,29,3,0,3,73,62,134,0,0,0,0,0,0,5,0,5,0,9,14,0,0,0,8,14,18,0,7,6,0,0,0,3,0,3,3,7,9,0,0,0,10,18,27,0,0,3,3,3,8,0,0,0,5,5,9,147,128,273,369,348,712
LGA10470,402,368,771,1174,1046,2219,609,622,1236,111,112,223,1896,1776,3676,840,699,1542,398,493,893,281,213,496,1519,1406,2924,44,76,116,33,76,106,151,110,255,144,268,409,4,9,12,375,525,905,441,679,1127,125,131,253,63,94,151,189,349,538,0,0,4,820,1254,2070,29,32,59,50,100,153,0,3,3,75,132,211,2398,1655,4052,7487,7121,14604
LGA10550,249,227,481,922,815,1739,169,150,325,148,170,324,1245,1141,2385,613,629,1240,239,235,474,76,91,168,932,959,1888,21,32,52,12,24,35,103,66,163,67,141,210,0,5,4,201,267,467,36,61,103,21,75,90,11,25,33,66,184,249,0,0,0,128,345,476,15,12,28,24,77,97,0,3,3,42,85,129,1448,1538,2982,4237,4559,8796
LGA10600,111,110,226,311,337,646,76,91,171,108,77,188,497,505,1002,311,313,619,29,35,64,71,69,140,408,416,827,12,16,31,6,29,37,32,10,44,33,73,106,0,0,0,90,125,218,20,36,57,21,40,57,7,11,22,30,107,136,0,0,0,80,197,275,0,6,6,14,30,45,0,0,5,12,40,55,482,535,1017,1687,1926,3617
LGA10650,75,80,153,221,208,427,64,81,143,25,20,50,313,310,619,148,153,304,39,24,66,23,37,58,210,221,427,3,4,5,0,7,14,18,11,36,32,32,64,0,0,0,50,63,113,10,20,34,9,7,14,3,3,11,6,47,53,0,0,0,25,80,108,0,0,8,6,12,20,0,0,3,11,16,28,453,472,925,1134,1236,2373
LGA10750,3350,3047,6398,11817,10846,22668,3520,3499,7021,1820,1638,3455,17163,15987,33145,7212,7031,14243,3759,3533,7295,1420,1452,2871,12390,12022,24414,654,619,1276,494,898,1388,1012,563,1578,899,1601,2504,36,43,87,3101,3729,6826,4036,4461,8502,1204,1498,2704,649,728,1379,1201,1698,2894,44,46,94,7136,8433,15566,645,706,1347,617,1077,1698,22,28,45,1282,1808,3090,10627,9927,20552,55043,54952,109991
LGA10800,52,49,102,211,241,455,66,46,111,3,3,3,277,293,573,146,151,296,12,17,33,4,11,17,168,174,346,7,8,11,3,6,11,16,19,34,13,22,33,0,0,0,35,53,86,6,13,28,0,6,6,3,3,6,11,19,27,0,0,0,24,50,71,0,5,5,4,11,16,3,0,3,4,16,19,365,376,742,925,1012,1940
LGA10850,78,70,146,273,252,526,63,60,122,12,24,34,349,335,683,173,188,361,41,47,97,37,46,78,251,283,537,4,8,6,3,8,13,26,19,51,23,47,75,0,0,0,58,88,141,20,38,60,5,11,14,0,13,12,22,46,70,0,0,0,46,107,153,0,3,3,4,16,19,0,3,3,3,22,20,301,277,573,1086,1172,2262
LGA10900,732,711,1447,2316,2259,4577,526,496,1018,508,444,950,3345,3198,6547,1554,1535,3086,564,474,1034,571,522,1092,2689,2528,5220,101,114,219,77,118,192,301,160,462,267,433,698,4,4,14,753,833,1590,653,754,1407,193,290,483,88,137,223,440,875,1316,4,3,13,1375,2062,3438,60,91,147,107,246,349,0,3,6,172,335,507,1848,1968,3820,10924,11634,22558
LGA10950,17,36,54,63,49,112,63,57,119,0,0,0,122,109,226,63,66,133,0,3,3,3,7,5,66,75,145,0,0,3,0,3,0,11,14,24,3,12,16,0,0,0,20,35,50,4,10,9,0,4,4,3,3,5,3,13,21,0,0,0,8,31,44,0,0,0,0,0,4,0,0,0,0,4,4,167,165,327,397,448,852
LGA11100,380,353,736,994,879,1868,630,616,1252,126,107,229,1753,1599,3356,532,513,1047,579,547,1124,143,126,274,1251,1192,2446,102,108,216,107,161,268,123,68,192,124,210,338,0,9,12,462,560,1018,976,1016,1993,432,340,768,78,100,181,243,286,537,3,16,21,1738,1758,3496,124,178,307,125,193,322,3,5,4,252,379,637,1701,1721,3419,7546,7559,15104
LGA11150,30,33,55,93,82,178,29,27,58,4,0,7,129,106,241,29,50,79,5,6,10,5,4,10,37,60,104,0,0,0,3,3,9,3,7,7,3,13,18,0,0,0,12,22,33,0,5,5,0,7,4,0,0,7,8,8,20,0,0,0,13,26,37,0,0,0,0,3,6,0,0,0,0,3,6,267,266,536,488,522,1012
LGA11200,20,10,34,58,67,125,30,15,47,0,0,0,85,89,172,21,46,70,10,7,11,0,0,3,32,56,82,0,3,5,0,3,3,0,0,0,5,9,7,0,0,0,10,14,19,0,3,6,3,3,3,0,0,0,4,9,11,0,0,0,4,16,23,0,0,0,0,3,7,0,0,0,0,3,6,123,78,196,275,262,538
LGA11250,161,148,308,568,562,1129,47,50,97,4,9,13,621,616,1230,473,467,936,0,3,3,10,13,27,485,485,975,26,25,55,15,46,59,72,38,109,64,128,192,0,3,3,174,248,418,6,38,39,5,29,34,7,13,22,48,106,156,0,4,4,71,187,254,10,15,25,23,43,71,3,3,5,37,61,92,822,810,1634,2369,2544,4914
LGA11300,205,191,396,593,620,1212,301,276,579,104,117,223,999,1017,2015,460,602,1061,304,262,562,174,209,381,943,1071,2012,122,122,241,115,169,275,70,43,114,105,164,270,0,0,3,405,496,900,1418,1565,2980,577,550,1126,91,75,161,180,238,422,11,10,15,2279,2432,4706,184,192,375,135,178,312,3,5,13,324,380,698,1019,1076,2098,6165,6664,12822
LGA11350,251,222,473,824,734,1559,148,167,320,213,240,454,1183,1145,2328,514,522,1041,173,181,351,165,192,354,851,897,1748,25,28,52,39,95,134,75,32,111,84,151,230,0,3,3,223,315,532,74,104,180,98,139,234,18,18,42,109,249,360,0,0,3,304,517,826,18,39,54,66,132,192,0,3,5,80,168,250,2052,2085,4136,4941,5348,10292
LGA11400,143,130,274,455,444,898,132,137,268,76,75,157,666,656,1324,275,277,551,115,115,234,94,122,216,489,509,996,11,17,22,9,16,19,43,28,74,39,77,125,5,0,5,108,135,241,27,48,76,9,19,31,3,19,22,28,87,114,0,3,3,68,177,245,0,3,5,4,28,29,0,0,0,10,32,43,563,564,1127,2045,2208,4253
LGA11450,939,897,1837,2745,2603,5350,922,928,1854,533,486,1019,4193,4026,8217,1479,1557,3041,1048,929,1979,403,418,819,2940,2908,5842,92,119,208,38,98,129,450,185,636,174,299,479,3,4,10,754,701,1459,576,827,1404,124,257,379,97,146,245,248,503,756,3,6,9,1046,1736,2782,33,73,109,82,227,317,0,3,3,123,307,425,1902,2048,3947,11893,12626,24523
LGA11500,1433,1313,2746,5647,5233,10879,1038,1030,2068,787,726,1516,7474,6989,14467,3625,3621,7247,1261,1243,2503,549,512,1052,5432,5368,10802,262,263,525,191,346,544,574,291,865,415,724,1136,14,18,35,1462,1641,3102,1554,1864,3418,524,653,1177,229,283,510,462,740,1205,15,28,44,2786,3560,6351,196,303,505,225,537,769,6,11,24,430,861,1288,4953,5616,10570,23984,25344,49326
LGA11520,735,644,1375,1772,1706,3478,966,935,1897,322,339,661,3063,2978,6035,784,703,1486,901,883,1779,445,517,957,2130,2098,4226,135,131,266,154,204,358,141,64,210,205,340,539,3,0,6,643,744,1387,1638,1991,3626,703,695,1393,195,171,364,526,685,1211,8,25,32,3064,3565,6630,170,193,364,212,337,549,3,8,8,388,531,917,2522,2748,5277,12551,13308,25854
LGA11570,3019,2659,5679,9625,8694,18317,3530,3400,6931,2282,2350,4629,15433,14440,29878,6945,7056,13995,3177,2919,6097,1765,1622,3385,11880,11596,23475,707,665,1377,696,1235,1933,1044,392,1435,883,1444,2323,51,35,86,3379,3776,7156,5570,5872,11435,2237,1818,4061,671,686,1356,1133,1491,2623,65,52,121,9678,9922,19601,807,1052,1857,695,1400,2097,38,44,81,1539,2496,4037,11911,11761,23678,56841,56648,113490
LGA11600,25,24,55,84,75,157,36,42,79,0,0,3,122,119,241,41,58,102,17,13,29,3,0,5,61,76,140,0,0,3,0,0,0,7,6,14,0,13,13,0,0,4,15,19,33,3,15,17,0,0,0,0,3,3,3,14,16,0,0,0,5,27,37,0,0,0,0,9,12,0,0,0,0,9,9,142,123,261,368,402,776
LGA11650,3389,3098,6486,10323,9537,19860,2173,2218,4389,1536,1415,2947,14033,13163,27203,7063,6878,13944,1870,1875,3737,1471,1508,2982,10403,10259,20659,353,463,816,213,464,679,1309,761,2067,905,1739,2643,33,30,65,2804,3455,6262,1870,2452,4319,653,1166,1823,433,526,961,999,2121,3119,16,30,48,3971,6301,10275,209,322,530,437,958,1394,5,19,26,657,1296,1952,10230,11303,21528,45483,48877,94365
LGA11700,18,9,30,44,62,104,0,3,6,0,3,3,44,71,110,34,29,61,0,0,0,6,6,15,40,36,74,0,6,7,0,0,3,0,3,3,3,3,3,0,0,0,3,10,16,3,4,5,0,0,0,0,0,0,4,4,10,0,0,0,3,7,17,8,9,14,0,4,4,0,0,0,8,9,14,186,151,334,303,292,597
LGA11720,544,528,1073,1895,1799,3691,369,371,742,278,234,515,2542,2404,4950,1179,1215,2390,240,214,452,262,247,517,1681,1679,3357,72,83,158,28,54,79,170,153,323,148,276,428,0,3,5,422,579,1000,140,235,371,48,119,168,39,58,101,87,242,333,0,0,3,316,658,977,27,42,69,40,153,191,3,7,11,76,203,278,2930,2291,5222,8512,8332,16844
LGA11730,401,358,758,1558,1396,2954,247,262,513,167,178,343,1972,1833,3805,1086,1059,2140,246,209,457,159,144,302,1486,1411,2905,69,80,154,39,119,157,170,140,311,133,307,442,6,0,9,416,648,1069,43,96,140,34,87,124,22,39,59,105,231,332,0,3,3,211,447,656,32,37,73,37,93,129,3,3,7,74,131,209,2406,2137,4546,6974,6977,13949
LGA11750,36,46,84,128,122,251,77,80,155,0,6,6,202,212,416,127,113,244,0,3,3,3,0,10,137,117,251,8,4,10,0,0,3,17,15,27,12,44,55,3,0,3,36,59,91,0,7,10,0,3,3,3,3,4,9,32,42,0,0,0,15,44,58,4,5,7,6,11,16,0,3,3,12,14,24,318,273,592,748,767,1517
LGA11800,728,644,1375,2028,1979,4011,588,592,1177,428,412,843,3046,2984,6034,1401,1381,2782,473,432,906,439,442,882,2311,2256,4566,89,169,264,77,205,282,230,180,408,246,484,734,6,6,12,652,1043,1700,195,335,529,103,238,338,49,100,151,208,441,647,3,5,4,561,1110,1672,62,74,137,100,214,320,3,10,12,172,297,473,2826,3053,5879,10290,11396,21687
LGA12000,36,35,71,140,124,265,75,54,131,4,3,11,218,180,401,84,95,176,35,35,68,38,28,62,158,155,309,3,5,5,0,4,5,9,10,20,12,18,32,0,0,0,26,28,58,9,23,31,6,3,10,0,12,14,3,38,47,0,0,0,18,70,93,0,0,0,0,5,6,0,0,0,0,3,7,253,244,502,713,728,1440
LGA12150,43,34,72,97,78,172,57,69,123,0,0,4,150,151,301,81,85,168,4,3,5,4,6,12,94,97,191,0,3,3,0,6,6,9,4,17,9,22,31,0,0,0,18,40,54,5,14,16,0,3,3,0,0,0,0,21,24,0,0,0,12,35,45,0,0,0,4,3,3,0,0,0,4,3,3,337,332,667,646,688,1334
LGA12350,106,92,196,349,334,688,112,140,254,15,15,38,479,491,971,246,283,533,73,51,124,16,21,36,334,357,695,4,12,22,8,14,21,38,32,75,38,88,120,5,3,4,90,154,245,22,28,56,5,18,24,3,10,12,19,44,65,0,0,0,53,107,161,9,10,18,18,20,37,0,0,0,22,34,51,582,601,1185,1667,1829,3499
LGA12380,1865,1663,3531,6143,5582,11731,2126,2278,4400,1031,970,1996,9301,8831,18127,4022,3761,7783,1906,2035,3939,742,726,1463,6669,6519,13186,522,475,993,582,813,1399,557,253,812,702,925,1627,28,25,60,2399,2489,4892,3710,3629,7338,1853,1511,3360,463,409,869,728,856,1585,29,26,52,6781,6436,13213,738,778,1518,619,937,1555,24,23,47,1381,1737,3118,7360,7100,14466,35755,34781,70534
LGA12700,96,93,185,325,293,622,43,39,86,34,13,50,403,346,753,235,259,489,27,19,55,27,27,52,293,305,594,4,12,13,3,5,9,38,12,56,14,48,56,0,0,3,66,80,142,29,47,75,4,17,23,3,6,10,21,45,64,0,0,0,62,115,176,0,4,9,3,24,24,0,0,0,5,25,32,376,374,753,1303,1335,2636
LGA12730,71,63,139,300,269,569,48,55,108,16,14,31,363,342,702,200,232,438,12,16,34,15,20,38,231,272,507,8,7,20,6,7,15,27,21,52,18,48,62,0,0,0,59,85,144,14,21,37,3,11,14,6,8,12,20,29,44,0,0,0,43,67,109,0,3,4,4,21,27,0,0,0,5,30,37,479,485,962,1251,1348,2594
LGA12750,237,210,446,909,842,1745,270,252,519,78,86,164,1250,1179,2432,627,632,1260,248,234,484,116,96,212,986,963,1950,22,12,41,15,32,53,98,72,172,95,161,256,4,4,9,232,290,525,35,64,95,32,73,103,4,24,27,61,170,228,0,0,0,135,326,462,14,18,30,29,85,112,8,5,8,51,112,156,1724,1771,3494,4613,4853,9463
LGA12850,1337,1230,2567,5987,5525,11512,1739,1757,3493,474,466,948,8203,7747,15955,5691,5352,11043,1441,1544,2982,440,502,940,7574,7395,14973,607,514,1124,473,813,1290,594,261,861,498,806,1298,40,32,73,2211,2427,4643,3052,3698,6741,620,668,1292,410,428,833,402,550,954,27,28,53,4509,5370,9876,590,827,1416,431,930,1360,24,39,58,1043,1794,2839,6008,6158,12169,30883,32127,63014
LGA12870,112,92,203,329,347,674,108,135,242,14,12,25,460,486,945,238,244,484,71,67,140,30,21,50,338,339,678,12,21,31,3,19,19,49,28,72,29,64,92,0,3,6,93,125,215,16,42,57,9,29,32,6,10,13,16,38,55,0,3,4,39,117,159,0,8,10,3,23,23,0,0,0,4,24,32,608,610,1218,1656,1799,3456
LGA12900,100,113,214,279,269,539,132,137,270,13,8,18,420,405,831,148,135,280,171,190,359,17,13,33,340,337,673,4,3,11,0,14,12,50,22,67,20,57,77,0,0,0,73,93,169,13,38,57,3,10,15,3,13,16,7,33,44,0,0,0,30,102,127,0,4,5,3,19,24,0,0,0,6,18,27,483,460,947,1459,1530,2985
LGA12930,1172,1074,2246,3799,3491,7285,1145,1191,2339,454,503,952,5393,5185,10584,2790,2636,5420,1260,1158,2417,654,785,1441,4702,4581,9283,277,255,533,258,441,695,386,156,542,399,576,969,7,9,12,1322,1433,2754,3372,3374,6742,1322,1299,2612,310,296,602,612,750,1363,18,29,46,5628,5746,11373,345,400,748,378,605,979,6,10,12,733,1008,1741,3516,3639,7158,22464,22661,45133
LGA12950,56,46,106,104,76,184,77,91,168,0,0,0,177,173,347,101,100,199,0,7,9,5,10,18,106,117,222,3,0,6,0,7,6,13,3,17,5,20,23,0,0,0,21,29,53,5,19,19,0,5,5,0,0,0,7,16,16,0,0,3,6,41,46,5,0,3,3,4,7,0,0,0,9,6,12,211,204,414,594,615,1207
LGA13010,62,58,123,243,211,455,91,101,195,4,4,10,341,313,649,212,245,460,5,6,10,5,5,10,219,254,479,7,14,23,6,16,19,24,17,40,23,43,66,5,4,7,59,91,154,18,20,37,3,12,12,6,7,14,13,28,45,0,3,3,32,71,107,0,3,8,6,18,29,0,0,0,9,22,34,631,524,1154,1356,1347,2699
LGA13310,267,268,533,985,855,1838,238,238,483,41,31,75,1265,1122,2390,657,586,1241,208,199,414,37,28,63,903,818,1721,27,38,65,18,25,46,146,87,236,83,179,261,3,5,6,281,343,617,72,106,176,49,81,124,19,38,55,73,172,252,3,4,7,210,397,608,33,23,54,33,89,125,0,0,0,69,109,177,1699,1186,2884,4695,4241,8938
LGA13340,125,107,226,345,328,671,91,75,163,103,106,210,535,511,1047,245,213,460,48,67,108,110,123,231,406,400,805,11,5,14,0,8,13,46,23,67,27,56,85,0,0,3,88,98,182,25,48,72,3,20,27,4,8,10,15,40,56,0,0,0,47,115,165,7,4,14,17,18,33,0,0,0,23,28,48,381,427,813,1599,1683,3279
LGA13450,268,226,493,822,821,1641,293,278,564,5,10,20,1119,1107,2231,524,480,1005,301,293,588,23,16,43,849,788,1637,12,26,35,18,31,52,93,53,141,98,138,242,4,3,5,217,254,473,65,76,137,21,32,55,13,26,33,57,97,158,0,0,0,155,229,381,16,23,41,34,64,100,0,5,5,49,96,147,1364,1394,2760,4026,4093,8114
LGA13510,106,86,190,353,309,659,133,127,257,7,3,10,490,442,934,227,225,448,85,78,163,13,18,34,323,319,636,3,14,21,3,17,17,33,29,66,23,53,71,3,4,10,66,114,185,13,30,43,5,17,17,6,13,21,13,42,56,0,0,0,34,106,139,12,9,22,8,15,20,0,0,0,15,21,41,475,456,932,1520,1541,3061
LGA13550,148,153,294,350,325,674,161,165,326,27,30,56,541,518,1060,178,138,312,133,152,285,33,32,70,341,321,666,11,10,24,4,15,21,41,38,75,18,78,101,0,0,0,70,150,217,14,22,36,5,17,21,8,14,23,26,76,109,0,0,0,55,130,188,6,10,12,8,28,34,0,0,0,13,31,47,538,574,1115,1718,1883,3598
LGA13660,45,50,101,190,159,342,33,29,69,3,4,10,226,192,418,113,120,235,0,3,3,10,10,18,121,136,255,9,6,9,0,4,4,10,9,19,4,14,22,0,0,0,23,34,53,4,9,15,0,3,9,3,4,8,3,11,16,0,0,0,18,32,45,0,0,0,7,10,18,0,0,0,6,10,17,313,267,583,749,722,1478
LGA13800,715,610,1325,2036,1937,3976,549,503,1046,362,307,669,2951,2745,5692,1154,1165,2321,568,612,1177,464,486,947,2180,2268,4442,72,123,190,26,76,105,418,181,602,185,320,500,7,3,10,701,699,1404,403,660,1062,122,211,335,83,138,214,165,376,539,3,6,11,773,1385,2163,32,53,85,68,168,234,0,3,7,102,226,326,2038,2078,4116,9465,10009,19471
LGA13850,15,22,44,84,74,153,45,34,79,0,3,3,127,111,234,73,86,158,6,3,10,3,3,11,78,99,174,3,0,3,0,4,4,9,7,15,3,4,9,0,0,0,16,18,33,3,7,11,0,4,4,0,3,3,10,5,16,0,0,0,11,21,29,0,0,0,0,6,6,0,0,0,0,6,6,188,191,376,439,465,902
LGA13910,179,163,343,586,555,1135,234,249,487,13,14,25,833,811,1651,371,343,719,199,225,423,21,27,44,596,591,1189,14,15,27,5,17,21,67,53,119,35,122,153,4,7,6,125,211,338,40,66,108,8,27,34,4,15,23,17,88,102,3,3,3,72,201,271,9,8,18,11,30,41,0,4,4,19,42,63,733,783,1510,2553,2804,5353
LGA14000,1447,1325,2772,5263,5056,10325,869,838,1711,697,597,1295,6831,6495,13329,3491,3374,6867,969,1268,2242,1144,917,2061,5600,5565,11165,181,153,335,128,253,383,500,175,673,397,719,1114,3,13,14,1206,1313,2519,2355,2645,4999,556,627,1176,342,313,653,715,1037,1751,15,16,31,3982,4633,8614,108,139,245,232,419,657,3,7,13,343,570,912,2651,2978,5623,22062,22880,44940
LGA14100,144,122,262,333,342,666,202,182,384,98,80,178,632,603,1235,90,107,192,689,177,860,209,177,378,978,454,1435,4,16,19,5,17,23,26,9,34,23,34,54,0,0,0,60,68,131,246,229,472,39,51,93,30,31,66,69,110,172,0,6,6,382,420,800,11,12,23,14,43,58,0,0,3,28,51,85,386,381,763,2613,2101,4715
LGA14170,1406,1332,2737,4387,4192,8582,1089,1018,2108,594,526,1119,6066,5737,11804,1894,1821,3714,994,1097,2091,1057,789,1844,3944,3703,7650,247,252,498,320,432,754,301,173,478,616,829,1443,13,15,30,1494,1704,3204,2703,3058,5755,1484,1828,3313,343,458,799,1558,2409,3966,23,24,43,6105,7775,13879,349,397,751,481,739,1220,7,10,19,837,1149,1985,6975,6823,13796,26830,28234,55060
LGA14200,177,134,313,569,544,1108,148,139,286,6,3,12,721,682,1403,450,469,918,65,36,101,21,18,33,529,523,1052,15,11,25,15,33,47,40,58,95,38,83,125,0,3,3,109,188,297,33,36,66,5,27,32,16,29,44,30,59,86,0,0,0,74,160,234,38,30,65,10,38,48,4,0,4,51,70,118,735,789,1529,2396,2547,4948
LGA14300,46,54,103,172,170,346,76,55,131,9,9,20,252,242,491,100,92,192,23,19,41,32,37,62,152,146,301,3,8,17,3,3,8,20,13,36,15,35,49,0,0,0,40,63,107,10,14,29,5,12,18,3,11,14,13,30,39,0,0,0,30,67,95,4,0,3,0,15,15,0,0,0,3,16,21,1151,288,1441,1677,883,2559
LGA14350,268,224,495,789,821,1610,163,172,340,137,93,230,1086,1088,2172,492,458,957,242,205,454,113,121,229,852,791,1641,26,31,58,19,47,71,65,64,129,54,144,191,3,3,3,170,284,458,38,60,102,15,55,69,4,16,24,39,114,158,0,0,0,99,247,346,11,15,20,21,63,81,3,3,5,35,77,108,1923,1599,3526,4435,4304,8744
LGA14400,225,186,417,659,594,1251,125,120,242,51,50,100,830,771,1598,474,474,947,105,112,215,120,74,189,698,655,1355,33,20,50,13,22,32,111,35,147,53,75,129,8,3,7,218,157,371,173,213,382,29,65,102,23,31,52,68,168,240,3,0,3,305,474,777,10,11,25,35,64,94,0,4,4,44,77,125,718,773,1488,3034,3094,6127
LGA14500,1208,1092,2307,4009,3735,7744,679,613,1293,1512,1376,2891,6203,5721,11925,1995,1630,3626,781,991,1778,2846,2800,5645,5620,5423,11042,96,96,191,78,137,213,172,94,271,228,428,658,3,7,12,585,756,1340,2422,2704,5133,401,497,893,313,260,573,628,914,1538,18,16,30,3774,4394,8167,74,86,157,214,406,622,0,0,0,291,497,784,2257,2634,4894,19947,20514,40457
LGA14550,63,71,133,266,239,501,60,64,120,17,23,45,348,324,667,192,218,411,48,55,103,8,15,23,252,285,541,6,18,23,7,15,22,21,17,41,23,52,78,0,0,0,64,101,164,13,22,33,13,25,30,4,10,14,19,27,45,0,0,0,51,74,130,4,9,8,11,15,22,0,0,0,12,22,33,473,426,900,1258,1307,2566
LGA14600,71,78,141,218,204,417,52,54,111,11,9,17,276,265,543,121,143,266,3,11,19,13,12,32,143,167,312,3,3,8,3,11,10,8,9,14,9,25,35,0,3,3,19,46,65,14,20,37,3,0,3,0,5,9,10,16,26,0,0,0,23,47,77,0,7,7,0,14,14,0,0,0,0,16,19,400,378,780,936,1005,1942
LGA14650,1973,1864,3836,6229,5960,12191,1253,1095,2345,891,871,1763,8380,7928,16304,4408,4332,8746,1025,1009,2036,985,925,1911,6418,6272,12691,249,268,514,104,251,358,799,464,1265,541,947,1490,13,9,20,1702,1942,3652,1346,1634,2980,393,660,1057,235,324,558,667,1279,1951,10,13,19,2658,3906,6568,99,140,243,240,504,752,7,14,20,353,655,1012,4913,5381,10285,26394,27953,54344
LGA14700,396,327,724,898,954,1849,348,264,613,172,199,371,1419,1417,2837,301,306,602,722,344,1063,454,332,784,1482,976,2457,33,34,67,46,67,112,42,35,75,96,185,277,0,3,3,223,318,538,585,540,1125,188,228,415,98,97,194,268,397,659,3,3,8,1145,1253,2402,41,46,86,73,145,218,4,6,7,116,194,314,865,850,1718,5639,5339,10979
LGA14750,95,99,196,343,317,662,118,110,226,11,11,27,475,444,913,322,358,682,176,213,386,9,21,28,507,591,1102,8,11,19,3,18,16,31,24,58,29,56,88,0,0,0,73,108,176,20,22,41,7,8,16,6,10,15,15,43,60,0,0,0,43,85,137,3,6,10,10,11,26,0,3,5,13,21,34,574,585,1153,1782,1932,3709
LGA14850,368,351,720,1218,1121,2339,390,359,749,210,212,418,1814,1700,3512,832,835,1671,465,541,1004,103,89,186,1396,1470,2861,53,85,131,48,121,167,146,103,243,145,238,384,0,4,4,385,553,935,248,330,579,207,252,459,58,86,147,195,423,617,0,3,3,711,1087,1801,31,29,57,48,104,152,5,3,6,86,136,221,1809,1870,3674,6568,7157,13728
