LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA14100,1201,2360,24,133,217,989,14,73,933,3684,1188,4878,122,493,232,816,296,913,647,2220,1838,7105,0,7,27,81,6,22,129,307,162,415,20,52,57,127,144,312,216,493,378,907,36,84,3453,10450
LGA14170,18322,36244,107,578,1313,5845,206,878,12347,45368,13972,52669,685,2817,1536,5175,2759,8762,4978,16752,18951,69422,30,124,289,948,113,370,2034,4882,2471,6328,241,772,850,1862,2554,5514,3644,8137,6109,14469,1077,2273,44456,122410
LGA14200,1874,3712,34,193,165,752,71,321,832,3327,1093,4583,49,205,121,378,281,873,456,1458,1553,6045,9,48,72,269,36,129,394,1135,509,1584,14,47,54,109,230,487,304,646,811,2229,57,124,4298,12115
LGA14300,556,1103,8,44,51,222,25,111,287,1211,369,1591,18,80,37,108,125,390,178,577,543,2171,3,18,14,44,12,55,104,306,136,416,5,16,23,48,84,177,113,235,243,655,21,41,1362,3969
LGA14350,3353,6682,53,288,253,1192,92,429,1078,4356,1474,6267,81,326,173,546,567,1729,816,2606,2293,8869,28,153,112,447,82,303,726,2161,946,3065,45,134,117,253,559,1200,722,1583,1661,4649,111,234,7413,20433
LGA14400,2748,5420,46,225,278,1255,68,305,1191,4760,1582,6550,133,545,263,855,545,1700,941,3098,2524,9645,8,39,53,171,17,52,227,600,304,857,32,107,80,182,266,557,385,842,694,1700,44,100,6009,16867
LGA14500,10280,20335,205,1050,2266,10324,178,746,9290,36289,11932,48402,1314,5337,2748,9625,2718,8475,6779,23439,18710,71839,23,100,300,994,46,148,884,2332,1252,3572,213,653,658,1537,1199,2519,2071,4712,3323,8278,367,768,32676,101225
LGA14550,1142,2280,10,67,75,374,22,99,365,1506,479,2044,18,67,70,235,147,471,235,768,713,2817,8,32,33,108,10,33,173,498,222,672,7,26,41,89,152,329,203,442,424,1118,38,78,2321,6293
LGA14600,657,1302,6,33,46,200,13,73,389,1562,454,1867,18,81,26,71,94,294,133,442,593,2311,3,18,18,62,15,42,126,393,155,507,7,27,16,31,87,200,116,260,273,773,27,51,1549,4436
LGA14650,21711,43134,367,2004,2241,10250,789,3497,11584,45256,14981,61012,1258,5147,1875,6356,4983,15651,8115,27158,23096,88165,132,594,625,2180,330,1150,3558,9757,4646,13682,347,1105,896,1989,3672,7856,4920,10944,9566,24631,661,1363,55032,157295
