LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA15750,17,34,49,2040,2170,4209,0,0,0,26,25,56,0,0,0,1503,1566,3067,0,3,3,7,5,11,4,8,16,11,13,25,14,12,28,0,0,0,12,12,21,82,88,171,303,294,595,22,28,53,6,22,30,185,220,402,111,132,241,7,3,5,4338,4598,8929,18,17,31,11,9,24,0,0,0,0,0,0,0,0,0,4,3,9,10,8,11,1289,1071,2365,8,6,17,7,13,17,1306,1086,2395,828,809,1635,6528,6559,13084
LGA15800,7,12,19,662,739,1401,0,0,0,13,12,28,0,0,0,739,793,1535,3,0,3,0,7,7,19,16,35,5,5,12,14,13,26,0,0,0,10,5,12,44,46,91,106,98,202,7,6,12,0,6,6,243,248,489,42,49,89,0,0,3,1905,2053,3956,3,0,5,9,6,14,0,0,0,0,0,0,0,3,3,3,8,12,3,9,9,616,515,1126,0,3,7,0,3,3,613,521,1137,358,354,708,2901,2953,5853
LGA15850,3,11,15,820,881,1702,0,0,0,42,41,76,0,0,0,908,892,1800,0,0,0,4,3,3,0,3,3,0,4,6,4,8,12,0,0,0,6,3,6,18,19,40,121,125,251,5,4,10,40,54,92,251,304,557,55,51,102,0,0,0,2266,2393,4655,3,3,7,4,3,11,0,0,0,0,3,3,3,0,3,0,0,0,3,4,5,543,475,1016,6,0,7,0,0,0,546,473,1019,387,340,726,3214,3226,6444
LGA15900,798,1076,1878,12234,14118,26349,0,0,0,1247,1413,2661,24,24,56,16216,18350,34569,39,62,101,1308,1324,2632,127,163,292,104,115,218,118,136,253,50,48,98,368,422,794,735,821,1562,1873,1981,3855,272,324,591,203,229,437,2766,3748,6516,1807,2173,3986,66,76,137,39570,45538,85110,570,492,1066,1067,815,1877,43,44,94,28,27,56,99,81,179,199,240,439,323,344,666,27224,23783,51009,418,351,768,161,200,365,27797,24337,52140,6471,6119,12585,76642,78766,155411
LGA15950,702,1153,1855,3962,4798,8763,4,0,11,154,220,378,0,0,0,6255,8188,14448,14,28,41,354,465,819,37,42,76,12,18,36,93,119,207,43,57,100,84,128,207,163,223,382,546,699,1245,10,6,16,25,32,55,493,787,1285,408,555,965,20,30,56,12685,16395,29078,814,738,1551,242,223,471,300,352,648,0,0,0,41,52,96,96,140,231,140,192,329,12840,12386,25231,191,163,356,63,99,166,13092,12651,25751,3932,4040,7970,31910,35744,67658
LGA15990,1488,2216,3701,20721,24379,45097,4,4,12,985,1099,2086,3,3,5,28987,32317,61300,34,50,90,1748,1887,3636,279,355,636,142,161,301,368,515,881,533,562,1093,444,526,971,1249,1464,2715,2562,2975,5543,77,142,224,88,110,193,3010,3855,6858,2159,2614,4772,61,90,148,63464,73106,136566,900,754,1651,580,516,1095,401,419,820,5,6,11,303,224,526,328,445,774,636,672,1316,44902,40381,85280,442,334,771,168,323,490,45511,41038,86548,10526,10653,21179,123507,129370,252878
LGA16100,9,17,25,501,490,990,0,0,0,16,21,38,0,0,0,844,851,1691,0,0,0,17,18,30,0,3,3,0,3,7,15,17,27,0,0,0,3,4,10,14,16,25,73,67,139,0,0,0,22,20,41,117,122,241,43,40,89,5,5,7,1666,1675,3342,3,3,3,13,5,16,0,0,0,0,0,0,5,4,7,6,9,12,8,6,17,583,521,1099,9,6,13,0,0,3,589,529,1117,469,313,782,2751,2543,5301
LGA16150,100,142,235,3776,4502,8276,0,0,0,225,252,471,119,132,256,5772,6288,12060,24,18,42,93,76,166,43,58,98,18,20,40,39,47,88,12,9,24,206,211,414,210,256,459,500,541,1040,55,51,101,35,52,90,1165,1420,2581,477,528,1010,9,13,18,12762,14471,27237,138,136,271,77,66,148,3,5,12,5,3,10,32,34,62,40,67,114,79,105,185,4672,4108,8782,40,35,74,16,19,34,4731,4157,8889,1723,1642,3367,19615,20728,40344
LGA16200,28,28,57,1766,1946,3708,0,0,0,201,196,399,30,29,56,1939,2050,3990,0,0,0,4,3,8,4,15,13,8,5,11,41,40,83,15,16,25,17,14,30,116,108,224,298,349,647,20,28,41,19,16,38,459,554,1012,140,151,292,5,3,7,5067,5526,10587,16,15,32,20,9,30,0,0,0,0,0,0,3,0,4,5,17,24,14,12,25,1262,1058,2321,3,10,13,4,3,9,1274,1065,2337,780,755,1537,7190,7416,14608
LGA16260,3770,4884,8655,8645,10068,18713,30,37,68,2020,2342,4361,214,255,475,22491,24630,47124,147,187,340,1809,1909,3715,153,212,368,262,265,523,153,185,333,540,584,1128,687,716,1403,1193,1372,2566,3658,4130,7786,111,145,262,175,218,393,2494,3089,5584,2367,2721,5092,78,84,162,47222,53157,100380,13606,12007,25605,5134,4531,9660,92,87,181,0,4,3,1515,1155,2667,792,838,1631,2310,1994,4307,29157,26233,55389,301,199,499,109,143,257,29567,26573,56142,11455,9765,21219,113158,112996,226149
