LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA10050,213,299,515,3876,4774,8647,0,0,0,243,291,533,49,64,116,6130,6945,13079,11,19,38,147,164,312,70,113,178,22,24,49,449,619,1073,6,7,17,47,54,104,230,294,523,833,989,1825,60,79,140,99,103,204,844,1298,2139,492,580,1073,16,15,32,13636,16442,30077,429,406,835,134,107,242,12,11,27,9,8,19,131,117,244,63,72,135,201,196,404,7506,6559,14068,78,68,146,18,35,48,7604,6659,14264,2434,2292,4723,24662,26411,51076
LGA10130,129,182,313,3067,3658,6726,0,0,0,141,165,309,66,68,141,2792,3153,5947,24,35,55,43,40,82,36,43,77,21,33,53,29,40,70,0,3,3,28,38,67,97,141,244,621,711,1330,74,90,165,83,99,185,375,536,912,286,288,575,21,13,33,7816,9142,16955,131,155,283,257,210,463,14,3,17,7,6,19,27,16,41,58,62,118,88,85,181,4224,3850,8074,50,40,85,19,24,46,4294,3914,8204,1504,1534,3041,14227,15220,29449
LGA10250,199,309,503,3599,4364,7966,0,0,0,236,270,507,0,3,3,4302,4866,9168,15,11,26,52,54,105,106,132,238,29,31,59,52,62,114,5,0,5,58,74,131,224,297,519,793,980,1775,34,60,90,108,114,220,787,1016,1809,415,498,920,27,37,63,10843,12864,23709,54,42,95,23,26,48,26,23,49,3,4,6,22,21,44,59,100,156,82,118,204,6660,5960,12618,78,63,135,42,73,114,6775,6093,12877,2122,2182,4304,20127,21658,41790
LGA10300,7,10,16,175,171,341,0,0,0,3,3,4,0,0,0,416,395,810,0,3,5,0,0,0,0,3,3,0,0,0,8,7,15,0,0,0,0,4,5,9,7,11,72,80,156,0,0,0,0,0,0,30,38,68,28,35,58,0,0,0,735,745,1486,6,8,10,4,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,268,212,471,0,0,0,0,0,0,264,208,476,154,137,289,1177,1115,2287
LGA10470,128,177,307,3626,4263,7893,0,0,0,252,279,524,92,81,166,6116,6723,12833,16,26,43,75,66,147,66,62,126,30,29,61,40,45,79,8,7,14,76,75,148,123,143,260,827,894,1723,53,58,115,29,46,69,688,829,1512,294,334,631,14,10,15,12406,13955,26367,103,93,202,104,77,183,6,9,14,6,10,18,36,28,59,48,49,95,87,92,182,4994,4250,9250,54,44,96,22,32,53,5077,4322,9394,2786,1872,4661,20695,20605,41300
LGA10550,119,226,342,3398,3878,7277,0,0,0,174,185,361,0,3,3,2893,3060,5949,4,15,16,51,55,98,76,140,212,33,24,58,43,66,111,3,0,3,38,37,82,38,44,82,445,507,950,31,43,80,46,61,111,535,717,1245,287,357,649,14,18,35,8111,9214,17322,30,23,55,14,15,26,9,17,27,4,9,14,0,0,0,48,79,129,56,87,144,6064,5608,11672,67,53,120,31,60,88,6161,5719,11880,1752,1702,3452,16252,17001,33253
LGA10600,86,129,210,1114,1273,2392,0,0,0,32,32,65,0,0,0,860,1002,1859,5,0,7,5,7,10,13,14,26,0,0,0,9,13,18,0,0,0,16,16,36,60,87,143,167,177,345,12,6,21,13,20,28,289,344,636,109,159,268,9,21,28,2712,3182,5897,18,8,25,8,4,16,14,15,31,7,5,11,3,4,11,27,52,72,31,58,97,2541,2449,4992,29,28,65,21,32,55,2593,2517,5108,659,624,1283,6123,6548,12668
LGA10650,12,11,19,768,861,1626,0,0,0,15,11,23,0,0,0,1095,1138,2239,0,0,0,10,9,20,11,12,21,44,60,101,7,24,36,0,0,0,9,7,17,24,28,52,277,275,547,4,7,12,0,0,0,288,344,628,71,57,130,5,3,8,2630,2837,5464,15,6,23,10,6,13,0,0,3,3,0,3,3,4,4,8,13,23,17,17,32,1051,871,1916,13,8,21,6,11,20,1076,888,1964,472,473,944,4224,4236,8462
LGA10750,2628,3101,5731,16843,19018,35864,90,84,171,2188,2306,4499,44,62,106,47152,51121,98278,454,487,946,2951,3071,6025,541,652,1186,1130,1219,2344,215,246,458,1831,1822,3648,1558,1564,3124,3535,4030,7563,2772,3216,5987,222,279,501,852,975,1827,2979,3292,6278,5117,5565,10681,186,194,375,90666,99200,189864,14739,14043,28781,11519,11121,22645,79,71,151,11,16,25,6144,5234,11380,624,732,1358,6783,5982,12767,27253,23313,50568,298,211,503,113,144,254,27662,23663,51330,13490,12212,25702,167574,169390,336962
LGA10800,12,11,21,713,768,1484,0,0,0,15,19,33,0,0,0,748,797,1545,0,4,3,3,9,8,16,17,34,3,3,3,39,49,86,0,0,3,16,19,32,7,12,22,209,191,406,13,11,28,0,0,6,198,192,391,97,115,214,0,0,0,2081,2220,4303,9,3,16,3,0,4,0,0,0,0,0,0,0,0,3,0,7,7,0,9,6,479,344,824,3,0,5,3,4,6,483,355,839,379,391,770,2971,2988,5955
LGA10850,7,20,26,843,902,1750,0,0,0,57,50,106,0,0,0,997,1074,2066,3,0,0,7,3,11,3,3,10,0,0,3,7,9,16,0,0,0,19,22,42,32,39,62,158,158,315,5,7,9,10,12,16,230,267,490,69,77,138,0,0,3,2434,2623,5056,8,4,5,3,9,9,0,0,0,0,0,0,0,0,0,3,13,16,3,13,16,817,685,1502,6,4,12,3,8,13,821,698,1515,332,289,617,3613,3647,7257
LGA10900,409,613,1018,6054,7042,13094,0,6,6,961,1094,2055,100,126,227,7000,8168,15171,44,41,87,282,273,553,125,166,291,76,93,172,108,142,251,13,17,33,129,155,284,424,448,874,968,1129,2098,78,97,171,61,88,157,975,1257,2229,1052,1214,2265,37,79,118,18498,21633,40131,107,108,218,99,85,187,71,84,156,6,14,25,19,7,24,190,256,440,214,275,494,14202,13285,27485,245,216,459,90,191,277,14532,13689,28221,3190,3283,6471,37119,39782,76904
LGA10950,0,3,9,340,344,683,0,0,0,17,7,25,0,0,0,470,476,943,0,0,0,0,4,3,3,0,5,0,0,0,10,4,13,0,0,0,5,3,9,0,8,6,38,26,66,0,3,4,7,3,3,108,124,232,15,18,36,0,0,0,1003,1017,2024,0,4,3,13,9,22,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,166,145,311,0,0,0,0,0,0,166,145,311,168,155,326,1355,1334,2692
LGA11100,746,1064,1813,1727,1892,3618,112,100,217,153,202,352,0,0,4,6597,7258,13851,4,8,13,1615,1705,3319,30,50,74,66,77,143,18,30,49,119,122,239,87,102,192,269,300,566,323,380,709,10,20,25,23,23,43,263,307,570,500,608,1113,14,16,25,11928,13189,25124,543,464,1003,1626,1392,3016,372,369,740,4,0,0,38,28,63,59,52,111,96,81,176,5621,4689,10307,59,43,103,18,30,53,5704,4762,10464,2209,2100,4314,23229,23420,46654
LGA11150,0,8,10,236,229,467,0,0,0,12,15,28,0,0,0,434,530,964,0,0,0,4,3,7,4,9,14,0,0,0,0,3,3,0,0,4,0,0,3,11,15,30,49,51,96,0,0,3,0,0,0,25,27,52,27,36,67,0,0,3,817,924,1733,8,6,14,4,3,6,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,195,141,334,0,0,0,0,0,0,195,145,336,275,253,531,1301,1329,2634
LGA11200,3,0,3,162,182,346,0,0,0,0,3,6,8,10,20,212,226,436,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,3,9,6,5,6,12,9,27,0,0,0,4,4,7,11,9,24,18,17,37,0,0,0,443,480,918,3,3,6,0,0,0,0,0,0,6,3,11,0,0,0,0,0,0,9,5,10,252,219,472,0,3,3,0,3,5,255,226,477,141,89,232,849,802,1651
LGA11250,43,51,90,1029,1151,2176,0,0,0,92,109,197,0,0,0,1916,2184,4099,14,14,30,27,26,54,9,17,28,18,31,49,65,100,168,6,9,11,64,101,166,35,48,81,79,102,178,72,119,190,13,15,30,671,965,1636,146,149,293,0,7,5,4264,5140,9402,24,17,45,25,12,40,7,3,8,8,7,11,3,3,5,17,19,36,21,20,45,3289,2936,6224,24,16,37,3,13,16,3315,2968,6281,917,877,1790,8615,9091,17708
LGA11300,1022,1472,2491,775,878,1650,5,3,8,150,203,355,0,0,6,4233,4835,9072,15,19,32,730,824,1557,38,48,82,8,19,29,16,20,34,81,71,152,50,48,94,96,123,217,454,566,1018,22,27,50,16,7,23,218,301,522,320,378,700,10,5,21,7243,8383,15626,1604,1171,2769,306,270,579,15,7,22,0,0,0,31,26,57,57,73,122,88,98,183,5986,6041,12030,36,31,61,19,21,44,6039,6098,12135,1468,1532,3004,17785,19028,36809
LGA11350,323,466,794,1439,1639,3074,0,0,0,54,68,121,0,0,0,1880,2072,3952,0,7,4,62,51,112,37,48,85,4,3,9,25,28,57,0,0,0,27,28,53,92,128,218,305,379,689,3,6,18,26,58,85,402,489,887,198,225,424,7,9,18,4564,5230,9791,42,37,77,27,10,42,149,136,287,6,7,12,35,26,65,95,166,257,131,196,336,7193,7423,14615,73,64,138,95,178,274,7363,7662,15022,2599,2613,5214,15197,16361,31556
LGA11400,36,33,66,1761,1800,3565,0,0,0,153,155,307,39,42,80,1812,1919,3739,3,3,9,5,6,13,3,0,7,4,0,8,7,18,26,0,0,0,40,41,82,49,74,121,185,221,407,8,22,30,10,8,22,512,526,1039,144,145,291,4,0,4,4743,4991,9733,0,0,0,11,3,10,0,3,3,0,0,0,6,8,10,13,14,25,19,26,44,1268,1074,2343,10,13,19,3,9,11,1280,1090,2377,600,551,1156,6692,6699,13386
LGA11450,379,492,876,7796,8929,16729,89,88,176,483,500,979,49,53,105,13026,13850,26876,31,34,66,769,781,1550,119,176,295,121,130,250,99,110,212,110,100,207,133,145,280,497,545,1036,589,725,1312,57,83,146,103,99,207,817,1035,1855,899,947,1844,50,57,106,25831,28399,54231,470,487,961,788,770,1557,26,18,46,5,3,5,97,93,192,80,108,186,183,203,382,7945,6859,14805,80,72,155,29,42,64,8054,6971,15026,2595,2540,5135,38336,39884,78218
LGA11500,1782,2259,4041,11060,12767,23828,35,23,62,1131,1273,2401,118,115,232,19835,21910,41741,65,72,137,1379,1350,2726,332,436,771,796,812,1612,165,166,334,482,464,950,503,556,1051,1185,1409,2592,1445,1580,3030,118,165,290,362,426,788,1265,1503,2765,2116,2320,4438,109,126,234,42496,47481,89979,3517,3518,7033,6350,6088,12434,38,29,67,19,25,40,572,471,1045,323,386,712,917,882,1795,15132,12991,28124,163,107,273,92,98,185,15383,13200,28583,6529,6548,13074,77002,79999,157006
LGA11520,1052,1678,2729,3072,3839,6915,12,20,37,326,368,691,6,3,7,14052,15763,29810,9,15,29,1727,1952,3681,95,118,211,35,30,65,70,84,155,201,214,418,105,135,239,255,334,591,1086,1373,2458,19,19,42,40,45,86,693,828,1521,580,714,1296,15,25,48,22403,25892,48294,1375,1174,2546,751,683,1439,96,95,189,3,4,9,85,61,148,127,150,278,211,216,427,12555,11866,24423,111,99,205,40,66,108,12705,12038,24737,3754,3898,7654,42348,45666,88015
LGA11570,9520,11699,21215,9073,10499,19580,59,60,113,1774,2115,3887,11,13,23,39105,41967,81073,111,132,238,15240,15483,30724,344,472,817,342,337,678,185,232,421,1293,1274,2574,619,774,1390,1212,1468,2679,2195,2494,4689,166,263,435,252,295,542,1967,2402,4363,3594,3850,7448,154,181,330,77687,84312,161996,3417,3166,6578,37493,34401,71894,84,85,171,9,20,23,569,496,1066,526,527,1058,1110,1043,2145,27447,24352,51799,252,196,450,124,137,266,27824,24693,52516,15193,14587,29780,172327,173977,346302
LGA11600,10,6,10,302,304,607,0,0,0,26,21,47,0,0,0,383,376,759,0,0,0,5,4,4,0,3,3,0,0,0,7,7,17,0,0,0,7,0,3,7,8,12,63,49,111,3,4,6,0,5,4,130,136,259,25,29,55,0,0,0,956,940,1898,14,18,32,0,0,0,0,0,3,0,0,0,10,5,15,0,0,3,13,11,20,293,205,491,0,0,0,0,0,0,292,205,498,137,127,268,1421,1303,2719
LGA11650,1269,1907,3179,33809,40007,73814,11,12,26,2599,3025,5621,110,128,239,37930,43078,81002,186,248,429,1083,1068,2148,580,771,1354,369,404,769,334,419,753,114,87,201,1457,1621,3079,1551,1913,3467,4000,4655,8656,377,508,893,657,756,1419,4573,5933,10510,3262,3777,7043,165,193,355,93170,108605,201779,583,578,1158,551,485,1030,156,203,356,50,33,78,130,111,243,347,522,874,527,670,1197,48316,42252,90564,517,384,894,241,375,617,49071,43009,92082,13439,13521,26955,158768,168972,327736
LGA11700,0,0,3,131,126,257,0,0,0,0,4,4,0,0,0,277,266,538,0,0,3,0,0,0,0,3,3,0,0,0,5,3,12,3,0,4,6,6,8,0,3,6,18,15,34,0,0,3,0,3,4,41,40,82,11,7,18,0,0,0,505,479,984,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,3,5,228,184,408,0,0,3,0,0,0,223,185,414,241,188,426,973,859,1833
LGA11720,127,189,318,6950,7769,14714,0,0,0,302,326,626,4,3,3,5454,5754,11209,10,14,26,59,56,117,75,111,189,77,94,174,29,39,66,4,4,4,142,163,306,193,216,409,912,1054,1968,144,158,301,105,132,233,1358,1639,2992,448,502,947,13,12,29,16276,18053,34333,65,62,125,35,33,68,7,10,19,8,8,11,18,10,32,49,93,149,75,111,187,7565,6770,14339,88,57,141,32,52,81,7684,6883,14566,3353,2588,5949,27633,27928,55560
LGA11730,153,206,361,6181,6860,13037,0,0,0,324,349,669,0,5,5,4821,5303,10133,3,0,4,39,36,78,158,183,338,33,40,80,49,69,117,3,0,8,60,77,137,122,164,281,1468,1570,3036,121,129,248,45,83,133,833,1026,1859,454,480,939,12,11,21,14724,16390,31119,37,34,69,25,18,43,4,9,13,15,6,17,25,28,50,48,88,135,81,121,198,7144,6243,13387,69,47,117,37,48,82,7252,6337,13586,2867,2414,5278,25140,25530,50671
LGA11750,3,13,15,416,419,840,0,0,0,46,54,100,0,0,0,789,783,1567,0,0,0,0,4,3,4,6,13,0,0,0,4,5,11,0,0,0,3,7,7,7,13,13,55,54,108,3,3,5,3,0,6,154,141,292,26,40,64,8,5,14,1523,1532,3054,9,10,15,12,16,30,0,0,0,0,0,0,0,0,0,0,3,4,0,3,4,496,394,888,0,3,4,0,4,4,505,402,898,338,287,623,2394,2255,4647
LGA11800,306,461,764,6525,7625,14147,0,0,0,594,652,1243,0,6,10,6602,7534,14133,25,32,54,84,108,190,211,262,470,45,59,99,87,109,194,17,14,28,100,157,260,518,645,1161,1245,1460,2710,80,115,192,101,127,226,1016,1346,2366,820,1052,1871,39,45,84,18109,21340,39446,123,107,228,241,226,466,26,19,50,14,18,35,689,622,1311,92,160,247,794,799,1589,11819,10796,22616,118,92,209,65,108,179,12005,11001,23006,3715,3681,7391,35319,37629,72944
LGA12000,17,8,22,413,466,879,0,0,0,31,26,57,0,0,0,672,686,1361,0,0,3,4,0,4,3,4,9,0,4,5,6,18,23,0,0,0,3,4,13,18,19,33,89,76,166,3,5,4,0,3,5,185,188,374,49,54,97,0,0,3,1483,1554,3035,3,0,3,3,4,5,0,0,0,0,0,0,4,0,3,5,3,6,7,8,11,380,321,703,3,0,8,0,4,6,388,323,713,263,253,523,2160,2156,4315
LGA12150,8,5,14,578,675,1254,0,0,0,3,5,11,0,0,0,537,513,1053,0,0,0,6,3,4,8,6,13,0,0,0,5,6,9,0,3,3,6,0,5,4,3,7,110,95,201,0,0,0,8,0,3,50,53,102,7,13,23,0,0,0,1319,1383,2698,3,7,11,3,5,8,0,0,0,0,0,0,0,0,0,0,3,8,0,3,8,281,247,530,3,0,5,3,0,3,284,246,530,334,321,651,1947,1970,3918
LGA12350,31,33,58,1577,1677,3258,0,0,0,79,95,170,70,82,154,1764,1851,3612,0,0,0,20,17,37,52,67,117,25,25,52,14,13,22,0,0,0,13,15,26,32,32,72,295,329,622,12,29,43,0,7,12,246,271,518,123,144,268,5,11,14,4333,4662,8995,5,6,14,0,0,3,3,0,3,8,3,14,5,3,10,8,22,28,22,30,50,1137,951,2087,11,6,17,6,0,3,1144,960,2106,620,612,1231,6157,6308,12460
LGA12380,4088,5196,9290,4722,5170,9889,79,87,162,1073,1139,2216,31,29,62,25017,26830,51846,52,72,127,2750,2795,5544,180,261,447,221,219,449,61,72,132,431,452,880,383,393,771,944,1066,2012,1522,1652,3176,89,116,206,216,234,450,1345,1556,2898,2212,2380,4592,133,154,288,41466,44678,86135,11853,10168,22025,26111,21178,47286,17,33,52,3,7,7,1304,935,2240,527,542,1072,1839,1486,3318,16377,13402,29777,129,96,230,85,96,179,16595,13588,30183,9115,8662,17783,111080,105000,216079
LGA12700,22,34,61,1364,1386,2755,0,0,0,102,103,209,0,0,0,780,840,1615,0,3,3,8,5,14,3,3,3,0,0,4,4,9,17,0,0,0,26,20,50,21,18,36,236,223,462,4,8,17,11,11,19,258,267,523,58,73,131,3,0,3,2884,2982,5866,0,9,8,3,0,4,0,0,0,0,0,0,0,0,0,14,9,27,14,9,28,1112,1023,2141,7,7,12,4,13,19,1130,1042,2168,439,402,838,4497,4479,8975
LGA12730,13,11,28,682,850,1533,0,0,0,63,62,127,0,0,0,1044,1091,2136,0,5,5,18,14,32,18,23,36,3,0,5,13,22,34,0,0,0,6,7,12,5,10,17,208,193,401,9,14,26,0,0,0,378,476,856,69,69,137,0,0,0,2516,2835,5359,10,14,20,6,5,6,0,0,5,4,0,3,0,3,3,6,3,13,10,10,19,1284,1076,2362,6,5,9,3,4,7,1287,1084,2378,502,532,1033,4353,4492,8851
LGA12750,126,199,322,3815,4518,8337,0,0,0,166,178,345,0,0,0,3843,4148,7989,6,8,17,112,80,191,115,143,254,15,26,43,80,94,174,8,3,9,36,54,97,107,132,236,550,637,1191,59,53,108,21,40,57,514,728,1239,294,342,638,14,14,26,9744,11203,20946,34,39,71,32,12,46,9,16,26,7,17,22,11,10,17,53,74,120,65,99,161,6161,5419,11580,62,47,105,41,52,90,6262,5513,11778,2005,1881,3883,18270,18955,37232
LGA12850,18987,22150,41136,3469,3885,7355,3640,3844,7485,1194,1290,2488,7,3,7,29852,31554,61408,23,37,58,3894,3867,7763,306,403,707,449,500,949,115,100,209,623,616,1242,373,443,815,728,862,1594,529,574,1103,52,71,122,287,332,622,636,677,1318,3500,3700,7198,74,67,144,49749,52833,102580,734,744,1473,6195,5599,11797,14,8,21,0,4,5,90,69,159,811,894,1702,901,970,1873,13864,11237,25108,76,68,146,49,57,112,13996,11365,25358,7381,7184,14567,97959,100855,198817
LGA12870,27,40,63,1173,1301,2474,0,0,0,82,68,149,0,0,3,1567,1723,3292,3,0,3,8,6,19,9,18,23,0,0,7,50,52,100,0,0,0,8,11,20,28,25,50,436,415,857,7,9,15,4,9,13,325,374,693,70,76,141,4,9,10,3767,4103,7874,11,11,26,10,6,20,0,3,0,0,0,0,5,3,13,3,14,18,8,20,31,1628,1357,2987,3,8,12,5,8,9,1641,1369,3010,634,625,1260,6102,6174,12277
LGA12900,20,12,25,1154,1218,2372,0,0,0,90,89,180,4,3,6,1643,1653,3293,0,0,0,6,13,21,9,12,14,0,0,0,22,18,35,0,0,0,8,7,14,36,39,73,197,198,387,14,19,37,0,6,5,218,243,461,46,66,111,0,0,3,3445,3582,7030,9,5,13,6,10,18,0,0,4,7,0,7,3,3,8,4,3,7,10,8,22,800,682,1478,6,4,11,3,0,3,807,683,1494,510,482,991,4806,4784,9587
LGA12930,2870,4161,7033,5863,6881,12749,10,3,13,1179,1420,2599,4,6,11,14733,16585,31319,50,54,107,7309,7401,14710,167,204,368,130,138,261,64,89,159,843,819,1660,359,450,806,493,626,1120,1146,1325,2471,96,134,227,58,81,136,1082,1374,2458,1690,1925,3620,102,99,206,35382,39620,74996,3694,3008,6700,2957,2678,5636,101,105,210,3,4,6,121,115,239,185,192,371,308,305,619,20807,19460,40262,138,119,256,78,105,185,21021,19682,40702,5421,5522,10944,71755,75086,146841
LGA12950,4,5,10,537,586,1122,0,0,0,9,28,37,0,0,0,455,529,989,0,3,3,10,3,9,16,11,28,0,3,4,31,25,58,0,0,0,16,9,26,53,65,115,229,199,427,0,3,3,5,0,5,103,130,232,32,35,63,3,3,8,1495,1635,3131,3,0,3,4,0,4,0,0,0,3,0,7,0,0,3,0,0,0,6,0,8,376,323,701,3,3,4,0,0,0,378,328,709,200,168,369,2089,2142,4236
LGA13010,12,21,38,1239,1384,2618,0,0,0,70,63,130,0,0,0,848,926,1772,3,0,3,3,9,14,24,18,43,6,9,11,5,10,17,0,0,0,7,9,12,27,44,73,180,184,361,19,40,58,14,24,40,219,245,457,81,93,178,0,0,3,2736,3051,5794,17,15,31,11,13,24,3,3,7,0,0,0,6,7,8,15,27,43,22,34,58,892,760,1651,4,14,16,5,7,13,898,785,1683,681,526,1209,4380,4453,8836
LGA13310,95,128,223,3593,3980,7577,0,0,0,173,190,365,64,61,127,3977,4292,8262,0,4,6,114,91,204,34,53,86,13,22,36,31,34,64,10,4,18,32,20,53,61,66,125,332,328,657,32,57,92,41,52,88,587,617,1199,225,223,453,12,12,32,9327,10103,19432,60,55,120,54,50,113,8,4,9,0,0,0,26,23,44,39,39,80,61,63,121,3360,2905,6263,40,37,77,20,23,44,3417,2964,6380,1951,1265,3217,14982,14631,29609
LGA13340,10,29,37,944,1059,2005,0,0,0,57,68,129,0,0,0,1120,1140,2258,6,3,5,8,11,23,6,9,18,4,9,14,491,454,946,0,0,4,12,14,25,129,126,258,265,246,514,11,12,22,9,9,25,302,345,650,136,142,275,0,3,3,3508,3667,7173,3,8,5,9,8,13,3,0,7,0,3,5,0,0,0,7,13,23,12,18,26,1192,1022,2211,11,10,28,8,0,10,1212,1034,2243,432,416,851,5187,5170,10351
LGA13450,49,74,122,1581,1763,3344,0,0,0,79,101,179,42,32,71,4989,5136,10125,0,0,0,16,21,40,41,50,87,50,54,102,48,48,96,10,8,20,71,76,149,110,141,255,356,374,723,28,32,62,114,104,226,613,771,1384,180,192,371,4,9,15,8341,8912,17252,256,230,492,317,197,509,3,4,7,0,0,3,404,350,752,13,21,40,419,374,796,1945,1654,3604,20,13,32,7,15,18,1968,1682,3652,1447,1366,2812,12795,12847,25641
LGA13510,17,7,27,1686,1787,3477,0,0,0,50,63,116,0,0,0,1695,1816,3513,3,0,3,9,11,21,9,15,30,0,0,0,10,15,27,0,0,0,11,3,16,11,18,26,183,185,365,8,13,26,8,5,15,265,291,559,82,98,174,3,3,5,4038,4335,8376,8,10,19,3,3,5,0,0,6,0,0,0,7,4,12,6,4,9,11,11,20,905,785,1692,12,6,17,4,7,9,916,807,1724,520,448,968,5514,5624,11141
LGA13550,13,26,40,1754,1871,3623,0,0,0,61,88,154,0,0,0,1564,1643,3204,0,0,0,8,11,22,11,10,15,0,5,5,24,24,48,0,0,0,7,5,13,28,37,70,295,304,600,30,38,67,15,18,38,218,238,459,72,101,171,3,3,3,4085,4396,8483,11,5,14,7,13,22,0,4,3,4,8,7,3,3,7,12,9,16,19,17,33,1363,1100,2460,14,4,21,0,4,4,1371,1110,2487,591,534,1132,6105,6107,12215
LGA13660,10,9,17,1013,1019,2028,0,0,0,15,11,25,0,0,0,506,567,1073,0,4,4,0,3,5,0,0,0,0,0,0,11,13,26,0,0,0,3,7,11,8,3,14,171,166,338,11,10,22,3,5,13,97,112,207,37,37,75,3,0,5,1879,1954,3830,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,3,443,350,796,0,0,3,4,0,4,448,354,802,324,267,590,2657,2592,5258
LGA13800,148,256,405,7529,8350,15877,6,4,7,566,600,1165,95,111,198,8714,9058,17768,43,44,87,325,299,631,121,153,276,81,93,169,75,79,153,3,5,11,64,94,161,415,424,839,708,773,1478,59,76,133,67,66,128,930,1222,2155,608,682,1291,29,27,55,20429,22151,42579,55,43,103,108,98,206,29,28,59,7,9,12,23,17,38,66,105,168,98,128,225,8241,7200,15443,78,62,145,39,55,97,8357,7319,15679,2729,2606,5337,31952,32635,64592
LGA13850,4,4,6,362,370,732,0,0,0,14,11,24,0,0,0,453,495,946,0,0,0,6,7,18,0,0,0,0,0,0,0,3,7,4,0,4,0,0,5,9,15,22,87,82,173,0,0,0,0,0,0,45,60,105,4,9,15,0,0,0,988,1054,2040,11,3,12,3,3,6,0,0,0,0,0,0,4,5,11,0,3,7,7,7,14,274,215,482,0,4,9,0,0,0,275,216,490,205,174,379,1480,1461,2946
LGA13910,25,44,72,2311,2485,4795,0,0,0,78,85,165,51,53,109,3038,3336,6372,0,0,0,30,34,66,30,37,61,4,0,3,26,27,57,0,0,0,15,8,28,12,19,34,309,312,622,33,36,67,26,24,49,404,448,846,137,140,275,3,8,11,6495,7063,13557,16,9,26,132,141,276,5,0,5,0,0,0,10,3,9,30,19,45,36,21,60,1568,1353,2914,12,4,18,4,11,15,1583,1367,2946,803,763,1561,9088,9402,18498
