LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA14600,10,6,3,0,0,0,0,26,4,10,0,3,3,0,0,15,6,18,8,3,3,0,0,39,313,285,131,71,68,5,7,877,4,5,0,0,4,0,0,17,343,322,145,81,76,5,7,979,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,76,91,59,39,37,5,0,308,11,8,5,3,0,0,0,18,87,98,66,39,40,5,0,329,430,418,206,122,119,10,7,1307
LGA14650,453,494,293,175,292,120,75,1899,596,674,360,202,306,119,61,2324,614,639,309,203,278,114,53,2203,7641,7305,4176,2779,3646,1345,603,27497,39,34,22,17,22,10,3,136,9343,9141,5161,3382,4537,1705,794,34051,32,59,56,31,50,23,15,272,132,194,117,84,130,32,25,718,55,109,74,62,91,33,15,444,1574,2146,1381,970,1224,360,154,7808,61,56,37,29,21,8,3,218,1861,2560,1668,1182,1523,451,213,9465,11200,11704,6828,4561,6062,2160,1001,43517
LGA14700,855,576,268,175,220,146,80,2321,289,283,153,72,118,62,30,1006,311,260,136,82,93,59,24,976,748,780,472,304,390,231,137,3061,3,12,4,3,5,0,0,21,2207,1914,1036,633,820,498,269,7381,36,50,40,33,35,37,24,251,24,26,25,14,21,14,4,135,19,27,15,14,19,14,9,126,28,63,48,44,65,44,23,313,0,7,0,3,0,0,0,13,113,182,128,101,145,114,60,840,2318,2088,1163,741,964,616,333,8221
LGA14750,32,32,26,14,22,3,0,126,14,21,9,10,3,0,0,51,19,6,10,3,8,0,0,47,432,427,274,168,228,28,5,1564,4,7,0,3,0,0,0,14,490,503,318,196,261,35,5,1807,4,0,0,3,0,0,0,8,4,8,3,0,0,0,0,16,0,0,0,0,0,0,0,5,127,133,88,45,68,5,0,476,7,7,4,0,0,0,0,24,143,147,97,53,75,14,0,532,639,650,416,251,336,46,5,2334
LGA14850,86,82,43,30,54,16,3,308,103,130,78,47,57,16,0,435,113,118,73,42,38,12,4,398,1306,1439,857,560,745,173,42,5123,18,6,4,0,7,3,0,27,1617,1771,1053,672,901,220,49,6293,9,12,22,12,24,12,3,93,37,70,36,28,54,6,3,241,17,51,28,17,26,7,0,143,359,575,403,252,347,76,29,2040,18,18,18,5,10,0,0,72,446,735,501,313,462,103,36,2591,2064,2504,1560,990,1362,317,85,8884
LGA14870,31,37,26,19,8,8,0,134,35,50,23,17,26,3,0,153,36,33,12,10,26,0,0,124,678,675,383,249,334,71,18,2415,4,7,9,7,3,0,0,37,785,808,454,304,398,78,25,2854,6,8,6,3,8,0,0,28,4,11,11,3,16,0,0,52,3,7,4,11,15,3,0,49,216,258,140,104,136,21,4,878,18,9,0,10,3,0,0,42,252,297,167,125,181,25,3,1054,1035,1101,623,427,574,108,31,3908
LGA14900,5958,6378,3784,2520,3507,2513,1301,25968,1408,1224,702,447,554,230,90,4665,1120,987,485,242,311,149,64,3359,3827,3390,1856,1200,1514,571,230,12590,77,96,66,38,34,13,6,324,12393,12081,6898,4451,5925,3474,1695,46909,707,995,676,482,754,453,287,4339,301,354,219,131,200,70,31,1305,176,222,141,99,117,42,19,808,780,925,547,394,518,143,70,3376,105,94,62,45,40,9,5,365,2060,2589,1637,1152,1625,720,411,10194,14453,14667,8531,5600,7552,4192,2104,57104
LGA14920,7,3,0,0,0,0,0,20,10,4,0,4,3,0,0,27,13,8,9,0,5,0,0,41,280,299,173,110,119,23,6,1005,4,0,0,0,0,0,0,10,314,328,191,118,128,22,6,1102,0,0,0,0,3,0,0,4,0,9,3,3,3,4,0,26,0,0,0,0,0,0,0,3,96,107,64,42,64,8,0,375,3,10,0,3,3,3,0,16,97,124,70,48,70,13,0,421,411,452,252,167,200,30,6,1521
LGA14950,8,4,0,0,0,0,0,16,0,0,0,0,3,0,0,11,3,8,0,0,0,0,0,12,147,162,92,60,53,8,5,530,0,3,0,0,3,0,0,6,161,169,102,60,64,9,5,571,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,26,24,11,11,10,4,0,90,0,0,0,0,0,0,0,0,27,29,17,16,12,4,0,96,187,197,112,75,74,9,5,671
LGA15050,255,252,134,96,103,44,19,905,240,218,139,62,93,30,10,790,201,218,78,77,92,30,15,711,3629,3556,1903,1202,1540,475,197,12504,13,12,9,3,0,0,0,37,4339,4259,2262,1438,1836,579,235,14948,14,22,15,10,22,9,3,101,66,68,51,36,41,9,4,282,21,40,36,27,32,6,5,163,919,1109,703,388,553,121,76,3872,35,24,13,9,3,0,0,89,1062,1268,816,469,649,154,95,4512,5401,5525,3073,1910,2485,732,328,19458
