LGA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA14900,67,367,324,300,726,686,280,393,58,3197,134,447,362,383,1152,1049,301,401,1207,5438,2296,7940,7537,8082,20021,18762,6915,10062,2289,83905
LGA14920,0,20,9,15,30,17,4,11,0,101,10,19,8,11,19,19,9,17,44,149,113,305,258,373,499,457,264,648,83,3013
LGA14950,0,4,5,4,9,7,3,4,0,37,4,3,0,3,3,3,0,7,16,43,52,126,129,145,194,207,102,304,24,1294
LGA15050,37,194,140,156,333,285,153,280,16,1599,32,133,89,89,219,250,89,165,246,1310,1235,4035,3615,3807,6658,6105,3528,5156,551,34692
LGA15240,28,150,137,123,208,237,101,167,23,1177,62,129,99,94,164,143,63,85,337,1174,1400,4256,3704,4337,5196,4398,2111,3900,722,30032
LGA15270,8,54,48,42,66,79,38,117,5,457,20,32,18,26,32,32,19,43,64,274,382,1098,1030,1150,1428,1394,992,2021,181,9689
LGA15300,10,15,25,31,45,44,23,50,0,250,6,23,21,10,45,38,23,47,57,267,212,445,395,541,972,902,478,1415,155,5521
LGA15350,20,62,39,40,50,47,31,71,8,368,26,65,45,49,48,128,40,131,76,618,393,1580,1363,1179,1513,2759,1481,3542,188,13999
LGA15520,4,28,16,13,26,30,7,13,3,141,8,12,22,18,31,26,12,28,43,190,213,572,471,546,760,809,422,1089,119,4994
LGA15560,0,8,3,3,7,17,3,12,3,52,5,3,9,6,14,7,4,8,13,67,82,156,144,176,278,287,134,410,49,1716
LGA15650,12,28,20,28,50,42,30,47,3,259,5,31,15,16,34,25,25,23,66,243,292,671,612,681,1176,976,899,1288,141,6732
LGA15700,3,42,26,20,50,39,20,24,0,234,16,30,19,27,28,21,8,22,60,216,279,882,842,948,1084,774,406,861,152,6229
LGA15750,7,30,11,11,46,72,40,36,0,262,18,26,17,22,27,60,14,27,52,273,228,562,474,608,959,1011,462,1212,135,5657
LGA15800,3,7,11,4,7,15,10,11,0,71,9,9,3,8,12,14,4,13,35,101,105,221,221,233,380,437,235,439,69,2325
LGA15850,4,9,11,9,29,22,9,20,3,115,8,3,8,7,15,22,8,17,23,112,89,235,217,280,443,443,229,589,67,2592
LGA15900,74,340,274,303,564,468,255,387,25,2685,73,272,160,191,364,378,133,252,512,2328,2663,9161,7975,8683,13952,13353,6679,9415,1156,73034
LGA15950,21,113,97,93,173,173,119,176,13,967,45,138,117,104,158,350,127,298,230,1575,1170,2888,3158,2840,5763,9734,5254,9186,458,40445
LGA15990,122,714,528,566,729,918,484,713,39,4815,169,635,537,505,741,1273,464,1000,904,6223,3831,15149,14192,13312,17939,26520,13033,23787,1908,129685
LGA16100,0,13,4,3,8,12,13,9,0,63,5,10,14,4,24,20,13,27,27,140,72,254,210,227,404,338,194,486,58,2241
LGA16150,26,86,65,56,140,125,82,144,8,723,16,51,37,52,90,83,38,68,133,557,667,1875,1635,1979,3458,3093,1787,3007,312,17805
LGA16200,10,35,23,22,34,50,26,48,0,249,15,14,14,10,30,37,21,25,60,219,261,639,512,660,990,845,690,1122,134,5840
LGA16260,86,404,379,338,728,708,338,421,41,3434,131,470,525,377,1048,1180,310,489,1010,5533,2849,9952,10471,9326,23955,26928,9000,12200,1914,106593
LGA16350,73,371,306,321,755,845,419,607,50,3750,131,379,306,339,1023,982,356,635,903,5061,2965,8661,8108,9022,21009,20276,9141,13817,1867,94859
LGA16380,31,186,130,142,237,210,107,178,11,1236,43,144,59,92,120,122,57,108,230,975,1123,3913,3185,4221,5535,4782,2310,4027,553,29655
LGA16400,36,150,114,116,223,215,130,203,12,1200,46,129,79,102,175,182,70,125,233,1137,1135,3544,3044,3423,5131,4735,2457,3601,533,27602
LGA16490,36,107,88,106,204,217,133,166,17,1071,37,101,61,87,181,197,62,150,240,1121,1195,2629,2095,2869,6298,6085,3241,4473,509,29389
LGA16550,57,252,260,248,343,383,193,332,19,2097,71,258,241,199,333,566,176,376,510,2727,2078,6888,6869,6202,10839,15353,6908,12010,1133,68276
LGA16610,3,36,39,30,60,56,31,44,4,308,20,33,18,42,43,47,17,32,94,354,294,996,914,1307,1625,1241,598,1057,231,8265
LGA16650,33,195,263,193,365,352,189,239,17,1841,77,216,323,208,492,544,130,214,649,2850,1541,4718,6715,5088,11630,11486,4375,6043,1234,52827
LGA16700,35,231,262,219,374,376,195,252,19,1961,45,235,222,178,438,580,160,294,512,2659,1594,5801,5913,5104,11511,13530,5284,7479,1024,57245
LGA16900,47,145,122,156,268,279,115,170,13,1322,49,96,101,93,214,211,72,141,215,1185,1135,3374,3306,3653,6078,5274,2656,3645,487,29606
LGA16950,49,179,163,168,252,216,128,202,23,1373,71,186,110,110,191,189,68,133,359,1421,1465,5268,4272,4748,6426,5572,3150,4621,807,36330
LGA17000,15,50,46,49,73,99,53,102,5,481,11,23,21,38,45,63,23,64,102,395,393,1214,1038,1078,1555,1563,1362,2368,242,10822
LGA17040,7,33,14,28,46,71,37,65,8,313,18,31,24,20,38,44,37,43,86,338,352,1004,895,1165,1693,1494,945,2083,224,9860
LGA17080,11,17,11,12,33,34,17,37,3,169,13,19,16,21,39,35,26,51,73,293,248,645,586,657,1007,820,561,1300,165,5991
LGA17100,11,60,68,59,119,120,56,75,10,578,30,121,143,76,186,209,54,78,258,1155,476,1863,2382,1738,4119,4814,1501,2249,476,19618
LGA17150,94,525,451,505,759,958,412,716,47,4475,131,401,374,360,642,972,333,653,767,4625,3607,12395,11934,11472,18335,23578,11381,18426,1642,112765
LGA17200,86,361,374,321,659,598,311,470,50,3223,155,379,718,302,609,1051,377,782,983,5347,3134,8781,14054,7867,18982,26482,13244,22744,1972,117252
LGA17310,28,112,87,105,229,204,104,183,15,1068,39,102,68,70,184,181,70,117,249,1076,926,2677,2354,2985,5246,4729,2440,4105,542,25997
LGA17350,0,18,10,10,17,21,14,18,3,110,0,9,14,9,14,13,5,12,27,104,97,298,235,305,378,405,230,481,78,2514
LGA17400,4,17,10,4,10,7,7,12,0,65,11,11,13,3,12,19,3,5,25,105,95,310,252,273,323,323,150,552,74,2361
LGA17420,57,386,306,305,461,616,264,510,26,2937,70,331,249,242,478,815,223,520,558,3491,2049,9263,8019,7383,13349,18207,7247,13527,1128,80179
LGA17550,27,223,152,176,209,249,85,205,15,1342,65,182,144,168,193,239,93,211,379,1662,1263,5020,4181,5488,6170,5399,2540,4882,781,35731
LGA17620,5,25,14,20,45,48,18,29,6,220,11,28,18,21,36,46,10,29,44,233,216,671,585,706,1046,981,646,1295,139,6298
LGA17640,0,15,9,18,16,22,13,17,0,114,7,21,4,0,12,15,6,17,28,113,137,357,369,408,538,571,271,787,83,3528
LGA17650,0,14,9,5,13,10,13,10,0,74,3,7,9,9,10,16,6,12,27,100,91,323,275,342,518,388,189,456,50,2633
LGA17750,13,106,100,129,249,250,129,173,12,1163,40,95,66,58,164,184,58,120,215,1005,1043,3197,2684,3230,6337,5408,2841,4580,517,29834
LGA17850,0,8,0,3,4,6,9,4,0,40,0,3,3,4,4,7,3,10,12,40,47,152,118,181,161,217,120,387,28,1414
