LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA17750,164,1409,993,23881,439,26878,0,11,3,418,16,452,518,22,44,139,0,722,33,3,8,33,0,84,238,94,76,303,7,712,1565,1363,965,20518,360,24765,408,4,46,25,0,493,68,25,21,188,3,301,298,147,118,2728,41,3330,89,32,8,146,0,273,40,10,6,25,0,80,812,10,14,21,3,854,344,326,264,7859,109,8909,184,125,44,750,15,1113,62,0,10,5,0,75,26,15,11,46,3,96,3,0,0,7,0,14,42,11,9,85,3,152,71,25,10,31,6,142,101,72,55,52,5,280,91,21,26,91,3,221,39,3,0,15,0,57,462,330,260,5540,82,6682,28,0,0,5,0,36,136,14,22,3,0,178,77,3,3,53,0,139,105,0,7,6,0,119,3,0,0,0,0,4,69,0,9,0,0,81,55,25,20,165,0,275,2248,296,168,561,39,3314,91,22,14,634,3170,3932,7159,2615,1853,46705,4046,62385
LGA17850,3,57,51,1330,29,1472,0,0,0,30,0,30,7,0,0,0,0,10,3,0,0,0,0,3,3,3,0,9,0,12,81,43,41,985,21,1168,4,0,0,0,0,4,3,0,0,0,0,10,11,7,4,90,0,115,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,4,11,11,9,264,6,310,3,5,0,18,0,30,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,5,8,0,0,3,3,14,11,10,4,0,0,24,4,0,0,0,0,3,7,0,0,0,0,7,25,19,14,315,3,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,36,3,11,10,0,61,3,0,0,55,318,375,177,93,88,2361,374,3092
LGA17900,18,108,67,2479,87,2762,0,4,0,532,14,550,18,0,3,9,0,36,36,0,0,7,0,45,31,12,3,14,0,63,150,70,64,1397,48,1727,43,0,3,4,0,48,3,3,0,13,0,22,63,13,3,121,5,208,10,0,0,5,0,13,15,3,4,5,0,27,28,4,0,3,0,34,38,19,18,439,6,517,17,3,0,32,0,51,7,0,0,0,0,7,3,0,0,0,0,7,8,0,0,0,0,8,4,0,0,7,0,9,14,3,0,6,0,21,3,6,3,12,0,23,15,0,4,0,0,25,3,0,0,0,0,3,47,16,16,358,8,436,44,7,0,3,0,58,5,0,0,0,0,5,3,3,4,3,0,18,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,3,3,0,6,0,16,181,25,19,51,3,280,11,4,0,101,666,790,690,189,125,4307,802,6107
LGA17950,0,46,19,1210,19,1297,0,0,0,22,0,22,8,0,0,5,0,13,0,0,0,0,0,0,4,4,0,6,0,12,45,36,37,968,28,1113,10,0,0,0,0,13,5,0,0,10,0,14,14,3,7,34,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,7,304,3,339,9,0,0,15,0,23,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,20,13,11,215,4,259,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,30,3,4,10,0,46,0,0,0,37,244,283,142,75,54,2176,288,2732
LGA18020,32,181,145,4006,104,4465,0,3,3,70,6,84,17,0,3,25,0,49,4,3,0,0,0,4,35,12,8,14,0,80,267,180,113,3136,91,3790,18,0,3,0,4,24,12,0,4,16,0,33,62,23,11,235,11,337,18,3,0,16,0,38,8,3,0,0,0,12,31,4,0,0,0,34,45,28,23,805,25,935,23,8,4,53,0,82,4,0,0,0,0,7,3,0,0,7,0,10,0,0,0,3,0,5,10,7,0,8,0,21,10,7,0,3,0,19,12,9,9,9,0,37,17,0,0,3,0,19,3,0,0,0,0,8,72,53,47,757,20,947,4,0,0,0,0,4,11,0,4,3,3,18,6,0,0,5,0,14,3,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,6,11,0,0,17,0,30,100,21,24,64,3,211,12,7,4,86,894,998,693,334,248,7014,1097,9384
LGA18050,637,2708,2105,8350,134,13931,3,3,6,36,0,55,1697,123,149,181,24,2172,215,42,22,66,3,342,433,95,78,144,3,757,8006,2029,1454,7672,193,19353,443,3,58,10,4,522,1040,78,62,128,18,1325,1539,255,183,774,23,2781,790,184,90,432,14,1514,807,114,76,149,4,1153,467,42,38,42,3,585,2752,631,467,4209,67,8133,2139,319,163,673,20,3309,212,0,13,12,0,238,224,37,22,114,4,396,65,5,8,17,0,96,134,33,29,68,0,266,185,30,11,22,4,246,634,109,120,32,10,903,1143,145,130,234,5,1654,1474,93,72,105,11,1756,1521,475,361,2475,44,4881,148,7,4,13,4,175,1991,175,125,23,11,2328,872,30,32,37,7,981,77,13,9,7,0,110,124,6,0,0,4,134,135,10,12,3,0,160,275,45,26,126,0,473,9581,1005,819,773,92,12264,341,46,34,146,6765,7328,32072,5193,3959,18280,7312,66812
LGA18100,9,65,75,1505,29,1688,0,0,0,4,0,10,7,3,0,3,0,14,0,0,0,0,0,0,15,0,0,15,0,36,111,78,63,1298,33,1585,13,0,0,0,0,17,0,0,0,3,0,4,18,3,4,88,0,114,3,0,0,5,0,9,3,0,0,0,0,8,9,0,0,6,0,14,13,17,8,368,10,417,8,0,0,20,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,12,3,5,0,0,0,4,3,0,0,9,0,9,0,0,0,0,0,5,3,0,0,0,0,3,26,17,12,341,7,399,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0,6,0,16,25,10,0,22,0,57,5,0,0,49,282,335,246,125,117,2828,351,3664
LGA18200,18,103,76,2489,84,2773,0,4,4,259,19,288,7,0,0,4,0,13,14,0,3,5,0,23,30,3,13,16,0,58,179,113,84,2054,51,2472,19,0,3,0,0,21,8,0,0,13,0,21,30,13,4,295,6,349,6,3,3,8,0,20,11,3,0,0,0,19,13,0,0,0,0,9,37,27,14,541,9,625,122,31,9,165,5,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,18,11,0,3,0,0,11,11,3,3,3,0,30,6,6,3,10,0,18,3,0,0,0,0,7,36,35,25,569,12,672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,8,0,0,19,0,32,61,18,4,63,8,161,8,0,0,133,674,822,553,228,159,5034,826,6794
LGA18230,112,973,668,21538,417,23709,4,15,7,698,16,739,288,13,24,176,7,511,12,4,3,11,0,37,173,60,57,220,0,508,980,888,671,16321,350,19216,217,4,48,5,9,280,40,7,11,133,5,201,163,78,58,1320,16,1631,62,17,13,85,0,181,24,7,0,10,0,40,456,7,11,16,3,495,226,224,159,5445,81,6141,110,59,20,405,3,602,52,3,4,0,3,63,43,13,3,40,3,97,6,3,0,0,0,11,32,25,4,54,0,117,65,25,24,33,0,150,69,54,29,46,3,208,53,15,17,61,3,142,36,3,3,16,0,56,264,258,174,3719,59,4468,3,0,3,4,0,16,46,7,4,12,0,73,24,4,0,35,7,66,99,3,6,0,0,112,10,4,0,0,0,14,60,0,3,0,4,63,38,18,11,116,0,184,1121,145,101,337,29,1733,48,11,15,557,4167,4800,4206,1736,1267,37882,4980,50077
LGA18250,578,2484,2071,9749,123,14998,4,5,0,21,0,32,16716,251,507,347,108,17932,483,62,38,95,0,679,358,131,69,126,3,686,5310,2074,1488,9081,164,18118,975,17,76,14,3,1086,340,59,43,138,4,583,704,187,135,771,15,1810,471,94,51,273,6,896,268,38,17,54,0,382,2422,41,53,38,18,2564,1368,633,449,4544,70,7061,1193,285,153,694,22,2355,2591,8,61,8,7,2679,348,62,46,115,4,574,107,19,5,12,0,136,87,29,17,49,3,183,85,6,0,0,0,89,449,129,93,22,3,695,375,52,45,83,4,558,338,25,44,46,3,462,1188,529,372,2983,42,5117,128,0,12,14,0,155,393,59,27,12,3,484,339,20,11,32,5,406,168,25,12,7,0,214,60,13,3,3,0,81,382,17,20,10,4,433,212,48,34,130,3,425,8304,566,736,573,69,10254,236,21,17,128,3376,3784,41380,4619,3881,20501,3916,74302
LGA18350,233,2027,1387,14504,310,18461,0,6,6,79,4,99,414,14,33,67,6,533,98,23,19,20,0,173,375,129,64,185,10,764,4009,2020,1418,13446,362,21256,127,13,25,4,0,171,131,41,12,126,3,308,541,169,123,1036,26,1902,196,56,26,118,10,403,127,19,11,24,0,190,230,12,3,4,0,251,768,476,292,4919,113,6566,501,167,67,589,22,1349,35,0,3,3,0,45,72,29,11,62,0,175,58,6,3,13,3,74,138,36,25,108,3,301,64,19,21,16,3,119,163,77,58,35,3,342,218,30,28,89,0,374,79,14,14,36,0,148,1055,580,393,4000,88,6112,45,3,0,3,0,53,119,22,22,22,0,190,101,13,9,40,3,159,21,0,10,5,0,40,23,4,3,3,3,38,69,0,4,4,0,79,160,41,29,160,3,392,1573,339,252,547,22,2737,54,25,16,331,2823,3252,9443,3728,2552,28570,3588,47882
LGA18400,270,2127,1353,18158,351,22260,0,22,8,199,3,228,244,16,25,97,4,387,239,48,26,131,0,449,318,119,48,201,9,694,3112,1768,1326,12370,265,18845,120,5,46,11,0,186,76,14,8,100,8,208,455,141,134,1021,30,1775,185,60,25,158,4,434,109,28,12,42,0,189,109,20,13,10,0,163,721,398,265,3701,82,5165,741,313,140,1029,34,2250,20,0,0,0,0,24,237,46,22,72,9,396,53,16,9,16,0,88,551,157,126,593,19,1448,81,26,19,12,5,142,135,96,70,62,0,363,152,50,30,70,4,314,92,15,10,38,0,150,741,395,263,2838,54,4284,89,22,18,49,0,178,97,24,13,8,4,142,117,28,13,22,0,179,31,0,5,0,0,33,29,9,3,12,0,49,52,3,11,0,0,70,130,41,24,117,3,313,1458,388,235,526,40,2635,74,23,18,344,2203,2666,8828,3781,2529,30467,2920,48519
LGA18450,1469,8192,5917,53940,1079,70592,7,77,32,674,12,802,4528,98,145,323,38,5132,1184,168,114,338,29,1839,1547,517,317,1047,32,3456,13259,7374,5703,45406,1048,72786,1197,64,237,55,34,1579,436,89,81,473,12,1095,2316,756,567,3884,96,7612,1705,348,189,950,40,3231,442,70,37,166,13,730,1945,60,47,56,19,2128,2796,1706,1211,16211,284,22202,5784,1367,685,4110,164,12116,357,6,16,20,3,396,1170,240,150,283,29,1864,4845,504,276,909,69,6594,919,279,150,759,24,2130,498,121,114,105,22,858,623,354,271,200,26,1467,939,168,122,398,18,1639,322,45,51,127,7,554,3814,2014,1549,12120,192,19690,1453,148,87,194,23,1911,332,87,67,33,12,527,1162,158,107,273,14,1712,298,19,16,11,3,348,933,104,53,54,13,1163,1117,36,49,26,10,1232,771,252,180,702,16,1932,12718,1819,1421,2411,225,18598,537,93,75,1007,9153,10874,60972,15974,11686,102995,12000,203630
LGA18500,512,2393,1696,8078,128,12806,0,3,0,19,0,22,1989,114,146,109,25,2390,178,33,17,47,0,279,339,92,37,122,0,598,5771,2029,1441,8591,173,18011,316,12,37,7,3,366,596,66,50,136,9,855,1083,231,144,838,10,2299,766,207,104,626,11,1719,752,98,59,142,5,1059,473,42,38,15,3,578,1549,596,462,4536,73,7218,985,286,129,597,19,2008,163,3,14,5,0,183,186,75,52,203,0,517,50,12,3,7,0,77,81,33,18,57,0,186,92,9,3,4,0,110,443,85,62,17,3,614,964,162,110,212,6,1446,769,86,73,95,6,1026,1373,550,337,3160,48,5475,104,10,18,9,3,149,1371,93,87,13,4,1564,348,24,27,28,0,428,105,14,18,8,0,146,95,9,9,3,0,120,182,3,23,3,0,204,195,22,18,138,0,381,5641,831,634,703,59,7865,170,17,31,137,4628,4984,21772,4838,3447,19110,5072,54240
LGA18710,71,577,469,6224,99,7446,0,3,0,26,0,34,56,4,13,18,3,97,77,15,0,48,0,135,147,51,35,82,0,311,913,486,441,4731,103,6668,27,3,3,3,0,37,21,8,8,44,0,92,151,54,51,396,9,662,26,18,3,28,0,70,22,14,10,20,0,64,31,7,0,6,0,43,197,141,91,1799,30,2259,59,30,8,144,5,254,3,0,0,0,0,6,18,0,10,11,0,31,8,3,0,4,0,11,23,11,3,41,0,82,12,8,7,11,0,35,50,18,25,3,0,98,50,14,19,30,3,111,13,3,4,14,0,34,228,159,101,1267,31,1782,9,4,0,6,0,23,25,10,3,3,0,39,9,0,4,8,0,22,4,0,0,0,0,6,5,0,0,0,0,5,18,0,4,3,0,26,31,13,3,52,0,108,349,106,78,188,7,729,17,21,8,130,916,1094,2092,1037,803,11076,1139,16142
LGA19399,3,23,23,438,12,499,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,4,0,3,0,0,0,4,36,14,23,295,5,373,0,0,0,0,0,0,3,0,0,3,0,4,10,3,6,44,0,67,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,3,115,0,131,3,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,7,9,3,0,0,0,12,0,3,0,0,0,3,3,0,0,0,0,3,9,3,3,96,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,14,8,6,17,0,46,3,0,0,11,113,120,93,42,45,754,126,1056
LGA19499,70,302,198,2595,82,3249,0,3,3,95,6,105,428,12,7,20,4,473,26,0,0,4,0,34,79,21,13,35,0,149,812,254,191,1952,70,3270,76,0,22,4,0,105,62,9,6,27,0,108,151,27,20,202,4,399,44,9,3,20,3,76,27,3,0,5,0,33,142,0,0,3,0,144,205,66,40,714,12,1039,123,30,15,95,8,265,45,0,0,0,0,45,79,10,5,16,0,111,10,0,0,0,0,9,18,8,0,8,0,43,54,10,7,6,0,79,60,17,8,6,6,94,38,6,8,13,0,70,22,0,3,6,3,34,189,57,46,536,16,840,18,0,0,0,0,15,39,3,4,3,0,50,53,0,0,10,0,65,13,0,0,3,0,11,27,0,0,0,0,36,82,3,3,0,0,86,32,8,7,25,0,66,890,76,55,102,26,1140,48,4,4,63,3194,3312,3262,554,393,4675,3398,12288
LGA19799,6,17,7,91,0,125,0,0,0,0,0,0,33,0,0,3,0,39,3,0,0,0,0,3,3,0,0,0,0,0,39,12,6,72,10,137,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,31,0,44,10,0,0,0,3,10,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,14,0,7,24,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,23,0,0,4,0,26,8,0,0,3,38,52,166,17,13,176,42,412
