LGA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA16400,68,138,223,254,264,187,51,7,0,1200,69,102,163,225,255,217,82,23,3,1137,1785,2375,4672,5830,6725,4896,1137,155,18,27602
LGA16490,65,127,253,223,221,145,30,4,0,1071,70,126,209,213,260,177,43,14,0,1121,1662,2476,6024,6457,7304,4368,965,117,16,29389
LGA16550,71,170,602,503,368,265,101,15,3,2097,86,256,802,606,532,292,117,29,4,2727,2095,6561,19594,16387,13022,7995,2284,287,46,68276
LGA16610,23,41,55,54,64,46,18,0,0,308,22,24,48,71,72,68,35,12,0,354,597,675,1265,1622,1909,1679,433,84,10,8265
LGA16650,52,169,474,456,354,251,65,10,0,1841,77,322,883,604,502,350,92,22,5,2850,1665,5015,16294,12120,9721,6298,1518,165,28,52827
LGA16700,71,180,472,432,427,282,88,11,0,1961,65,216,757,623,518,366,87,19,10,2659,1924,5246,15749,13547,11210,7454,1873,210,29,57245
LGA16900,84,154,329,300,242,181,30,0,0,1322,76,142,221,240,269,181,36,10,4,1185,1959,3077,6025,6595,6817,4404,666,59,16,29606
LGA16950,61,133,288,293,296,219,68,8,0,1373,94,121,234,243,306,274,104,36,13,1421,2284,2986,6281,7098,8449,7282,1711,202,32,36330
LGA17000,30,69,114,104,107,50,4,0,0,481,32,41,57,77,105,64,13,4,0,395,816,1085,2116,2325,2501,1561,356,45,12,10822
LGA17040,17,36,65,64,66,47,10,4,0,313,26,32,47,64,61,66,23,15,3,338,557,794,1672,1899,2335,1837,630,112,19,9860
LGA17080,19,18,29,23,30,28,14,0,0,169,13,29,49,49,66,60,24,13,0,293,294,423,995,1142,1377,1262,397,89,12,5991
LGA17100,13,57,165,125,129,63,16,0,0,578,23,181,374,221,172,132,33,10,6,1155,624,2256,6611,3852,3368,2230,579,92,14,19618
LGA17150,224,509,981,940,939,653,198,27,7,4475,195,441,887,1061,993,732,252,43,18,4625,6131,10313,22067,25450,25357,18391,4537,450,62,112765
LGA17200,61,289,1307,749,441,289,76,11,0,3223,87,650,2342,1101,647,345,142,29,6,5347,1910,12670,50603,25657,14637,8713,2664,344,49,117252
LGA17310,56,111,230,221,209,180,53,6,3,1068,91,86,212,208,215,172,66,27,11,1076,1638,2125,5270,5195,5705,4571,1254,209,33,25997
LGA17350,15,14,27,19,15,14,6,0,0,110,3,3,18,14,30,20,12,3,0,104,151,163,415,450,620,513,166,33,4,2514
LGA17400,4,4,12,16,7,12,10,0,0,65,6,9,8,16,24,30,14,7,0,105,117,115,259,417,497,646,242,59,5,2361
LGA17420,152,312,499,649,685,475,149,16,0,2937,151,300,590,846,856,524,193,27,3,3491,4454,7441,13386,19441,18878,12555,3665,333,26,80179
LGA17550,49,126,267,296,332,203,65,3,4,1342,108,131,298,327,355,307,96,31,13,1662,2162,2692,5797,7566,8522,7130,1623,213,37,35731
LGA17620,15,28,46,52,38,23,15,3,0,220,17,9,44,49,53,45,10,6,0,233,345,442,1227,1321,1386,1132,344,91,19,6298
LGA17640,12,12,29,18,22,20,4,3,0,114,7,10,17,9,28,22,11,9,0,113,185,194,481,602,883,731,338,93,17,3528
LGA17650,3,6,12,15,10,26,5,0,0,74,10,10,10,15,20,26,5,0,0,100,136,164,359,536,643,563,175,38,8,2633
LGA17750,53,154,273,225,234,169,51,4,0,1163,70,113,227,181,200,143,54,17,5,1005,2072,3428,6584,5926,5892,4610,1120,175,28,29834
LGA17850,4,3,6,10,9,3,3,0,0,40,0,0,5,7,3,7,12,10,0,40,67,100,187,234,328,294,170,40,5,1414
LGA17900,3,6,7,16,12,11,0,0,0,49,3,7,14,14,25,22,10,3,0,98,62,142,401,381,442,419,178,35,3,2060
LGA17950,0,0,3,5,7,11,3,3,0,40,0,0,3,6,9,10,5,4,0,33,30,69,208,214,257,247,95,35,7,1149
LGA18020,7,10,12,25,21,11,6,0,0,93,8,9,17,28,28,27,16,3,3,140,98,201,453,608,818,745,299,89,22,3335
LGA18050,25,97,366,264,173,112,46,7,0,1091,36,116,678,464,295,148,65,19,3,1832,659,2463,12404,9392,6252,3619,1401,202,43,36426
LGA18100,0,7,7,15,7,3,3,0,0,49,3,5,6,7,16,11,12,6,0,59,62,72,183,289,311,320,154,35,3,1437
LGA18200,8,8,14,14,19,21,7,4,0,95,7,14,13,25,27,32,14,6,0,136,161,197,429,540,652,592,180,35,3,2786
LGA18230,47,122,234,173,176,146,57,13,3,977,62,78,154,127,157,125,54,26,9,784,1383,1993,4715,4319,4701,3749,1052,188,35,22142
LGA18250,43,69,248,210,226,162,45,9,0,1002,34,127,406,397,352,197,65,17,3,1603,1085,2734,8755,9676,7679,4656,1507,201,27,36309
LGA18350,47,91,157,155,189,139,52,8,0,844,41,69,101,175,228,188,99,25,7,933,1334,1434,3050,3895,5013,4082,1546,259,32,20644
LGA18400,75,117,241,231,229,132,29,3,0,1053,83,100,222,225,274,189,66,22,3,1179,1596,2292,4522,5325,5502,3875,826,90,20,24054
LGA18450,190,463,834,742,731,445,101,12,0,3514,184,394,685,657,726,436,119,49,10,3262,5021,9675,18789,19711,19521,12919,2324,260,33,88251
LGA18500,20,60,213,145,140,85,42,3,0,718,28,78,355,271,256,188,134,39,6,1363,506,2003,7746,6109,5155,3806,2157,455,76,28005
LGA18710,18,33,49,57,72,40,18,3,0,287,20,24,34,70,90,34,14,3,0,299,477,569,1155,1842,2063,1380,467,90,15,8076
LGA19399,0,0,3,3,7,0,0,0,0,8,0,4,3,8,4,9,4,0,0,29,11,47,105,124,114,122,59,19,0,599
LGA19499,0,21,33,25,9,11,3,0,0,109,7,32,62,52,49,24,3,5,5,248,112,528,1094,630,507,376,89,7,4,3331
LGA19799,0,0,0,0,5,0,0,0,0,5,0,0,0,4,6,6,0,0,0,13,6,3,23,27,30,25,10,0,0,130
