LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA12930,573,794,418,429,688,358,156,222,41,3680,646,650,566,796,913,459,149,281,65,4520,929,475,3186,963,1018,583,553,594,148,8452,68,35,27,90,165,88,41,52,6,576,167,135,120,214,466,207,92,127,20,1541,122,186,81,58,165,84,40,62,19,831,115,170,115,112,192,106,71,147,160,1189,6620,16119,5854,4497,7229,3637,1673,2544,855,49024
LGA12950,22,18,0,14,6,4,0,0,0,62,19,16,3,27,13,0,0,3,0,76,104,21,125,67,41,23,25,41,3,463,10,0,3,9,7,0,3,8,0,34,7,0,3,11,5,9,3,8,0,42,3,4,0,3,0,0,0,3,0,13,25,0,6,9,3,5,12,9,3,72,238,204,148,146,84,47,45,80,13,1007
LGA13010,32,37,10,21,12,10,3,0,0,129,39,28,9,56,45,12,9,13,3,198,144,43,216,119,85,48,50,97,13,810,9,4,7,10,10,11,3,15,0,74,26,3,14,24,16,9,12,25,0,129,10,3,0,0,3,4,0,0,4,25,28,9,13,16,3,13,6,8,10,101,394,378,274,274,209,106,80,175,31,1926
LGA13310,94,161,41,101,65,19,16,12,14,525,137,139,68,273,151,59,19,34,9,888,403,135,1131,613,356,204,350,297,53,3544,12,9,21,41,47,37,11,31,0,203,26,17,24,69,89,40,25,32,6,329,13,5,0,10,19,7,9,7,0,71,40,27,28,50,49,37,42,53,23,337,1041,1675,1378,1370,925,456,485,521,117,7961
LGA13340,63,51,11,34,23,6,7,8,0,208,75,54,25,63,55,9,13,22,3,309,256,52,406,123,119,65,104,112,18,1246,13,3,10,6,12,4,12,15,0,76,42,7,6,25,33,9,5,10,3,136,10,5,3,3,3,5,0,4,0,31,53,15,12,14,10,10,13,35,4,167,676,584,480,309,323,126,151,216,40,2911
LGA13450,63,96,35,50,54,24,6,27,8,373,101,97,43,147,97,35,8,57,4,594,427,114,1037,289,317,203,203,344,37,2972,24,9,9,22,45,29,14,23,0,176,24,15,17,60,59,41,19,46,4,279,8,11,8,6,16,9,6,27,0,94,39,30,21,36,38,28,33,100,34,360,969,1396,1236,718,747,397,317,769,112,6667
LGA13510,53,58,14,35,15,7,3,6,3,186,44,32,25,77,39,21,3,9,0,250,162,50,355,140,118,60,104,188,13,1196,21,8,6,13,19,6,3,12,0,93,16,11,8,18,21,16,5,12,3,117,0,3,0,6,3,5,0,7,0,18,34,6,14,12,14,19,18,29,12,157,456,528,427,346,262,134,137,281,36,2618
LGA13550,50,45,14,32,17,4,5,11,3,185,57,51,27,66,49,8,17,11,13,294,218,51,467,130,125,77,250,98,20,1436,11,3,10,10,27,15,11,13,0,103,23,5,10,20,34,23,16,19,0,154,0,3,3,3,10,3,4,4,0,29,32,18,30,22,14,23,32,36,8,215,569,655,571,338,336,164,349,204,56,3243
LGA13660,40,17,4,7,7,9,7,7,0,97,44,14,0,26,16,4,0,5,3,118,135,21,106,44,46,8,42,68,4,471,7,0,0,7,0,3,3,13,0,32,13,3,0,8,4,3,3,4,0,41,10,0,0,0,0,0,0,3,0,12,30,6,7,12,8,4,3,12,11,90,374,212,126,123,113,45,57,114,18,1175
LGA13800,279,370,137,195,250,68,29,56,12,1392,374,333,244,487,466,185,39,105,23,2249,1104,427,3849,893,1058,526,811,702,177,9547,53,20,39,52,143,70,33,53,3,467,113,58,99,141,225,68,62,76,7,848,23,36,31,21,54,18,10,26,3,229,51,58,77,72,103,42,65,84,63,630,2893,4301,4684,2258,2793,1123,1094,1190,338,20672
