LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA13450,13,119,430,321,342,320,108,28,17,1697,0,45,251,228,248,186,51,14,3,1023,0,9,156,190,188,140,49,11,4,757,0,4,83,131,141,92,28,6,0,491,3,6,95,153,174,115,24,9,10,592,0,4,20,69,87,80,27,18,3,318,222,179,385,330,363,381,348,299,262,2768,1624,1537,3518,3097,3323,3035,2050,1418,669,20274
LGA13510,9,39,104,119,126,139,68,43,8,646,0,9,67,85,93,69,26,9,0,354,0,0,48,64,74,44,18,3,0,247,0,0,27,41,59,44,13,10,0,193,0,0,31,52,54,50,14,8,3,226,0,3,12,23,32,40,23,12,0,150,84,46,81,105,126,144,152,129,96,971,607,482,972,1174,1377,1636,1514,969,391,9126
LGA13550,3,41,129,137,140,156,47,25,6,686,3,26,125,88,79,95,42,14,0,475,0,19,95,87,79,75,12,0,4,385,3,13,74,72,70,49,14,0,0,299,0,18,139,123,104,69,13,6,0,467,0,3,47,73,55,41,14,9,4,247,96,76,112,125,156,141,148,132,51,1029,702,664,1520,1376,1532,1573,1192,801,318,9686
LGA13660,0,20,45,47,66,66,23,15,6,292,0,7,25,34,45,25,5,12,0,154,0,0,25,18,23,12,7,0,0,87,0,0,4,21,28,18,13,0,0,79,0,3,13,19,28,14,0,0,0,80,0,0,4,0,16,20,7,3,0,51,44,26,45,58,76,127,100,83,43,591,248,229,440,520,737,739,773,441,155,4280
LGA13800,28,448,1173,931,1180,832,351,82,10,5038,6,202,836,788,862,570,171,26,11,3478,5,77,650,740,797,516,111,23,3,2922,0,46,318,526,625,374,88,14,3,1984,0,20,350,713,788,522,107,18,4,2532,3,12,63,240,368,214,64,25,5,998,450,349,592,557,772,585,536,331,191,4360,4580,4387,8030,8115,9554,7833,5571,2640,1010,51718
LGA13850,3,14,32,26,43,38,19,7,3,194,0,5,23,28,29,21,3,4,0,116,0,0,17,15,30,19,5,0,0,78,0,0,7,6,20,9,0,0,0,46,0,0,9,16,23,10,7,9,0,67,0,3,3,7,11,7,0,3,0,36,28,18,52,32,60,48,70,55,21,381,173,150,297,277,461,424,358,233,60,2431
LGA13910,0,75,174,196,250,193,97,26,15,1026,3,18,109,127,137,103,32,13,5,545,0,13,70,113,107,101,32,10,4,454,0,3,37,79,82,66,21,3,0,299,0,3,44,102,111,59,22,18,3,357,0,6,14,34,70,54,37,17,0,222,173,75,143,155,198,232,267,186,85,1521,1148,899,1683,2018,2439,2535,2396,1254,516,14883
LGA14000,18,763,2026,1759,1808,1526,861,317,135,9215,3,294,1564,1650,1610,1275,544,178,78,7192,8,126,1357,1718,1663,1170,457,141,46,6679,3,35,856,1522,1452,1040,299,73,38,5321,6,25,1218,3475,3031,1853,440,101,40,10189,6,5,326,2112,2655,1369,340,78,32,6918,465,373,703,876,902,711,670,807,1105,6615,9677,8372,14697,20695,21080,17202,12158,7073,3841,114796
LGA14100,3,42,134,98,140,134,107,50,32,735,0,33,140,101,110,103,75,18,14,590,0,11,116,127,145,104,66,31,16,615,3,7,83,111,93,82,50,22,15,471,0,3,140,228,223,187,119,32,9,938,3,3,74,454,579,328,185,55,24,1701,93,58,98,103,123,120,108,137,271,1117,1162,686,1134,1699,2004,1640,1425,856,746,11350
LGA14170,22,1090,4871,2703,2109,1586,717,169,50,13316,4,510,4006,2469,1843,1254,468,83,30,10671,3,189,3406,2675,1973,1250,354,65,18,9935,3,71,2172,2341,1731,1019,260,46,14,7651,3,56,3409,5112,3535,1767,434,53,13,14388,10,27,1264,4598,3651,1530,397,63,25,11563,598,1136,3533,2703,2036,1570,1159,858,665,14250,6783,12739,36902,31754,25239,18512,12191,6838,3170,154128
LGA14200,3,45,191,173,214,181,68,23,11,900,0,22,91,89,96,91,35,10,3,441,0,3,52,92,111,53,9,3,5,324,0,3,35,56,77,67,20,7,3,257,0,3,26,63,73,47,15,3,0,233,3,5,11,22,32,37,14,15,0,134,146,77,157,150,190,249,238,173,96,1473,1042,898,1710,1754,2064,2192,1921,1165,408,13158
