LGA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
LGA10850,289,9,0,304,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,5,0,0,5,10,0,0,0,9,0,0,0,9,0,0,9,269,21,8,4,294,0,0,0,300,9,0,308,51,6,0,0,58,4,0,4,61,7,0,70,0,0,0,0,0,0,0,0,0,0,0,0,322,28,10,3,359,4,0,4,364,17,3,379,70,3,0,0,76,0,0,0,74,3,0,79,90,5,0,0,104,3,0,3,107,3,0,104,3,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,165,8,4,0,182,3,0,3,180,6,0,190,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,169,8,4,0,182,3,0,3,187,6,0,191,23,4,0,0
LGA10900,2616,117,4,2732,8,0,0,0,9,0,0,0,14,5,0,19,67,9,0,4,84,4,0,3,87,6,0,91,69,13,0,7,92,6,0,5,101,11,0,107,2285,314,37,22,2664,36,14,51,2718,126,4,2846,670,80,16,11,773,12,5,16,792,63,0,853,5,0,0,3,4,0,0,0,4,5,5,16,2963,396,54,37,3448,49,17,66,3509,191,7,3710,550,75,11,0,637,3,3,5,643,40,0,681,797,98,13,12,923,10,4,8,934,23,3,958,36,0,3,0,39,0,0,0,39,3,0,43,6,0,0,3,6,0,0,0,6,0,0,8,1392,173,29,17,1610,13,3,20,1624,60,3,1689,11,3,0,0,15,0,0,0,15,0,0,12,32,0,0,0,34,0,0,0,34,3,0,33,41,3,0,0,45,0,0,0,46,6,0,48,1427,175,28,21,1652,13,6,20,1673,66,3,1741,303,46,3,4
LGA10950,75,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,5,0,5,78,3,0,3,76,3,0,83,16,3,0,0,19,4,0,4,24,5,0,32,0,0,0,0,0,0,0,0,0,0,3,3,90,10,0,3,98,8,0,8,106,8,4,112,23,3,0,0,25,0,0,0,23,0,0,23,30,9,0,0,36,3,0,3,34,3,0,37,0,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,44,11,5,0,61,4,0,4,62,3,0,61,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,47,11,5,0,63,5,0,5,63,3,0,64,6,0,0,0
LGA11100,1444,32,0,1474,15,0,0,0,16,3,0,3,22,0,0,27,22,9,0,5,38,3,0,3,38,3,0,39,43,9,0,5,55,7,0,8,65,3,0,69,1259,166,20,26,1472,31,3,37,1505,30,3,1539,330,69,4,10,411,10,5,13,424,75,0,500,4,0,0,3,3,0,0,0,3,0,4,12,1595,236,22,36,1890,37,6,46,1936,109,13,2055,328,33,5,0,369,6,0,8,373,13,0,389,334,34,3,3,381,7,0,4,387,16,0,402,8,0,3,0,9,0,0,0,9,0,0,11,7,0,0,0,9,0,0,0,9,0,0,9,678,69,10,9,759,14,3,15,772,27,3,808,6,3,0,0,8,3,3,5,15,0,0,15,20,4,0,0,23,0,0,0,24,0,0,27,27,6,0,0,28,3,3,5,32,0,0,36,707,74,10,9,789,12,8,19,809,32,3,845,154,35,0,4
LGA11150,85,4,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,0,0,85,0,0,0,85,4,0,89,11,0,0,0,11,3,0,6,15,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,83,9,0,0,95,8,0,7,103,13,0,116,18,3,0,0,21,0,0,0,23,0,0,23,16,0,0,0,17,0,0,0,17,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,42,0,0,0,41,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,42,0,0,0,41,0,0,43,3,0,0,0
LGA11200,41,13,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,31,6,0,0,36,3,0,4,42,13,0,56,3,0,0,0,3,0,0,3,10,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,42,4,4,6,49,19,0,68,8,0,0,0,8,0,0,0,8,4,0,6,3,0,0,0,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,12,0,0,0,13,3,0,16,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,6,0,0,6,8,3,0,0,18,3,0,3,21,7,0,24,4,0,0,0
LGA11250,369,25,0,395,4,0,0,0,4,5,0,5,9,0,0,9,12,0,0,0,8,0,0,0,14,0,0,14,13,0,0,0,13,9,0,9,18,0,0,18,329,20,3,12,365,14,3,23,391,25,0,411,76,14,8,10,104,8,3,10,116,37,0,149,0,0,0,0,0,0,0,0,0,0,3,3,398,40,7,22,469,25,6,34,501,63,3,572,93,4,4,0,106,7,0,7,111,7,0,116,83,3,3,4,98,3,0,3,100,8,0,105,5,0,0,0,5,0,0,0,7,0,0,11,0,0,0,3,3,0,0,0,7,0,0,3,186,9,7,4,209,6,0,12,224,16,0,240,5,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,8,0,0,0,8,0,0,8,194,15,7,4,216,6,0,12,233,16,0,248,34,3,0,0
LGA11300,861,35,4,900,10,0,0,0,12,0,0,3,16,0,0,16,24,0,0,0,32,0,3,4,33,0,0,31,35,0,0,0,41,3,4,5,48,0,0,46,751,105,15,12,879,23,14,36,912,31,4,950,198,51,6,5,262,10,5,16,279,52,0,331,0,0,0,3,3,0,0,0,3,0,0,6,949,154,16,23,1137,32,15,50,1193,84,4,1283,198,25,5,0,227,9,0,10,241,12,0,256,209,36,0,4,255,5,4,11,265,9,0,270,4,0,3,0,12,0,0,0,12,0,0,12,4,0,0,3,10,0,0,0,10,0,0,7,417,60,6,8,501,15,3,23,521,27,0,551,0,0,0,0,0,0,0,0,5,0,0,5,4,0,0,0,9,0,0,0,11,0,0,11,5,0,0,0,7,0,0,3,9,0,0,9,426,61,7,8,511,20,6,26,534,27,0,563,93,21,5,4
LGA11350,846,48,3,900,4,0,0,0,8,4,0,4,6,0,0,6,5,3,0,3,12,0,3,3,20,0,0,21,12,10,0,3,23,4,3,7,24,0,0,29,582,227,14,25,850,20,3,24,878,51,3,928,133,46,11,3,193,7,3,11,202,37,3,240,0,4,0,0,3,0,0,0,3,0,0,3,718,276,25,29,1045,25,7,33,1081,89,6,1173,135,43,0,0,180,0,0,3,181,8,0,191,205,81,9,3,295,5,0,9,298,23,0,321,3,4,4,0,18,0,0,0,18,0,0,18,3,0,0,5,9,0,0,0,7,0,0,12,350,126,13,7,500,6,0,9,506,30,0,540,0,3,0,0,6,0,0,0,6,0,0,6,4,3,0,0,9,3,0,3,13,0,0,9,4,3,0,0,13,3,0,3,18,0,0,19,357,131,13,11,511,11,0,12,524,29,0,557,55,30,3,0
LGA11400,591,20,0,609,4,0,0,0,4,0,0,0,4,0,0,4,10,0,0,0,10,3,0,3,9,0,0,9,14,0,0,0,14,3,0,3,18,0,0,18,513,59,14,14,599,5,0,5,605,20,0,627,86,17,9,8,117,6,0,11,120,19,0,142,0,0,0,0,0,0,0,0,0,0,4,4,599,82,17,19,713,16,0,12,727,39,4,774,128,10,0,3,141,5,0,5,147,12,0,156,166,17,0,5,193,0,3,3,193,3,0,196,3,3,3,0,7,0,0,0,10,0,0,9,0,0,0,0,3,0,0,0,3,0,0,3,302,28,6,13,343,8,3,7,354,14,0,369,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,6,0,0,6,5,0,0,0,5,0,0,0,12,0,0,12,305,28,6,13,353,7,3,8,357,14,0,378,45,3,4,3
LGA11450,3645,54,0,3703,38,3,0,0,40,0,0,0,40,5,0,44,93,9,3,4,108,0,0,0,108,7,0,110,129,7,3,5,145,0,0,0,147,8,0,153,3378,286,55,48,3767,21,6,30,3797,57,0,3860,897,65,15,25,1000,12,3,17,1018,81,4,1101,0,0,0,8,10,0,0,0,10,0,6,11,4278,347,64,82,4779,35,12,47,4822,135,14,4973,832,63,6,9,909,9,0,10,919,29,0,947,943,80,5,8,1044,10,0,12,1048,21,3,1077,35,0,11,0,44,0,0,0,44,3,0,44,22,0,0,22,47,0,0,0,47,0,0,46,1828,145,25,40,2043,18,0,18,2062,49,9,2113,11,4,0,0,19,0,0,0,17,0,0,17,44,3,0,3,53,0,0,0,52,4,0,57,62,4,0,0,71,0,0,0,72,4,0,71,1889,153,25,45,2114,21,3,22,2138,46,9,2190,406,39,4,7
LGA11500,4137,248,9,4392,113,19,0,0,137,22,3,24,164,10,0,169,198,32,0,3,237,18,3,30,264,12,3,283,309,49,3,7,372,47,8,51,422,21,3,451,3747,520,66,69,4402,128,29,160,4563,269,11,4841,1905,388,33,81,2407,79,23,101,2515,512,3,3027,17,0,0,4,15,3,0,3,20,9,37,67,5669,913,102,151,6828,209,56,260,7093,796,51,7936,980,118,10,16,1129,15,10,31,1158,93,0,1247,918,141,14,13,1092,11,9,20,1115,79,3,1197,36,7,8,0,54,0,0,0,54,3,0,58,16,5,0,17,36,3,0,3,39,8,0,45,1953,276,34,40,2312,33,22,50,2361,178,3,2543,64,17,0,0,83,14,3,18,96,3,0,100,73,13,0,7,90,7,3,7,97,11,0,108,137,30,0,4,168,18,3,26,195,15,0,206,2084,308,34,47,2478,50,22,80,2556,192,7,2748,842,180,8,45
LGA11520,2760,62,0,2828,16,0,0,0,17,3,0,3,24,0,0,20,75,8,3,0,85,6,4,12,94,0,0,95,90,12,3,0,101,13,4,17,115,0,0,122,2537,223,25,27,2811,59,10,71,2880,62,0,2948,649,90,11,4,756,13,8,15,771,81,5,855,0,0,0,3,9,0,0,0,9,0,3,9,3189,317,35,35,3574,68,14,85,3661,146,8,3812,577,44,3,3,624,13,3,15,640,25,0,663,651,72,8,9,740,13,3,17,754,23,0,784,21,0,3,0,24,0,0,0,24,3,0,26,10,0,0,3,7,0,0,0,7,0,0,10,1260,113,13,14,1398,27,5,35,1433,54,5,1484,13,0,0,0,20,3,0,3,19,0,0,19,26,7,0,0,36,9,0,9,37,0,0,37,43,5,0,0,52,10,0,10,58,0,0,58,1302,116,13,14,1449,37,5,41,1492,54,5,1544,272,41,3,6
LGA11570,8382,512,22,8912,104,40,6,3,151,36,4,47,194,17,0,214,284,111,3,15,410,37,15,58,463,25,0,493,387,145,8,15,557,74,22,100,659,43,0,706,7215,1221,104,182,8721,235,78,321,9035,552,26,9618,4435,1684,114,283,6513,359,79,436,6951,1694,60,8707,32,21,0,20,68,3,0,3,74,19,107,201,11682,2925,212,487,15305,594,156,752,16063,2265,195,18526,1836,243,15,16,2111,64,21,91,2204,159,6,2365,1960,396,18,23,2398,53,20,70,2472,163,0,2637,45,18,19,0,83,0,0,0,80,7,0,94,49,20,0,41,111,0,0,0,113,6,0,121,3889,673,56,83,4702,122,40,165,4869,337,10,5213,79,33,0,0,108,23,3,28,137,5,0,142,140,55,0,6,201,15,17,31,237,35,5,271,217,90,0,5,312,43,17,58,368,38,5,415,4104,756,57,91,5017,162,62,221,5241,375,12,5629,1987,758,48,144
LGA11600,88,3,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,6,7,91,0,0,0,91,3,0,93,15,4,0,0,22,0,0,0,22,4,0,24,3,0,0,0,3,0,0,0,3,0,0,3,94,5,3,8,119,0,0,0,119,11,0,128,25,3,0,0,29,0,0,0,29,0,0,28,29,4,3,0,31,0,0,0,31,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,3,0,59,0,0,0,59,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,3,0,64,0,0,0,64,4,0,62,13,3,0,0
LGA11650,9867,427,15,10312,83,14,0,0,99,14,0,12,113,19,0,127,327,37,8,6,369,23,0,18,388,16,0,405,406,50,7,3,470,33,0,37,506,31,0,533,8830,1011,181,150,10158,163,45,208,10369,453,15,10844,2599,333,83,73,3080,99,13,112,3193,412,7,3608,18,4,0,10,36,0,0,0,36,3,20,54,11442,1338,263,228,13277,263,58,322,13596,869,43,14510,1851,240,27,20,2138,29,7,38,2173,128,0,2303,3108,323,45,23,3504,39,16,49,3558,118,4,3682,89,11,25,0,125,3,4,7,134,6,0,138,27,3,0,28,61,0,0,0,61,7,7,66,5081,574,94,76,5829,70,25,98,5922,257,9,6191,63,6,3,3,72,4,0,5,79,9,0,88,148,17,0,3,166,8,0,8,176,18,0,195,211,20,3,7,238,17,0,18,251,25,0,280,5290,594,97,80,6064,85,27,114,6176,281,9,6469,1196,170,35,33
LGA11700,30,3,0,33,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,23,3,0,0,25,0,3,3,27,3,0,31,7,3,0,0,13,3,0,3,14,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,41,3,3,5,40,12,0,58,3,0,0,0,7,0,0,0,7,0,0,7,3,0,0,0,3,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,10,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,10,6,0,10,4,0,0,0
LGA11720,1517,80,3,1606,9,3,0,0,15,11,0,11,22,12,0,32,35,7,0,0,48,0,0,0,44,10,0,53,41,12,0,0,56,13,0,13,69,15,0,82,1321,163,37,27,1546,42,0,47,1590,98,3,1694,514,78,5,18,608,33,6,40,648,152,0,800,7,0,0,0,7,0,0,0,7,0,8,12,1836,232,43,47,2161,76,3,86,2244,249,14,2504,257,21,8,0,289,14,0,14,305,22,0,328,421,60,9,4,491,16,0,16,508,24,0,533,17,0,7,0,29,0,0,0,29,3,0,27,5,0,0,6,14,0,0,0,14,0,0,14,697,83,24,17,818,32,0,32,852,50,0,896,4,3,0,0,7,9,0,9,12,4,0,17,20,4,0,6,28,0,0,0,28,9,0,39,25,5,0,6,38,9,0,9,42,10,0,53,722,88,24,19,854,34,0,34,891,60,0,952,206,38,8,6
LGA11730,1117,76,3,1198,14,0,0,0,14,9,3,11,28,3,0,37,34,4,0,0,42,10,3,13,55,0,3,56,53,5,0,0,56,18,4,23,81,4,3,94,926,186,11,21,1147,45,7,54,1202,85,4,1287,311,67,10,10,394,16,7,25,417,115,0,533,3,7,0,0,7,0,0,0,7,0,0,6,1238,253,22,31,1550,58,13,76,1624,195,7,1827,248,43,0,4,288,9,0,11,299,22,0,317,308,70,11,3,391,3,3,11,398,28,0,430,10,0,3,0,10,0,0,0,10,3,0,14,5,3,0,0,13,3,0,3,11,0,4,15,568,118,14,9,705,13,3,21,722,52,6,778,8,3,0,0,7,4,0,3,19,3,0,16,13,0,0,0,15,3,0,3,19,3,0,24,22,0,0,0,23,11,0,10,37,3,0,39,586,123,14,9,727,23,7,28,762,56,6,822,145,25,3,3
LGA11750,152,5,0,157,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,138,7,7,3,157,0,0,0,155,5,0,161,68,4,5,4,76,0,0,0,83,13,0,92,0,0,0,0,0,0,0,0,0,0,0,5,211,10,12,8,242,0,0,0,240,19,0,262,29,4,0,0,30,0,0,0,30,0,0,30,30,3,0,0,33,0,0,0,33,0,0,33,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,62,6,0,0,69,0,0,0,69,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,5,0,0,0,5,0,0,0,5,0,0,5,64,6,0,0,75,0,0,0,75,0,0,75,25,0,0,0
LGA11800,2122,111,5,2231,12,6,0,0,24,10,3,7,33,0,0,29,41,3,4,0,49,12,8,17,71,3,0,69,54,8,4,0,75,19,11,25,103,3,0,104,1750,320,35,30,2137,50,28,82,2218,113,5,2336,479,83,3,16,586,20,7,23,606,123,0,736,0,0,0,3,8,3,0,3,9,0,7,16,2234,409,36,52,2731,70,35,105,2837,240,17,3089,404,58,3,0,473,11,3,13,485,37,0,526,583,119,11,10,721,8,3,10,729,37,0,776,17,0,8,0,24,0,0,0,24,0,0,25,5,0,0,7,12,0,0,0,14,0,0,15,1004,176,18,17,1223,19,11,31,1253,82,3,1338,7,3,0,0,13,9,0,9,16,0,0,16,27,0,4,0,33,3,0,10,37,4,0,42,33,4,4,0,39,16,0,16,59,4,0,59,1042,182,23,16,1266,36,11,42,1310,82,3,1397,174,35,5,10
LGA12000,126,3,0,128,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,0,4,4,3,0,0,3,108,18,0,0,131,0,4,7,132,3,0,134,43,3,0,0,44,4,0,4,51,9,0,56,0,0,0,0,0,0,0,0,0,0,0,0,152,20,0,5,178,8,4,6,181,7,0,191,32,10,0,0,44,0,0,0,44,0,0,44,48,0,0,0,53,0,0,0,53,3,0,52,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,79,11,0,8,95,0,0,0,95,3,0,97,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,81,11,0,8,94,0,0,0,96,0,0,103,20,3,0,3
LGA12150,83,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,6,0,3,85,0,4,4,91,3,0,92,15,0,0,0,14,4,0,4,21,14,0,35,0,0,0,0,0,0,0,0,0,0,0,0,87,10,3,3,103,4,4,4,113,15,3,128,27,3,0,0,28,0,0,0,28,0,0,34,25,0,0,0,23,0,0,0,23,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,54,0,0,3,57,0,0,0,57,4,0,59,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,54,0,0,3,59,3,0,3,63,4,0,64,3,0,0,0
LGA12350,326,15,0,336,3,0,0,0,3,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,5,282,34,3,5,328,3,0,3,333,16,0,346,78,3,0,9,91,5,0,6,98,18,0,118,0,0,0,0,0,0,0,0,0,5,0,5,357,42,3,12,414,11,3,11,432,36,0,464,85,0,0,0,92,0,0,0,93,3,0,96,111,23,0,3,136,0,0,0,136,3,3,146,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,206,27,5,0,233,0,0,0,239,7,3,249,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,9,0,0,9,3,0,0,0,9,0,0,0,5,0,0,11,205,27,5,3,239,3,0,3,246,11,3,257,43,4,0,0
LGA12380,4923,286,13,5227,157,29,5,9,198,26,10,36,228,10,0,244,199,50,4,14,264,32,12,47,304,17,0,328,356,81,3,19,457,65,16,79,535,31,0,568,4361,729,53,115,5257,161,47,205,5461,317,15,5796,2897,1195,67,187,4352,243,88,330,4682,1361,54,6094,33,9,0,19,62,0,3,4,68,6,54,126,7294,1935,116,321,9673,404,139,538,10209,1684,123,12021,1034,137,11,3,1193,36,8,44,1238,94,3,1329,997,214,5,11,1226,24,8,26,1255,84,3,1339,27,9,10,0,45,3,0,3,49,6,0,53,16,5,0,29,53,0,0,0,53,8,3,66,2078,366,25,42,2512,62,16,77,2591,185,9,2789,60,15,0,0,71,20,0,19,89,10,0,100,101,32,4,4,141,17,12,31,171,3,0,172,160,46,3,4,215,34,12,45,262,15,0,271,2234,415,25,46,2727,97,29,124,2855,195,10,3062,1139,485,30,93
