LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA16400,31,225,1897,8471,7646,1343,247,439,20298,7,116,1064,650,53,0,3,78,1972,0,50,213,972,285,15,4,24,1559,7,166,1276,1628,344,15,7,100,3534,0,101,157,74,13,3,0,37,389,0,17,86,56,3,0,0,4,166,0,7,194,103,8,3,0,8,328,3,0,3,11,0,0,0,0,16,5,125,446,249,28,11,3,48,908,34,158,165,73,19,3,4,136,591,3,20,33,24,17,3,0,20,120,72,693,3812,10444,8048,1381,257,746,25452
LGA16490,33,215,1044,5326,6030,1408,333,277,14664,0,127,796,557,51,8,0,53,1581,5,81,565,509,46,3,0,35,1238,5,209,1362,1060,98,9,3,83,2819,20,413,416,59,9,0,3,26,945,3,128,322,17,3,0,0,11,490,0,212,659,43,0,0,3,18,933,0,8,3,3,0,0,0,0,8,29,760,1397,118,10,3,3,57,2374,8,28,23,16,6,0,0,8,94,3,6,14,17,8,3,5,7,77,71,1211,3842,6545,6149,1426,346,436,20023
LGA16550,17,100,994,4997,4634,1758,553,260,13319,45,117,1134,1612,334,64,13,81,3396,12,156,801,2399,1217,188,32,105,4912,54,275,1939,4012,1546,249,47,185,8305,195,1166,2736,1068,119,35,16,283,5616,123,2585,8743,1818,72,26,4,397,13773,203,1981,4820,1303,64,25,5,250,8645,3,33,16,8,6,3,0,0,75,526,5763,16314,4196,260,91,27,931,28104,7,105,166,100,36,9,3,16,452,3,33,34,33,25,12,4,50,194,608,6277,19447,13340,6507,2120,638,1441,50374
LGA16610,31,126,1015,3510,1959,292,60,190,7179,6,29,144,126,9,3,0,17,334,0,19,58,61,7,3,0,0,149,7,47,196,185,14,6,3,17,479,4,82,380,110,17,0,0,38,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85,380,110,17,0,0,38,637,41,76,50,20,10,3,3,15,217,0,4,7,11,3,3,3,0,30,81,341,1647,3838,2003,305,69,259,8549
LGA16650,19,140,2005,7687,4162,1289,343,404,16052,16,116,1585,1511,82,15,6,88,3414,8,69,320,1165,382,44,9,46,2045,26,176,1908,2677,466,52,20,130,5457,31,335,715,137,22,3,3,54,1294,30,326,2933,386,10,3,0,115,3808,44,1416,7771,1223,30,4,0,274,10766,3,33,26,20,8,0,0,3,91,109,2105,11441,1767,72,7,9,445,15957,11,95,130,64,11,7,0,17,334,0,29,55,23,4,7,6,23,150,163,2542,15538,12219,4718,1364,374,1023,37956
LGA16700,22,132,1690,7800,6563,2319,644,353,19528,19,138,710,1531,100,10,4,66,2584,7,349,1704,1475,472,51,20,80,4153,29,485,2413,3009,574,64,22,148,6739,20,462,592,191,19,6,4,41,1341,27,1254,4772,411,19,4,3,173,6673,47,1972,3798,699,34,0,0,92,6643,0,3,10,3,0,0,0,0,22,100,3694,9175,1309,71,12,8,310,14676,8,23,48,32,0,3,0,3,115,0,29,77,36,13,8,4,43,203,156,4358,13396,12183,7225,2413,681,859,41267
LGA16900,12,94,763,9047,7094,1359,224,350,18944,8,76,808,678,30,3,0,54,1656,3,123,530,779,136,11,0,61,1642,12,201,1333,1458,163,20,3,116,3305,3,159,551,149,25,4,0,25,912,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,3,156,556,154,25,4,0,25,931,8,103,181,24,6,0,0,23,351,0,6,57,24,12,0,0,11,112,40,569,2892,10711,7297,1383,225,528,23643
LGA16950,40,481,3864,15115,10751,1934,391,793,33364,11,200,1079,543,45,3,3,94,1981,0,100,260,202,15,7,0,23,608,13,305,1340,743,61,8,4,113,2585,12,160,424,221,23,3,4,65,921,0,4,11,3,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,11,13,176,438,231,27,3,4,65,963,39,224,514,121,31,3,0,65,1002,12,41,65,76,32,17,0,31,277,123,1230,6228,16281,10900,1970,400,1061,38187
LGA17000,28,51,449,2759,2789,513,88,116,6790,3,21,117,210,18,3,0,14,375,0,20,98,54,5,0,0,3,182,3,35,220,262,25,3,0,17,558,4,50,133,59,3,0,0,14,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,52,133,61,3,0,0,14,269,13,36,9,7,7,0,0,3,63,0,8,11,9,9,0,3,5,53,42,174,817,3101,2832,516,93,154,7741
LGA17040,28,149,849,3019,1691,397,115,150,6402,0,29,77,45,6,0,0,12,172,0,21,53,79,9,3,0,7,177,0,50,128,125,19,3,4,22,342,3,66,147,58,9,0,0,44,332,0,14,18,11,4,0,0,0,50,0,14,3,3,7,0,0,0,27,0,0,0,0,0,0,0,0,4,8,89,169,77,26,0,0,51,414,10,33,30,18,14,0,0,10,111,5,35,51,43,24,3,38,45,244,51,362,1223,3276,1773,402,160,269,7518
