LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA14750,29,28,11,10,0,0,97,0,16,18,17,22,6,5,0,75,40,165,173,122,100,52,15,3,663,23,77,100,89,91,54,30,7,480,174,339,283,344,282,134,53,3,1618,37,27,22,26,18,11,0,0,134,13,13,29,47,46,27,9,0,192,231,380,330,420,352,174,61,7,1946,3,8,8,3,14,13,5,0,50,179,131,143,186,176,190,164,82,1243,482,784,796,861,759,503,280,98,4557
LGA14850,198,199,248,151,30,8,981,8,51,135,170,199,122,21,10,722,172,768,1064,926,953,426,166,45,4517,109,340,506,666,726,384,110,40,2885,653,1222,1189,1358,1300,695,248,89,6739,154,112,89,111,92,42,5,0,604,54,91,117,180,213,153,57,21,890,861,1428,1391,1652,1599,889,309,112,8239,12,21,23,35,71,60,42,14,275,595,447,446,557,732,552,403,271,3993,1767,3179,3769,4200,4532,2587,1072,494,21610
LGA14870,37,56,67,31,12,0,231,0,13,38,33,59,32,3,0,189,40,212,208,194,224,162,49,26,1107,46,158,194,253,253,163,71,11,1153,368,651,594,741,607,412,179,52,3604,54,59,52,55,36,25,7,0,293,26,43,40,75,92,80,30,9,398,453,752,690,867,741,517,209,64,4292,3,9,9,20,30,30,12,4,127,347,410,377,398,422,476,291,113,2836,896,1581,1552,1820,1789,1416,650,219,9919
LGA14900,1519,852,526,189,26,9,4952,60,325,397,251,176,88,11,0,1302,1942,5876,4850,3035,1929,747,195,38,18632,1427,3536,3700,2980,1630,640,213,42,14169,2331,4882,4877,4723,2825,1604,634,159,22026,293,403,446,381,207,72,11,3,1822,259,515,724,776,557,290,85,38,3240,2882,5800,6047,5878,3592,1964,729,198,27090,103,292,323,347,249,123,59,20,1508,2525,2684,2531,2324,2065,1546,990,446,15109,9130,20158,19363,15667,10172,5295,2224,759,82767
LGA14920,14,8,4,11,3,4,53,0,4,7,9,11,10,0,3,47,18,100,81,55,73,42,16,4,388,8,56,74,89,83,63,18,3,397,89,210,187,219,204,112,50,9,1080,12,28,22,23,8,9,5,0,114,11,15,31,22,32,19,8,0,141,119,249,235,261,245,141,69,12,1330,3,0,4,9,3,10,5,0,45,120,82,88,130,172,153,112,43,898,263,507,507,564,597,427,225,66,3151
LGA14950,9,4,11,11,0,0,32,0,3,3,8,9,3,0,0,28,7,38,47,39,29,18,9,3,180,9,21,29,33,53,20,10,0,178,42,64,86,120,112,52,29,6,503,6,6,8,5,12,3,0,0,43,3,6,6,10,24,9,0,0,56,48,75,103,138,141,62,34,8,603,0,0,0,0,3,3,4,0,13,54,17,22,49,48,52,60,33,331,118,159,212,266,285,165,110,41,1371
LGA15050,312,306,238,106,34,3,1260,13,116,172,185,197,73,24,4,784,296,1523,1456,954,807,418,168,33,5653,304,1041,1209,1139,901,431,151,50,5226,1499,3492,2884,2561,1824,1083,422,122,13886,253,212,180,132,124,58,12,0,972,111,159,202,279,299,182,81,26,1334,1862,3862,3267,2970,2249,1318,520,146,16197,17,63,65,79,97,61,23,14,422,609,670,623,673,666,737,561,308,4841,3109,7525,7106,6290,5156,3146,1480,562,34372
LGA15240,179,171,282,246,72,14,1076,5,75,123,167,291,190,46,13,906,144,759,942,927,1264,1034,374,109,5552,176,574,827,1187,1451,1186,475,137,6012,1073,1934,2285,2972,3176,2517,1241,345,15546,227,196,198,208,209,151,31,11,1234,110,162,238,373,531,560,215,80,2276,1413,2290,2727,3552,3914,3235,1494,431,19050,21,25,53,73,165,199,101,33,662,928,566,705,1105,1511,1994,1530,903,9238,2689,4399,5550,7179,8876,8083,4087,1643,42504
LGA15270,66,41,61,42,13,3,260,0,27,45,47,57,32,8,0,216,53,374,373,286,258,194,59,13,1610,45,201,252,286,273,165,70,18,1307,375,854,785,859,621,409,183,38,4121,71,62,43,52,54,29,4,4,319,25,48,56,106,99,92,23,10,448,464,961,884,1016,778,527,212,52,4888,4,19,19,23,32,29,16,6,141,344,283,324,430,463,503,298,93,2745,917,1902,1960,2126,1920,1488,677,188,11165
LGA15300,33,23,23,8,0,0,114,0,30,23,22,19,12,3,0,106,42,266,209,133,103,44,16,3,819,32,117,144,146,123,63,23,6,657,188,346,320,312,266,135,55,12,1635,29,28,27,29,12,16,0,0,131,18,26,37,52,30,14,9,3,181,226,402,383,394,306,162,66,10,1947,3,17,10,8,9,12,3,0,63,276,244,252,303,261,243,170,47,1806,584,1105,1061,1041,847,540,287,66,5519
LGA15350,831,819,583,400,116,40,3317,4,106,143,177,145,109,29,5,723,344,1495,1621,1587,1127,776,344,137,7415,60,317,413,464,372,391,205,92,2308,74,206,203,193,171,119,76,38,1070,9,8,19,17,26,27,6,3,119,15,32,52,70,83,108,49,27,441,92,247,279,276,282,254,129,61,1632,9,37,46,44,50,76,29,23,313,211,306,321,305,273,271,202,198,2102,739,3022,3656,3671,2832,2278,1060,550,17816
LGA15520,27,22,18,12,5,0,103,3,33,20,23,16,11,0,0,112,40,182,191,143,122,61,20,3,763,22,116,120,152,158,97,31,15,708,127,313,270,357,325,249,98,25,1757,18,21,18,19,19,5,3,0,107,14,16,24,36,33,32,12,6,168,159,348,309,408,372,290,113,32,2033,0,3,0,6,8,9,7,4,41,118,96,95,158,240,249,235,84,1270,344,805,765,914,932,726,408,136,5026
LGA15560,6,5,11,3,0,0,28,0,10,6,9,0,5,0,0,25,12,70,66,44,27,13,8,0,227,9,34,44,35,34,22,14,3,191,59,111,98,98,73,41,21,8,514,5,3,6,0,3,4,3,0,30,0,16,9,22,15,9,0,0,68,70,128,116,121,90,51,19,8,608,0,0,0,4,6,3,0,0,19,64,55,61,74,77,62,45,7,453,158,298,301,284,250,160,88,20,1549
LGA15650,43,35,18,8,0,0,137,0,14,25,20,24,4,3,3,99,38,219,171,139,96,56,13,8,746,35,156,163,192,127,54,21,10,757,310,728,575,610,373,178,53,9,2831,52,57,45,38,20,5,0,0,218,16,37,35,68,39,30,11,0,238,375,822,647,715,432,218,65,11,3284,7,11,9,17,16,12,6,3,68,197,276,238,242,221,172,131,47,1516,652,1521,1297,1361,934,529,239,81,6619
LGA15700,24,47,59,45,14,0,210,0,22,28,45,62,42,14,0,207,31,164,221,213,317,238,64,18,1261,40,109,152,230,362,195,79,23,1182,232,423,484,633,735,489,212,67,3273,46,30,50,51,55,35,4,0,272,21,42,45,82,105,101,36,18,456,308,491,574,764,900,622,251,89,4000,4,3,13,23,33,30,11,7,123,246,133,144,284,342,393,329,215,2082,621,934,1149,1607,2065,1562,765,350,9069
LGA15750,27,35,18,9,6,0,125,0,21,17,33,20,6,3,0,101,30,229,190,145,118,54,19,3,795,26,99,127,131,120,64,18,3,597,179,374,367,350,307,168,55,9,1809,19,32,27,26,22,6,0,0,137,10,28,37,51,44,24,9,0,202,212,432,434,423,374,198,68,5,2150,4,4,6,12,4,12,0,0,56,240,173,190,265,262,201,178,95,1599,524,986,992,1047,916,545,300,116,5424
LGA15800,11,5,12,3,0,0,36,0,5,10,9,10,3,0,0,50,17,69,80,61,38,33,10,6,317,9,36,58,58,53,42,16,6,282,79,145,156,124,143,82,31,9,769,10,19,13,17,13,9,0,0,76,9,15,7,20,25,17,0,0,98,105,174,176,160,179,110,33,11,936,0,10,7,5,0,6,0,3,30,89,58,97,91,137,142,102,70,796,225,360,441,387,437,338,172,94,2446
LGA15850,10,10,7,7,0,0,36,3,4,9,12,14,4,0,0,40,13,101,102,73,50,36,9,5,395,19,43,58,69,73,37,14,6,318,113,178,168,168,146,105,41,3,923,15,12,8,21,10,10,4,0,83,11,10,18,17,16,21,7,0,96,139,204,199,204,175,135,56,4,1107,0,0,0,4,7,9,3,0,22,80,65,67,105,139,112,91,45,711,258,432,448,481,453,332,171,55,2631
LGA15900,1756,1287,1034,509,147,37,6561,46,421,533,538,622,262,48,14,2487,1719,6865,4978,3165,2598,1301,475,125,21223,819,2209,2342,2332,1935,1056,421,157,11267,2646,4967,3868,4128,3461,1970,950,382,22368,414,333,246,229,181,104,25,17,1545,236,285,371,507,591,430,180,54,2647,3296,5585,4491,4859,4229,2504,1153,447,26567,89,144,134,144,156,166,86,57,978,1189,1384,1072,1390,1486,1388,1417,1405,10727,7225,18331,15298,13720,12057,7183,3750,2239,79803
LGA15950,2571,1431,1176,793,254,55,9095,21,576,498,356,316,247,60,17,2079,1186,7564,4731,2666,2125,1440,590,169,20458,206,1229,1210,1059,883,741,324,116,5771,202,873,616,471,376,309,144,44,3039,31,49,50,52,52,43,22,10,308,35,104,165,159,212,215,91,34,1013,270,1024,839,682,639,572,254,87,4363,30,134,120,109,115,118,64,26,706,469,1483,1017,707,676,585,344,194,5486,2259,14736,10985,7010,5929,4485,1893,667,47957
LGA15990,4349,3668,2114,1240,415,103,14614,60,621,1223,1201,1062,572,157,40,4938,2310,10046,12591,9664,6084,3511,1422,491,46103,969,3693,5185,5519,3884,2768,1327,485,23826,1956,4535,5067,5478,3974,2755,1550,552,25866,219,227,323,378,273,215,69,35,1729,222,418,772,1213,1137,1047,523,242,5574,2398,5175,6166,7073,5377,4014,2141,826,33170,73,229,394,450,465,438,258,140,2454,1580,2015,2268,2215,2022,2153,1982,1777,16012,7500,24380,32181,29781,21014,14700,7704,3862,141119
LGA16100,9,17,23,12,6,0,69,0,0,15,12,18,8,5,0,51,12,56,60,58,66,55,12,5,309,4,39,51,60,62,52,16,4,286,77,137,130,197,127,105,32,10,809,22,9,11,14,14,5,3,0,80,11,14,13,21,23,23,5,0,111,109,156,154,236,163,131,44,10,997,0,0,0,4,4,5,0,0,17,161,82,83,106,79,142,60,19,728,278,339,367,490,402,410,141,38,2458
