LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA15050,119,28,498,225,136,150,99,150,9,1419,3,5,0,3,6,3,3,9,3,30,21,25,50,23,32,14,42,13,10,227,42,37,109,65,45,46,69,76,73,557,2388,5333,4849,2677,2825,1258,1531,1241,313,22416
LGA15240,118,31,523,202,93,161,57,154,9,1343,3,3,4,8,3,0,0,3,5,32,33,21,25,6,27,14,19,20,7,166,83,53,106,95,57,120,92,143,67,814,2364,4478,3446,2694,2064,1440,889,1578,258,19215
LGA15270,34,11,134,68,29,46,38,33,4,397,3,0,0,0,0,3,0,0,0,7,11,7,13,3,6,4,22,17,0,80,32,19,47,22,23,28,45,38,28,288,950,1205,1339,645,621,339,662,447,77,6284
LGA15300,23,4,53,32,20,11,18,19,3,175,0,0,0,0,0,0,0,3,0,3,3,4,3,3,6,3,5,4,3,28,29,12,20,16,27,17,22,21,20,181,670,681,494,367,372,154,181,214,51,3187
LGA15350,50,20,105,36,30,27,4,13,6,287,0,3,0,3,0,0,0,0,0,14,50,61,4,14,29,24,3,0,9,193,30,37,5,6,23,13,0,6,23,138,2901,5108,504,572,1240,689,62,131,238,11449
LGA15520,26,5,78,31,25,31,4,18,0,222,0,0,0,0,0,0,0,0,0,3,13,9,4,0,3,0,3,3,0,32,31,9,16,18,8,12,6,24,5,129,691,632,447,299,256,154,119,272,32,2900
LGA15560,7,0,13,7,3,3,3,12,0,51,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,15,0,11,3,0,7,4,12,3,52,254,147,132,92,110,40,59,100,8,934
LGA15650,11,3,71,41,20,25,36,28,3,236,0,0,0,0,0,0,0,0,0,3,7,3,16,0,3,0,8,5,0,41,11,5,31,17,6,14,31,30,14,168,406,664,1083,393,413,187,535,314,52,4042
LGA15700,24,5,88,58,21,28,10,34,6,277,0,0,0,0,0,0,0,3,3,11,4,7,3,3,3,0,5,14,3,42,18,11,30,37,9,14,10,49,19,196,482,923,720,670,416,214,172,365,79,4039
LGA15750,23,4,56,29,15,6,12,18,0,161,0,0,0,0,0,0,0,0,0,3,4,8,11,3,0,0,8,0,0,28,33,5,21,6,19,26,33,37,22,214,551,711,578,327,359,140,254,242,67,3229
