LGA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
LGA17150,89331,..,..,..,..,89331,..,104,0,104,0,104,..,936,48,989,7,996,..,7,0,6,0,6,..,822,200,1027,4,1032,..,1054,332,1391,12,1399,..,66,11,76,0,76,..,1941,549,2491,17,2506,..,266,24,294,7,297,..,136,6,143,0,143,..,266,9,280,0,280,..,333,14,347,7,356,..,1850,141,1989,12,2005,..,57,4,61,0,61,..,199,3,205,0,209,..,111,6,114,0,119,..,36,0,36,0,43,..,50,0,46,0,46,..,213,11,224,3,224,..,666,27,693,6,702,..,792,56,846,10,855,..,142,13,160,0,160,..,71,26,99,0,99,..,480,42,527,5,528,..,85,3,91,3,92,..,66,3,70,0,70,..,212,24,236,0,236,..,402,49,453,3,457,..,30,0,30,3,32,..,145,7,151,5,151,..,105,4,105,0,105,..,157,12,167,0,170,..,157,3,160,0,162,..,31
LGA17200,58048,..,..,..,..,58048,..,97,0,94,0,94,..,802,75,881,5,885,..,20,0,20,0,20,..,2164,600,2763,15,2781,..,6907,1662,8570,48,8619,..,571,204,772,3,770,..,9643,2463,12105,65,12172,..,120,4,129,3,131,..,237,3,243,0,241,..,1273,70,1342,16,1357,..,646,15,664,9,673,..,810,146,962,3,964,..,215,13,233,5,236,..,703,7,712,5,714,..,71,0,71,0,66,..,85,3,87,0,87,..,139,3,139,0,139,..,359,15,374,5,376,..,1569,35,1608,11,1621,..,1239,89,1328,7,1337,..,591,121,710,5,717,..,1032,484,1517,13,1532,..,96,6,103,0,103,..,48,4,52,0,52,..,310,13,323,3,331,..,230,19,244,4,247,..,587,190,774,3,779,..,25,0,25,0,29,..,198,10,208,0,207,..,185,5,190,0,195,..,2129,217,2345,16,2359,..,269,4,275,4,274,..,136
LGA17310,25623,..,..,..,..,25623,..,39,0,39,0,39,..,14,0,19,0,19,..,20,4,22,0,22,..,34,20,53,0,53,..,74,72,145,3,150,..,0,0,3,0,3,..,114,91,201,3,201,..,3,0,3,0,3,..,18,0,18,0,19,..,24,0,24,0,24,..,28,0,28,0,28,..,15,0,15,0,15,..,27,3,28,0,28,..,36,3,41,0,40,..,43,3,44,0,47,..,15,0,15,0,15,..,18,3,20,0,20,..,33,0,30,0,30,..,169,16,180,0,181,..,26,4,30,0,30,..,5,0,5,0,5,..,31,79,111,3,110,..,3,0,3,0,3,..,3,0,3,0,3,..,7,0,7,0,7,..,6,0,13,0,13,..,9,3,11,0,11,..,8,0,8,0,8,..,4,0,4,0,4,..,56,0,59,0,56,..,0,0,0,0,0,..,104,3,105,0,105,..,3
LGA17350,2790,..,..,..,..,2790,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0
LGA17400,2817,..,..,..,..,2817,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,19,0,19,0,19,..,3,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA17420,51288,..,..,..,..,51288,..,305,3,310,3,316,..,1290,53,1348,5,1354,..,0,0,0,0,0,..,2180,373,2551,4,2561,..,3480,1179,4662,40,4701,..,172,32,203,0,203,..,5833,1590,7420,43,7459,..,285,27,308,3,310,..,88,0,84,0,84,..,159,4,161,0,161,..,243,3,247,3,251,..,444,23,464,8,471,..,265,3,268,0,268,..,1400,20,1417,8,1430,..,618,48,663,0,665,..,612,23,630,0,633,..,467,13,482,5,492,..,538,15,560,0,560,..,3901,125,4024,23,4048,..,770,49,821,8,823,..,87,12,97,0,97,..,1150,343,1490,11,1499,..,30,0,35,0,35,..,206,14,221,0,225,..,888,102,988,6,1001,..,220,13,227,3,232,..,172,16,183,0,189,..,11,0,11,0,11,..,128,9,145,0,145,..,349,4,348,0,353,..,360,19,378,4,385,..,477,4,488,0,486,..,39
LGA17550,39229,..,..,..,..,39229,..,21,0,21,5,19,..,21,4,25,0,22,..,17,0,17,0,17,..,39,17,54,4,61,..,63,21,83,5,91,..,7,0,7,0,7,..,110,42,147,6,155,..,13,0,10,0,10,..,43,0,44,0,44,..,102,4,108,0,108,..,128,3,136,0,132,..,37,0,38,0,38,..,6,0,6,0,6,..,24,0,26,0,26,..,111,16,131,0,131,..,10,0,10,0,10,..,10,0,17,0,17,..,30,0,33,0,33,..,184,23,207,0,207,..,113,4,115,3,116,..,100,20,118,3,124,..,6,10,14,0,14,..,3,0,3,3,3,..,8,0,8,0,8,..,0,0,0,0,0,..,21,0,16,0,16,..,11,0,15,0,15,..,11,0,11,0,11,..,10,0,10,0,10,..,23,0,23,0,23,..,15,0,15,0,18,..,45,0,45,0,46,..,8
LGA17620,6140,..,..,..,..,6140,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,11,0,15,0,15,..,7,14,22,0,22,..,0,0,0,0,0,..,22,15,33,0,33,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,7,0,7,0,7,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,17,0,17,0,17,..,4
LGA17640,3531,..,..,..,..,3531,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,3,3,..,4,0,4,0,4,..,0,0,0,0,0,..,9,0,9,0,9,..,8,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA17650,2690,..,..,..,..,2690,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0
LGA17750,26558,..,..,..,..,26558,..,49,0,49,0,49,..,129,10,142,0,141,..,14,0,14,0,10,..,50,21,72,0,72,..,81,59,141,3,144,..,15,4,21,0,21,..,142,92,232,3,235,..,10,0,10,0,10,..,14,0,14,0,14,..,30,0,35,0,35,..,35,0,39,0,39,..,44,3,44,0,44,..,46,0,46,0,46,..,72,0,72,0,72,..,34,0,34,0,34,..,47,3,53,0,54,..,34,3,42,0,42,..,77,4,80,0,80,..,310,14,324,0,323,..,37,3,46,0,45,..,9,0,9,0,9,..,14,7,20,0,20,..,0,0,0,0,0,..,3,0,3,0,3,..,30,9,43,0,40,..,9,0,9,0,9,..,7,0,12,0,12,..,13,0,13,0,13,..,8,0,8,0,12,..,76,7,85,0,85,..,7,0,7,0,7,..,89,4,92,0,96,..,19
LGA17850,1358,..,..,..,..,1358,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA17900,2659,..,..,..,..,2659,..,4,0,4,0,4,..,0,0,0,0,0,..,5,0,8,0,8,..,0,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,9,4,9,0,9,..,20,4,22,0,22,..,4,0,4,0,4,..,0,0,0,0,0,..,15,0,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,12,0,12,0,12,..,17,0,17,0,17,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,8,29,0,29,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA17950,1211,..,..,..,..,1211,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA18020,4076,..,..,..,..,4076,..,0,0,0,0,0,..,0,0,3,0,3,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,9,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,15,0,15,0,15,..,9,0,9,0,9,..,0,0,0,0,0,..,0,3,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0
LGA18050,22682,..,..,..,..,22682,..,33,0,37,0,37,..,99,9,110,0,110,..,3,0,3,0,3,..,124,17,137,0,136,..,224,68,289,0,289,..,29,3,35,0,37,..,374,83,455,3,463,..,30,0,35,0,35,..,76,3,76,0,76,..,554,26,576,0,575,..,263,16,281,0,279,..,282,17,295,5,296,..,24,0,30,0,30,..,35,3,40,0,40,..,13,0,18,0,18,..,5,0,5,0,5,..,3,0,3,0,3,..,33,3,36,0,36,..,124,7,133,0,133,..,512,51,558,3,560,..,116,12,127,0,127,..,48,17,62,0,62,..,19,0,24,0,24,..,17,0,15,0,14,..,44,3,43,0,43,..,77,8,90,0,90,..,537,109,644,0,648,..,3,0,3,0,3,..,40,6,48,0,48,..,52,0,52,0,52,..,58,3,63,0,63,..,58,3,61,0,65,..,8
LGA18100,1641,..,..,..,..,1641,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,3,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA18200,3004,..,..,..,..,3004,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,17,3,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,3,0,3,..,29,3,39,0,37,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA18230,20962,..,..,..,..,20962,..,20,0,20,0,20,..,46,0,49,0,49,..,17,0,17,0,17,..,28,19,43,0,43,..,48,20,65,0,69,..,3,0,4,0,4,..,75,37,116,0,116,..,0,0,0,0,0,..,9,0,12,0,12,..,12,3,17,0,17,..,24,0,22,0,22,..,20,0,22,0,22,..,35,0,37,0,38,..,39,3,40,0,40,..,44,0,44,0,44,..,46,0,47,0,47,..,33,9,37,0,37,..,148,3,155,0,155,..,342,14,355,3,360,..,23,0,21,0,21,..,8,0,11,0,11,..,16,11,28,0,28,..,7,0,7,0,7,..,0,0,0,0,0,..,13,0,14,0,14,..,9,0,9,0,9,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,20,3,21,0,21,..,11,0,11,0,11,..,37,3,40,0,40,..,4
LGA18250,20515,..,..,..,..,20515,..,40,0,47,0,47,..,201,21,225,3,233,..,0,0,0,0,0,..,2015,404,2421,12,2432,..,2930,929,3857,23,3884,..,105,34,144,0,139,..,5041,1379,6423,35,6453,..,179,26,205,0,204,..,57,0,55,0,55,..,189,7,193,0,194,..,132,9,140,3,138,..,167,17,181,9,190,..,56,0,57,0,57,..,393,10,404,0,406,..,39,0,39,0,40,..,35,0,35,0,35,..,60,0,57,0,57,..,359,16,371,3,376,..,944,32,970,4,975,..,305,39,342,6,344,..,590,183,772,5,777,..,762,342,1102,16,1115,..,42,3,41,0,41,..,3,0,3,0,3,..,224,23,244,0,243,..,58,6,61,0,61,..,101,13,115,0,115,..,3,0,3,0,3,..,44,4,46,0,46,..,114,3,118,0,113,..,232,12,244,0,244,..,132,6,136,0,136,..,31
LGA18350,20181,..,..,..,..,20181,..,17,0,17,0,17,..,32,3,36,0,35,..,3,0,3,0,3,..,36,19,56,0,52,..,60,41,105,5,111,..,8,14,20,0,20,..,107,77,179,3,186,..,16,0,16,0,16,..,33,0,33,0,33,..,44,0,44,0,44,..,89,3,97,0,97,..,82,5,85,4,89,..,11,0,11,0,11,..,28,0,28,0,28,..,23,0,23,0,23,..,3,0,3,0,3,..,0,0,0,0,0,..,85,5,88,0,88,..,148,4,151,0,151,..,125,10,133,4,137,..,16,3,15,0,15,..,9,4,11,0,9,..,27,0,24,0,24,..,13,0,13,0,13,..,12,0,12,0,12,..,22,7,26,0,26,..,0,0,0,0,0,..,7,0,7,0,7,..,10,0,19,0,15,..,7,0,7,0,7,..,10,0,10,0,10,..,21,0,21,0,21,..,4
LGA18400,21576,..,..,..,..,21576,..,27,0,27,0,27,..,139,14,147,3,153,..,4,0,4,0,4,..,29,16,42,0,42,..,38,16,54,0,54,..,3,3,8,0,8,..,64,34,98,0,101,..,74,6,82,0,82,..,18,0,21,0,21,..,14,0,14,0,14,..,46,0,46,0,46,..,76,15,92,0,91,..,5,0,5,0,5,..,11,0,11,0,11,..,11,0,7,0,7,..,9,0,9,0,9,..,9,0,9,0,4,..,4,0,4,0,4,..,41,0,45,0,49,..,174,8,183,0,183,..,0,0,0,0,0,..,4,0,4,0,4,..,17,3,24,0,24,..,103,4,104,0,109,..,5,0,5,0,5,..,18,3,18,0,18,..,12,4,19,0,19,..,4,0,4,0,4,..,31,0,37,0,37,..,9,0,12,0,12,..,0,0,0,0,0,..,7,0,7,0,7,..,5
LGA18450,78780,..,..,..,..,78780,..,53,0,53,5,61,..,1158,285,1437,14,1450,..,13,0,13,0,14,..,239,87,327,0,329,..,1323,336,1663,4,1672,..,168,63,232,0,232,..,1731,489,2223,7,2231,..,298,50,343,7,347,..,125,0,125,4,126,..,157,6,164,4,168,..,282,11,299,3,298,..,712,83,795,8,809,..,77,4,82,0,82,..,216,5,221,0,226,..,57,0,58,0,58,..,93,0,93,0,93,..,170,4,176,0,176,..,142,6,151,0,150,..,763,22,779,0,783,..,1464,200,1662,43,1706,..,74,9,84,0,86,..,105,46,148,3,150,..,1940,406,2349,36,2383,..,135,4,140,5,147,..,207,23,230,0,234,..,141,16,158,0,159,..,68,9,78,0,78,..,29,3,29,0,29,..,547,139,685,6,698,..,71,0,71,0,69,..,133,14,142,0,142,..,121,8,131,0,133,..,76
LGA18500,19239,..,..,..,..,19239,..,50,0,50,0,51,..,55,3,61,3,62,..,3,0,3,0,3,..,219,21,242,0,249,..,312,77,389,3,389,..,20,9,23,0,23,..,553,102,661,5,660,..,22,3,26,0,26,..,46,3,48,0,48,..,335,7,344,0,344,..,163,5,175,0,172,..,304,15,320,0,317,..,9,0,9,0,9,..,37,0,37,0,37,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,8,0,8,..,11,0,17,0,17,..,72,0,77,0,77,..,254,11,261,3,266,..,55,7,62,3,62,..,49,6,56,0,56,..,17,0,16,0,16,..,5,0,5,0,5,..,43,0,46,0,46,..,51,4,50,0,51,..,193,15,209,0,208,..,0,0,0,0,0,..,30,0,30,0,30,..,14,0,14,0,14,..,44,0,46,0,46,..,47,0,47,0,47,..,9
LGA18710,7136,..,..,..,..,7136,..,12,0,8,0,8,..,13,0,13,0,13,..,8,0,8,0,8,..,0,0,0,0,0,..,13,0,13,0,13,..,3,0,5,0,5,..,15,3,18,0,18,..,37,0,40,3,39,..,19,0,19,0,19,..,7,0,10,0,10,..,27,0,31,0,31,..,7,0,8,0,8,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,15,0,15,0,15,..,10,0,13,3,11,..,0,0,0,0,4,..,0,0,0,0,0,..,3,0,3,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
