LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA15900,42634,112096,4062,7327,5154,10851,9215,18184,3515,5419,2142,3470,1830,3081,152,257,7644,12225,12,33,26,47,13,22,165,317,213,421,271,523,59974,143450,6499,..,66471,143450
LGA15950,3301,9256,1297,3126,2922,6910,4224,10036,3544,7317,7123,13319,11690,20952,24,53,22382,41637,0,0,7,3,0,0,66,133,70,141,92,179,30068,61244,3940,..,34009,61244
LGA15990,50714,159406,2212,4561,5682,13519,7895,18083,6684,13340,13067,26327,8634,16939,106,215,28497,56822,12,23,149,259,35,58,254,583,455,924,385,861,87940,236092,9083,..,97017,236092
LGA16100,1745,4244,11,16,0,0,11,16,35,39,9,14,0,0,0,0,41,51,3,9,3,10,5,3,0,0,11,23,66,152,1875,4492,506,..,2378,4492
LGA16150,12629,33178,1208,1912,198,331,1405,2244,488,718,39,55,17,24,6,12,547,804,14,25,3,7,0,0,9,22,34,51,125,222,14735,36501,1688,..,16424,36501
LGA16200,4764,12031,129,228,13,18,146,241,283,388,8,12,0,0,0,3,290,404,15,24,8,18,3,10,13,27,41,79,50,116,5294,12882,895,..,6189,12882
LGA16260,34645,108246,2555,5761,9002,26684,11562,32445,4586,9849,9275,23102,15180,37261,41,90,29082,70302,4,9,3,20,0,0,226,664,240,693,297,704,75819,212392,5453,..,81275,212392
LGA16350,51865,158972,2700,5366,4793,11673,7490,17038,1632,2863,1473,2694,683,1282,44,99,3826,6940,35,60,114,166,30,72,54,125,231,422,245,620,63667,183992,3972,..,67638,183992
LGA16380,22644,58208,3047,5155,982,1912,4026,7073,1781,2687,532,849,973,1623,4,7,3293,5167,321,480,308,454,16,23,60,127,706,1090,188,373,30855,71910,3568,..,34422,71910
LGA16400,20298,53559,1972,3377,1559,3454,3534,6829,389,600,166,274,328,546,16,44,908,1466,248,383,281,422,18,48,42,102,591,955,120,250,25452,63058,5638,..,31090,63058
