LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA10850,0,3,34,34,5,33,5,63,0,180,15,10,63,41,12,35,16,32,3,230,53,80,104,62,61,38,61,62,9,517,90,134,92,50,80,30,78,74,10,650,120,105,106,73,123,52,94,85,9,772,151,103,56,53,66,26,59,81,13,609,101,16,4,3,21,12,21,19,6,209,28,0,4,0,0,0,3,7,3,45,5,3,0,0,0,0,0,0,0,15,557,458,460,318,366,231,338,430,67,3222
LGA10900,34,60,271,483,118,513,54,399,22,1944,126,294,525,588,276,410,100,304,34,2660,559,1436,965,693,628,394,212,410,97,5392,1178,2456,975,788,1066,386,302,430,110,7684,1281,2770,1003,938,1298,477,355,529,102,8762,1010,2543,708,687,1076,360,361,487,96,7329,265,663,149,134,311,130,100,121,24,1899,22,52,17,17,25,13,8,11,10,169,4,3,0,0,3,3,0,3,3,20,4476,10277,4613,4327,4796,2695,1496,2695,494,35860
LGA10950,0,0,14,11,0,15,6,6,0,57,8,8,25,14,16,5,11,15,0,104,23,43,33,26,18,3,36,32,6,218,45,30,26,24,15,4,25,21,3,205,89,23,29,25,33,11,47,41,0,294,49,16,19,19,19,11,22,15,0,175,33,3,6,5,5,0,7,11,6,82,24,0,0,4,0,0,0,3,3,39,7,0,0,0,0,0,0,0,0,5,280,121,156,127,105,61,157,149,18,1173
LGA11100,12,39,79,142,45,311,21,113,14,774,126,381,300,407,308,403,91,202,44,2265,849,1934,861,645,871,584,268,465,119,6596,937,1448,580,484,905,412,334,380,104,5588,655,847,558,439,794,302,376,373,77,4434,304,398,338,268,467,160,309,321,45,2610,60,80,79,70,109,56,76,88,12,634,0,9,11,7,6,8,3,11,0,51,3,0,0,0,0,0,0,0,0,8,2950,5149,2795,2475,3504,2233,1480,1957,420,22963
LGA11150,0,3,7,3,0,6,0,3,3,25,3,15,12,15,8,9,3,12,3,80,36,59,28,57,27,4,9,18,3,233,29,38,28,35,20,11,7,15,3,182,51,33,17,41,22,16,19,30,8,233,44,15,13,21,14,7,14,29,4,169,28,4,8,8,7,5,8,9,0,72,9,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,0,0,0,3,198,161,108,169,98,54,64,119,32,1000
LGA11200,0,0,0,3,0,0,0,3,0,15,4,6,5,7,0,0,3,6,0,36,10,28,6,26,12,3,3,13,3,101,21,14,7,22,9,0,7,11,3,87,33,20,13,23,15,3,10,16,4,126,38,14,0,14,11,4,3,17,3,102,16,3,0,3,0,0,0,3,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,84,40,96,40,15,21,65,16,498
LGA11250,3,8,43,49,10,154,10,91,7,379,22,70,131,124,42,98,46,59,12,601,84,297,255,200,134,143,149,122,27,1410,135,222,194,203,140,95,143,106,18,1259,161,240,198,246,215,104,164,188,24,1543,181,216,168,191,167,95,175,169,24,1386,44,56,29,33,33,14,32,32,12,280,3,3,3,0,5,3,0,0,10,33,0,0,0,0,0,0,0,0,8,11,646,1111,1022,1047,751,704,721,761,138,6902
LGA11300,4,37,44,99,54,232,7,76,14,570,61,388,220,352,234,396,60,273,58,2032,493,1912,581,574,639,537,122,483,164,5503,524,1059,368,258,465,236,102,213,74,3302,480,843,338,237,508,240,163,248,71,3122,287,514,216,151,358,152,141,212,40,2062,52,158,61,33,86,29,28,42,7,499,4,24,9,0,8,4,5,4,7,64,0,0,3,0,0,0,0,3,3,9,1906,4934,1842,1700,2351,1830,629,1552,434,17174
LGA11350,6,12,61,109,17,219,16,124,10,582,35,57,134,176,48,124,34,110,16,727,277,502,435,368,169,214,65,219,28,2283,540,815,478,315,287,229,78,241,42,3028,559,924,420,349,361,256,129,281,52,3327,422,781,328,296,327,220,129,273,52,2831,151,200,67,44,68,42,22,62,23,683,33,18,8,3,8,4,0,9,3,85,8,3,0,0,0,0,0,0,5,16,2034,3312,1924,1666,1285,1310,473,1318,229,13557
LGA11400,11,7,78,51,17,93,5,67,16,351,20,27,105,40,27,43,13,65,10,360,116,161,185,94,89,53,71,97,9,883,246,252,159,111,173,62,91,125,11,1240,327,292,170,150,191,71,113,147,19,1477,264,203,125,83,165,66,99,138,11,1157,199,51,27,20,45,21,23,52,11,447,70,8,3,0,5,0,4,3,8,106,7,0,0,0,0,0,0,0,0,11,1258,993,865,557,711,417,420,699,103,6032
