LGA_CODE_2016,Median_mortgage_repay_monthly,Median_rent_weekly,Median_tot_hhd_inc_weekly,Average_household_size,% Indigenous,Birthplace outside Australia,English is only language spoken at home,% of People who completed Year 12,% Population 5-14,% Population 15-19,% Population 20-24,% Population 25-34,% Population 35-44,% Population 45-54,% Population 55-64,% Population 65-74,Murder,Robbery without a weapon,Break & Enter (Dwelling),Motor Vehicle Theft,Fraud
LGA15650,1733,250,1346,2.5,0.081375109,0.079012806,0.88157404,0.228894691,0.148141241,0.061419868,0.060611712,0.141240831,0.129118488,0.140930001,0.111960711,0.078639811,0,0,13,5,7
LGA15700,1300,250,835,2.3,0.072819071,0.091609411,0.89933375,0.251769727,0.117114304,0.052831564,0.039454508,0.075421611,0.090568395,0.127472413,0.172860712,0.156933167,0,0,7,2,17
LGA15750,1395,200,1242,2.5,0.116019566,0.042036075,0.873127484,0.249082849,0.141011923,0.059385509,0.049526139,0.113955977,0.116860287,0.134439009,0.136426169,0.099969428,0,0,5,2,4
LGA15800,1007,170,1030,2.3,0.095848283,0.0468136,0.870493764,0.219545532,0.132752435,0.05552708,0.050914061,0.093456347,0.109858192,0.125405775,0.145737229,0.120621903,0,0,6,4,1
LGA15850,1100,185,1078,2.5,0.19072005,0.036468032,0.892613284,0.250310366,0.143389199,0.05726257,0.050589696,0.102265673,0.103507138,0.122594662,0.138268156,0.11902545,0,0,7,3,4
LGA15900,1768,340,1368,2.4,0.033852173,0.139230814,0.848163901,0.419725759,0.109953607,0.057261069,0.088159783,0.153772899,0.12896127,0.127088816,0.117108828,0.083044315,0,7,72,40,123
LGA15950,2600,575,2360,2,0.002556978,0.379556002,0.701070088,0.689112891,0.069378344,0.027343404,0.05084395,0.241686127,0.182121848,0.121522954,0.106181087,0.087602353,0,2,13,12,56
LGA16100,1452,210,1239,2.4,0.030371628,0.090737597,0.841727976,0.261082815,0.118468214,0.066779853,0.059988681,0.091869459,0.105640445,0.142803245,0.136766648,0.144878325,0,0,1,2,0
LGA16150,1629,270,1295,2.5,0.060950823,0.093793377,0.877850486,0.324732302,0.137715645,0.065115011,0.057307158,0.132907,0.126635931,0.123711085,0.115159627,0.089877057,0,1,35,8,55
LGA16200,1300,200,1088,2.4,0.09939759,0.053326944,0.88519989,0.249931544,0.137732749,0.068318729,0.05606517,0.105353231,0.106996166,0.129997262,0.133283133,0.103436473,0,0,8,2,8
LGA16350,2000,370,1658,2.9,0.038303428,0.21625371,0.771678924,0.339967154,0.136719268,0.066492916,0.072011466,0.154529597,0.140024278,0.126161599,0.113334285,0.073765977,0,7,58,46,132
LGA16380,1671,310,1042,2.3,0.039521766,0.114083449,0.907281733,0.300653179,0.118132393,0.056506958,0.039343511,0.084467589,0.10315894,0.129222425,0.143393728,0.150014642,0,0,12,9,31
LGA16400,1733,305,1180,2.5,0.045517281,0.11041463,0.89441601,0.280177123,0.124575881,0.059103456,0.050764851,0.096138363,0.112729312,0.132971994,0.139067801,0.136350566,0,1,14,7,30
LGA16550,2600,550,1916,2.5,0.014567041,0.40950519,0.596843452,0.589456846,0.094646666,0.057941135,0.106519266,0.188916536,0.1492393,0.120873027,0.093111048,0.069372956,0,1,35,17,81
LGA16610,1300,250,953,2.4,0.069101592,0.056649274,0.90454685,0.215504012,0.131407024,0.065988512,0.048932345,0.086990836,0.108300083,0.128863945,0.144867804,0.123120095,0,0,12,1,6
LGA16700,2200,460,1786,2.7,0.003379134,0.470146687,0.476715792,0.597427387,0.101872711,0.052810786,0.082500731,0.182094891,0.147555502,0.124271294,0.10501969,0.071486303,0,1,30,6,63
LGA16900,1846,340,1343,2.7,0.036619924,0.166666667,0.846479696,0.277797254,0.13539293,0.068857727,0.062459831,0.116988022,0.125781478,0.134998539,0.124291557,0.095398773,0,1,11,15,18
LGA16950,1517,280,992,2.3,0.053276468,0.128158555,0.884576016,0.283421977,0.112323131,0.053276468,0.046382338,0.093416959,0.10123432,0.123482188,0.154069242,0.150275966,0,0,37,7,58
LGA17000,1950,280,1682,2.7,0.053595511,0.078827163,0.895941184,0.268282072,0.144646974,0.073215296,0.064036194,0.126332275,0.133205725,0.145125506,0.119589333,0.075738461,0,0,5,1,0
LGA17100,2167,470,1781,3,0.002654296,0.563355825,0.292295098,0.610264934,0.096968645,0.060552689,0.095604287,0.230750149,0.130928756,0.115995237,0.097043064,0.058419329,0,1,21,11,29
LGA17150,2427,450,1979,2.7,0.010514318,0.180725428,0.831377252,0.450875201,0.128300315,0.060096858,0.058197232,0.1201159,0.138054782,0.138686466,0.1248581,0.09150249,0,0,25,15,71
LGA17200,2499,565,1926,2,0.010663518,0.478759346,0.514877096,0.686496396,0.033895784,0.040168159,0.137200418,0.330497087,0.162477084,0.103031088,0.077130544,0.050207799,0,9,49,37,457
LGA17310,1500,260,1180,2.5,0.097212678,0.067847745,0.887233294,0.28345876,0.137539178,0.06297035,0.053550777,0.120510199,0.116102107,0.127817911,0.128957645,0.103263329,0,2,50,12,14
LGA17350,1148,175,1033,2.4,0.022913257,0.046972177,0.924386252,0.228805237,0.133387889,0.063011457,0.039279869,0.092962357,0.096726678,0.134206219,0.140261866,0.128150573,0,0,3,0,1
LGA17400,1079,180,767,2.1,0.055672903,0.076493663,0.864514182,0.251207001,0.114061557,0.0508449,0.031834641,0.065027158,0.10018105,0.124019312,0.195986723,0.171544961,0,0,3,0,1
LGA17420,2500,562,2363,3.2,0.004928677,0.351360633,0.6524106,0.520830816,0.151714226,0.071551675,0.061745197,0.104964927,0.150283319,0.144273513,0.118383648,0.086375864,0,1,41,11,66
LGA17550,1733,340,1064,2.4,0.033435116,0.146085738,0.887086712,0.318087796,0.115419553,0.054612514,0.043000514,0.089951954,0.112377012,0.130424314,0.14865767,0.131617253,1,2,21,12,37
LGA17620,1688,220,1242,2.4,0.04896542,0.074900794,0.881802721,0.263818027,0.145549887,0.056972789,0.046060091,0.118197279,0.124433107,0.131448413,0.131023243,0.101686508,0,0,1,3,0
LGA17640,1400,190,1161,2.4,0.022222222,0.06705653,0.904223522,0.297205978,0.11539961,0.056920078,0.038596491,0.0820013,0.100974659,0.154515919,0.157504873,0.139311241,0,0,2,0,0
LGA17650,1346,190,1058,2.4,0.066964286,0.065145503,0.919973545,0.320271164,0.14103836,0.061177249,0.039186508,0.07771164,0.112929894,0.147486772,0.162863757,0.130125661,0,0,3,0,1
LGA17750,1517,265,1354,2.5,0.054436163,0.093708423,0.876941572,0.347743849,0.136090406,0.069680212,0.079506292,0.137997916,0.120734151,0.121038711,0.115572654,0.082135129,0,0,51,12,21
LGA17850,1083,148,1054,2.3,0.05530401,0.049482536,0.875808538,0.282018111,0.11545925,0.051423027,0.043661061,0.089262613,0.101228978,0.134217335,0.150064683,0.151681759,0,0,1,0,0
LGA17900,750,145,806,2.3,0.290486327,0.091370558,0.825609956,0.232847552,0.134272147,0.043229081,0.050761421,0.118716227,0.110692648,0.133453414,0.151629278,0.120844932,1,0,4,0,1
LGA17950,899,144,1104,2.4,0.142020498,0.043923865,0.878843338,0.285505124,0.136530015,0.048316252,0.044289898,0.106881406,0.108345534,0.133601757,0.137262079,0.120424597,0,0,2,3,0
LGA18020,923,160,878,2.3,0.094416027,0.058930094,0.871483376,0.242753623,0.129262575,0.05200341,0.041560102,0.079816709,0.095907928,0.134590793,0.155690537,0.14428815,0,0,4,3,4
LGA18050,3000,622,2308,2.4,0.003696941,0.389570736,0.686553314,0.613572412,0.09809615,0.036685027,0.054915285,0.235751063,0.177962043,0.122552835,0.084864994,0.065422379,0,2,12,6,55
LGA18100,910,135,904,2.2,0.029203057,0.056495633,0.893286026,0.253275109,0.117631004,0.050218341,0.031113537,0.070960699,0.103984716,0.130731441,0.159115721,0.161026201,0,0,0,0,0
LGA18200,1200,160,1052,2.4,0.093023256,0.052987931,0.86002355,0.233735649,0.125846335,0.058433912,0.047689137,0.099941125,0.10950839,0.139387695,0.153812187,0.125993524,0,0,8,2,2
LGA18250,2877,580,2271,2.7,0.001641948,0.455559743,0.549931361,0.62132917,0.127991171,0.053645931,0.060186805,0.152337757,0.166523108,0.135258809,0.101235498,0.073080132,0,0,9,2,47
LGA18350,1842,350,1335,2.4,0.019172131,0.158869721,0.882753436,0.380017543,0.126352283,0.063426757,0.039597343,0.082953928,0.105906186,0.135123846,0.138736895,0.148197653,0,0,11,1,18
LGA18400,2167,365,1871,3,0.031121829,0.118077454,0.890970548,0.302129063,0.151899256,0.070302356,0.05981162,0.117603413,0.135472701,0.139512356,0.123951442,0.082544982,0,0,5,5,8
LGA18450,1950,320,1339,2.6,0.025222217,0.215670579,0.782247213,0.380189559,0.120419388,0.063875657,0.0762314,0.127824977,0.126896823,0.129946472,0.119216226,0.091774297,0,6,75,41,38
LGA18500,3200,650,2687,2.3,0.002562684,0.325350295,0.756544985,0.642606932,0.105106932,0.048045723,0.05409292,0.173893805,0.1445059,0.129461652,0.10754056,0.101972714,0,0,10,4,16
LGA18710,2000,300,1879,2.7,0.023850824,0.10308512,0.901375294,0.413517532,0.148122909,0.063932598,0.04522364,0.09032338,0.136971875,0.15468963,0.135794821,0.098872507,0,0,0,0,3
